Fold,Accuracy,F1,AUC-ROC
0,0.884286719613954,0.8299830321425961,0.8834642276779311
1,0.8851915150296572,0.8312832007077784,0.900641352678336
2,0.8838729137341644,0.8293885664340119,0.8899568675362101
3,0.8802533681882164,0.8241931702569738,0.8954287366557001
4,0.8822642268248542,0.827078531102836,0.8939934942496855
5,0.8820749974866794,0.8268069043264917,0.8915878231254049
6,0.8817733990147784,0.8263740231604468,0.9001533346208167
7,0.8813593404383672,0.8257798181148703,0.885433222349834
8,0.8856826865071386,0.8319892066586386,0.8853161788939573
9,0.8849788859843153,0.830977614085123,0.9010164171207116
10,0.8834824570222177,0.8288277376366426,0.8937713813212228
11,0.8808686035990752,0.825075707385226,0.8839729865346814
12,0.8792479388698975,0.8227514017888024,0.8921858047586607
13,0.884275085461492,0.829966317339931,0.901726950734685
14,0.8879951739392721,0.8353150895975769,0.8829113428726617
0,0.884286719613954,0.8299830321425961,0.9122569337851618
1,0.8851915150296572,0.8312832007077784,0.9165439951627549
2,0.8838729137341644,0.8293885664340119,0.9149303129282653
3,0.8802533681882164,0.8241931702569738,0.9115148306761017
4,0.8822642268248542,0.827078531102836,0.9199793684507603
5,0.8820749974866794,0.8268069043264917,0.9199679515020645
6,0.8817733990147784,0.8263740231604468,0.9223514682352248
7,0.8813593404383672,0.8257798181148703,0.9158493234646959
8,0.8856826865071386,0.8319892066586386,0.9080578719713078
9,0.8849788859843153,0.830977614085123,0.914189529795358
10,0.8834824570222177,0.8288277376366426,0.9206580920802272
11,0.8808686035990752,0.825075707385226,0.913676770712041
12,0.8792479388698975,0.8227514017888024,0.9167422897537738
13,0.884275085461492,0.829966317339931,0.9197059284039535
14,0.8879951739392721,0.8353150895975769,0.9079663594762314
0,0.884286719613954,0.8299830321425961,0.8909787503126174
1,0.8851915150296572,0.8312832007077784,0.9055022669614363
2,0.8838729137341644,0.8293885664340119,0.8920146095894019
3,0.8802533681882164,0.8241931702569738,0.8884703523139711
4,0.8822642268248542,0.827078531102836,0.8978695492444424
5,0.8820749974866794,0.8268069043264917,0.8945325169244714
6,0.8817733990147784,0.8263740231604468,0.8997456153821692
7,0.8813593404383672,0.8257798181148703,0.888551007938994
8,0.8856826865071386,0.8319892066586386,0.8866129257546528
9,0.8849788859843153,0.830977614085123,0.9100241740195727
10,0.8834824570222177,0.8288277376366426,0.9015251109148368
11,0.8808686035990752,0.825075707385226,0.8868312727475857
12,0.8792479388698975,0.8227514017888024,0.8919561505111281
13,0.884275085461492,0.829966317339931,0.908187309253293
14,0.8879951739392721,0.8353150895975769,0.8869893609495747
0,0.884286719613954,0.8299830321425961,0.8925310217226139
1,0.8851915150296572,0.8312832007077784,0.9058056887356034
2,0.8838729137341644,0.8293885664340119,0.9029158116747699
3,0.8802533681882164,0.8241931702569738,0.90130883587692
4,0.8822642268248542,0.827078531102836,0.9059236875974707
5,0.8820749974866794,0.8268069043264917,0.8951289081454527
6,0.8817733990147784,0.8263740231604468,0.9099280289016758
7,0.8813593404383672,0.8257798181148703,0.8892299117932535
8,0.8856826865071386,0.8319892066586386,0.8913336514296915
9,0.8849788859843153,0.830977614085123,0.9131610763129168
10,0.8834824570222177,0.8288277376366426,0.9091849796746132
11,0.8808686035990752,0.825075707385226,0.8880169161617533
12,0.8792479388698975,0.8227514017888024,0.9017964827290389
13,0.884275085461492,0.829966317339931,0.9132351481199579
14,0.8879951739392721,0.8353150895975769,0.8982559238642573
0,0.884286719613954,0.8299830321425961,0.8874036516084832
1,0.8851915150296572,0.8312832007077784,0.9026447717673549
2,0.8838729137341644,0.8293885664340119,0.8919695517010953
3,0.8802533681882164,0.8241931702569738,0.8899734396705542
4,0.8822642268248542,0.827078531102836,0.8942460360906134
5,0.8820749974866794,0.8268069043264917,0.8934795531477079
6,0.8817733990147784,0.8263740231604468,0.8978594715733745
7,0.8813593404383672,0.8257798181148703,0.88549074428551
8,0.8856826865071386,0.8319892066586386,0.8862593355939541
9,0.8849788859843153,0.830977614085123,0.9062418069319911
10,0.8834824570222177,0.8288277376366426,0.8967282430390802
11,0.8808686035990752,0.825075707385226,0.8837001358956059
12,0.8792479388698975,0.8227514017888024,0.8903886079305934
13,0.884275085461492,0.829966317339931,0.9026035150490785
14,0.8879951739392721,0.8353150895975769,0.8829248098964433
0,0.884286719613954,0.8299830321425961,0.8940285727380228
1,0.8851915150296572,0.8312832007077784,0.9058187166780536
2,0.8838729137341644,0.8293885664340119,0.9025250145145493
3,0.8802533681882164,0.8241931702569738,0.9025783994848093
4,0.8822642268248542,0.827078531102836,0.9071470800762005
5,0.8820749974866794,0.8268069043264917,0.8951958054011786
6,0.8817733990147784,0.8263740231604468,0.9102666234661692
7,0.8813593404383672,0.8257798181148703,0.8921690410174905
8,0.8856826865071386,0.8319892066586386,0.8912939642663772
9,0.8849788859843153,0.830977614085123,0.9121791495257753
10,0.8834824570222177,0.8288277376366426,0.9095049508644426
11,0.8808686035990752,0.825075707385226,0.8884870610239652
12,0.8792479388698975,0.8227514017888024,0.8962052301564972
13,0.884275085461492,0.829966317339931,0.9124669010164431
14,0.8879951739392721,0.8353150895975769,0.8877046885976896
0,0.884286719613954,0.8299830321425961,0.8825414877388783
1,0.8851915150296572,0.8312832007077784,0.900244845758112
2,0.8838729137341644,0.8293885664340119,0.8886442795440636
3,0.8802533681882164,0.8241931702569738,0.8869915284105376
4,0.8822642268248542,0.827078531102836,0.8891140355358972
5,0.8820749974866794,0.8268069043264917,0.8909996908248836
6,0.8817733990147784,0.8263740231604468,0.8959830711443169
7,0.8813593404383672,0.8257798181148703,0.8813519685069818
8,0.8856826865071386,0.8319892066586386,0.8841421876742553
9,0.8849788859843153,0.830977614085123,0.8972892663460147
10,0.8834824570222177,0.8288277376366426,0.8890855559172972
11,0.8808686035990752,0.825075707385226,0.8807324879104917
12,0.8792479388698975,0.8227514017888024,0.8886191657514297
13,0.884275085461492,0.829966317339931,0.897583385236359
14,0.8879951739392721,0.8353150895975769,0.8805557317279423
0,0.884286719613954,0.8299830321425961,0.8858554792894171
1,0.8851915150296572,0.8312832007077784,0.903399944904732
2,0.8838729137341644,0.8293885664340119,0.8912545839630358
3,0.8802533681882164,0.8241931702569738,0.8882359654384852
4,0.8822642268248542,0.827078531102836,0.8927071366183238
5,0.8820749974866794,0.8268069043264917,0.8929954832449823
6,0.8817733990147784,0.8263740231604468,0.898193848854101
7,0.8813593404383672,0.8257798181148703,0.8845821393906349
8,0.8856826865071386,0.8319892066586386,0.8861128175759321
9,0.8849788859843153,0.830977614085123,0.9046371076662487
10,0.8834824570222177,0.8288277376366426,0.8961389128559103
11,0.8808686035990752,0.825075707385226,0.882896030711829
12,0.8792479388698975,0.8227514017888024,0.8905632765529392
13,0.884275085461492,0.829966317339931,0.9013652512658
14,0.8879951739392721,0.8353150895975769,0.8826786936844639
0,0.884286719613954,0.8299830321425961,0.8855569864510723
1,0.8851915150296572,0.8312832007077784,0.901135121642197
2,0.8838729137341644,0.8293885664340119,0.8911254672601505
3,0.8802533681882164,0.8241931702569738,0.8910506698583178
4,0.8822642268248542,0.827078531102836,0.8929117976940351
5,0.8820749974866794,0.8268069043264917,0.8920162181878528
6,0.8817733990147784,0.8263740231604468,0.8969570213218112
7,0.8813593404383672,0.8257798181148703,0.8839077792859159
8,0.8856826865071386,0.8319892066586386,0.8853309554981599
9,0.8849788859843153,0.830977614085123,0.9023672802430472
10,0.8834824570222177,0.8288277376366426,0.8936717769112559
11,0.8808686035990752,0.825075707385226,0.8821938713104247
12,0.8792479388698975,0.8227514017888024,0.8898918330398385
13,0.884275085461492,0.829966317339931,0.9008886654163839
14,0.8879951739392721,0.8353150895975769,0.8820786234323369
0,0.884286719613954,0.8299830321425961,0.894925681012102
1,0.8851915150296572,0.8312832007077784,0.9105705840993464
2,0.8838729137341644,0.8293885664340119,0.908095105137535
3,0.8802533681882164,0.8241931702569738,0.9068374986393766
4,0.8822642268248542,0.827078531102836,0.907975407582581
5,0.8820749974866794,0.8268069043264917,0.9022805502811824
6,0.8817733990147784,0.8263740231604468,0.9136443769161982
7,0.8813593404383672,0.8257798181148703,0.9036458272911131
8,0.8856826865071386,0.8319892066586386,0.9016194159786809
9,0.8849788859843153,0.830977614085123,0.9121170311737796
10,0.8834824570222177,0.8288277376366426,0.9118856386247935
11,0.8808686035990752,0.825075707385226,0.8928942778415039
12,0.8792479388698975,0.8227514017888024,0.909651286401793
13,0.884275085461492,0.829966317339931,0.914424019650214
14,0.8879951739392721,0.8353150895975769,0.9015107256459294
0,0.9141449683321604,0.908117444373713,0.9394788484932531
1,0.9099225897255454,0.9038193436000631,0.9362058454687127
2,0.9131309068972451,0.9081689865571905,0.9394586454761633
3,0.9097124472149608,0.9025844233405697,0.9361260280199728
4,0.9148401367383873,0.9088859950822922,0.9430997442953037
5,0.9128380416205891,0.9070699862707753,0.9398931800944083
6,0.9125364431486881,0.9076555254248166,0.9415586266429956
7,0.90860647496481,0.9030159196797435,0.9401188432193721
8,0.9093102754876332,0.9039778788711896,0.9367902799497555
