Fold,F1,Recall,Precision,Accuracy,AUC-ROC
0,0.8656241195473391,0.8920142256708697,0.6470450281425891,0.858809980806142,0.9483981048498037
1,0.8635912239906066,0.8961079723791588,0.6506381039197813,0.856890595009597,0.9490831259613742
2,0.8679198195757916,0.8932475884244373,0.6534932956951306,0.8614097051597052,0.9469732788800403
3,0.8703107851153715,0.9080824088748018,0.6589236430542779,0.8638667076167076,0.95087445857693
4,0.8664567833120295,0.8948374760994264,0.6525679758308157,0.8598740786240786,0.9495522538842097
5,0.8661076094340285,0.9031531531531531,0.6466252015664593,0.8591170825335892,0.9486412902768655
6,0.8674369846335648,0.8970959595959596,0.656957928802589,0.8610364683301344,0.9481519920468764
7,0.8669339709975699,0.897160883280757,0.6560553633217993,0.8604883292383292,0.9507937336212808
8,0.8642323690190888,0.8909505208333334,0.6421867667761614,0.8571867321867321,0.9472848088794967
9,0.8681411958203202,0.8972819216182049,0.6580899397311081,0.8617936117936118,0.9488065213879265
10,0.8672734013738431,0.884393063583815,0.6549346016646849,0.8609596928982726,0.9497158137092572
11,0.8673872233931514,0.9002813379180994,0.6588881262868909,0.8610364683301344,0.9482555070289307
12,0.8623112288403203,0.8921661909292737,0.6457759412304866,0.8554207616707616,0.9467862351065182
13,0.8663529556172522,0.8938866012036744,0.6544526901669759,0.8598740786240786,0.9512678105659885
14,0.8684829103308636,0.9016018306636155,0.6474178403755868,0.8615632678132679,0.9500900585852379
0,0.8409067022782888,0.8739088263821533,0.6,0.8317082533589252,0.9287348278022205
1,0.8426585164882912,0.8826114249843063,0.611304347826087,0.8340115163147793,0.9328441677485866
2,0.8407759091292951,0.8678456591639871,0.6027244305493524,0.8318488943488943,0.9282071149506335
3,0.8489425065215958,0.8852614896988906,0.6199778024417314,0.8407555282555282,0.933504390880278
4,0.8429986910064349,0.8750796685787126,0.6085992907801419,0.8343058968058968,0.9312296251196076
5,0.8456155961450846,0.8764478764478765,0.6103517813130181,0.8370057581573896,0.9320738091409665
6,0.8437094505655427,0.8765782828282829,0.6127537511032657,0.8352399232245682,0.9299821731057147
7,0.8449849762009387,0.8817034700315457,0.6144207518135854,0.8365325552825553,0.9333100811276818
8,0.8432272081619138,0.8720703125,0.6026996625421822,0.8342291154791155,0.928784532945639
9,0.8428988043198364,0.879582806573957,0.6101732076299057,0.8342291154791155,0.932088220549129
10,0.844410513172907,0.8709055876685935,0.6097122302158273,0.8358541266794626,0.9317646546881244
11,0.8462413259614062,0.8796498905908097,0.6202336345602821,0.8381573896353167,0.9313243306302401
12,0.8404437902993638,0.8725023786869648,0.6056803170409512,0.8316185503685504,0.9283632792615607
13,0.8450534100421971,0.8761482420019006,0.6143936028431808,0.8366861179361179,0.9330148626398507
