Fold,F1,Recall,Precision,Accuracy
0,0.8864058221861565,0.8863920099875156,0.8868866282660305,0.8863920099875156
1,0.8587268101926483,0.85875,0.8587707641196013,0.85875
2,0.8468904388646016,0.8475,0.846694979207896,0.8475
3,0.8824823679471788,0.8825,0.882564079710281,0.8825
4,0.8762529003951569,0.87625,0.8768721045820282,0.87625
5,0.8614906691311186,0.8614232209737828,0.8620119111259332,0.8614232209737828
6,0.8850244817201071,0.885,0.8850932561414488,0.885
7,0.877021838752823,0.8775,0.8772917643381778,0.8775
8,0.8513251146349738,0.85125,0.8521689354308465,0.85125
9,0.8420732135688479,0.8425,0.845090181753836,0.8425
10,0.8825838190644281,0.8826466916354557,0.8826204710236867,0.8826466916354557
11,0.8750015625097657,0.875,0.8750468752929705,0.875
12,0.8625146358109336,0.8625,0.8625400641025641,0.8625
13,0.8698958333333334,0.87,0.8704897631473304,0.87
14,0.8644917180343675,0.865,0.8642825220022001,0.865
0,0.8889023975227244,0.8888888888888888,0.8893842154996356,0.8888888888888888
1,0.8562461799156182,0.85625,0.8562450365497534,0.85625
2,0.8530887328709187,0.85375,0.8532455273999662,0.85375
3,0.8912515294904512,0.89125,0.8912558443344335,0.89125
4,0.8512534863335723,0.85125,0.851855693306075,0.85125
5,0.859001578188801,0.8589263420724095,0.8600432984330684,0.8589263420724095
6,0.8875,0.8875,0.8875,0.8875
7,0.8682818540075559,0.86875,0.8684674833087445,0.86875
8,0.8575579518366274,0.8575,0.8578839035614245,0.8575
9,0.8573331517553581,0.8575,0.858468621244096,0.8575
10,0.8639690429731627,0.8639200998751561,0.864085421726405,0.8639200998751561
11,0.8637510644547882,0.86375,0.8638196111152778,0.86375
12,0.8537580133849947,0.85375,0.8537686978354654,0.85375
13,0.8837309145833301,0.88375,0.8837809311084834,0.88375
14,0.8594935815147625,0.86,0.8591824097922033,0.86
0,0.8938925706162885,0.8938826466916354,0.8945295589467458,0.8938826466916354
1,0.8599921210112619,0.86,0.8599949968730456,0.86
2,0.8506304533354212,0.85125,0.8504960645581593,0.85125
3,0.8962307002693405,0.89625,0.8963487451206086,0.89625
4,0.8600105002625065,0.86,0.8604080408040804,0.86
5,0.854010037238932,0.8539325842696629,0.854856690050914,0.8539325842696629
6,0.8950223528748802,0.895,0.8950895008605851,0.895
7,0.8745111839960887,0.875,0.8743254742649128,0.875
8,0.8500759759628312,0.85,0.8510125000000001,0.85
9,0.8472640457532308,0.8475,0.848827999194847,0.8475
10,0.8652254590576368,0.8651685393258427,0.8653796084478204,0.8651685393258427
