Fold,F1,Recall,Precision,Accuracy
0,0.897630837077095,0.8976279650436954,0.8985407006772197,0.8976279650436954
1,0.8512367444761811,0.85125,0.8512474433790554,0.85125
2,0.8518269390440681,0.8525,0.8520669409875552,0.8525
3,0.8812279099468354,0.88125,0.881340863026724,0.88125
4,0.8712626747985394,0.87125,0.8714958843492773,0.87125
5,0.8652391977742588,0.8651685393258427,0.8660001992285009,0.8651685393258427
6,0.8900578020218197,0.89,0.8906607282387873,0.89
7,0.8695545263171084,0.87,0.8697636655747545,0.87
8,0.8575685991334846,0.8575,0.8589342684268427,0.8575
9,0.8446579653451691,0.845,0.8470404147430561,0.845
10,0.8675675339380591,0.867665418227216,0.867643659617018,0.867665418227216
11,0.8737509863296661,0.87375,0.8738202361309032,0.87375
12,0.8737426855257574,0.87375,0.8737381059766096,0.87375
13,0.8786936682564985,0.87875,0.8789702391019739,0.87875
14,0.8619877482044782,0.8625,0.8623987398739874,0.8625
0,0.8951425280041904,0.8951310861423221,0.8957009406031462,0.8951310861423221
1,0.8574821763602251,0.8575,0.8575072565308779,0.8575
2,0.8518896089864839,0.8525,0.8516957620431372,0.8525
3,0.8849899344174154,0.885,0.8850241372194674,0.885
4,0.8637617111985234,0.86375,0.8638409035508247,0.86375
5,0.8540059134577191,0.8539325842696629,0.855487528916576,0.8539325842696629
6,0.8912563005867239,0.89125,0.8912653905408452,0.89125
7,0.8732502586450136,0.87375,0.8729056062426471,0.87375
8,0.8525710061206244,0.8525,0.8539315181518151,0.8525
9,0.8571855487850749,0.8575,0.8596362799263352,0.8575
10,0.8714569855617958,0.8714107365792759,0.871571259141475,0.8714107365792759
11,0.8687485643432075,0.86875,0.8687498437343735,0.86875
12,0.8724848251367148,0.8725,0.8724805764411028,0.8725
13,0.8748802524559985,0.875,0.8756496196429916,0.875
14,0.8569847713748825,0.8575,0.8565247811131956,0.8575
0,0.8938757000743057,0.8938826466916354,0.8950985641497432,0.8938826466916354
1,0.8537589144633505,0.85375,0.8537918424753868,0.85375
2,0.8517476173307835,0.8525,0.8525990729101193,0.8525
3,0.8762269798393336,0.87625,0.8763382356620959,0.87625
4,0.8662531347705231,0.86625,0.8668655400716468,0.86625
5,0.8789603144659325,0.8789013732833958,0.8794822709064565,0.8789013732833958
6,0.888795428836956,0.88875,0.8890659005628518,0.88875
7,0.8694600396301189,0.87,0.8689215039577836,0.87
8,0.855050812245,0.855,0.8552726704190118,0.855
9,0.8458921195971629,0.84625,0.8484371904163959,0.84625
10,0.8764489472875514,0.8764044943820225,0.8765618174181884,0.8764044943820225
11,0.8737446737532246,0.87375,0.8739605630016755,0.87375
12,0.8700138374939734,0.87,0.870038561698718,0.87
13,0.8786784821930067,0.87875,0.8790721300584736,0.87875
14,0.8532482615308544,0.85375,0.8535643723709458,0.85375
