Fold,F1,Recall,Precision,Accuracy,AUC-ROC
0,0.9714285714285714,0.9555555555555556,0.9555555555555556,0.9714285714285714,0.9964912280701754
1,0.9569410181655079,0.92,0.9583333333333334,0.9571428571428572,0.99
2,0.9501144037055639,0.9387755102040817,0.92,0.95,0.9910293787844808
3,0.9645308650833512,0.9791666666666666,0.9215686274509803,0.9642857142857143,0.9970561594202899
4,0.9424460431654677,0.9183673469387755,0.9183673469387755,0.9424460431654677,0.9866213151927438
5,0.9426323676323676,0.9056603773584906,0.9411764705882353,0.9428571428571428,0.9887226198221645
6,0.9569848498931128,0.9259259259259259,0.9615384615384616,0.9571428571428572,0.9974160206718345
7,0.9440233236151603,0.9743589743589743,0.8444444444444444,0.9428571428571428,0.996953541507997
8,0.9714285714285714,0.9523809523809523,0.9523809523809523,0.9714285714285714,0.9958697764820214
9,0.9785227135592434,1.0,0.9464285714285714,0.9784172661870504,0.9942957437472576
10,0.9786176542634311,0.98,0.9607843137254902,0.9785714285714285,0.9953333333333334
11,0.9571428571428572,0.925,0.925,0.9571428571428572,0.995
12,0.9786096297954113,0.9811320754716981,0.9629629629629629,0.9785714285714285,0.9960962914769032
13,0.9575238095238096,0.9791666666666666,0.9038461538461539,0.9571428571428572,0.9907155797101449
14,0.956409597596648,0.9,0.9782608695652174,0.9568345323741008,0.9966292134831461
0,0.9714285714285714,0.9555555555555556,0.9555555555555556,0.9714285714285714,0.9974269005847953
1,0.9642039973531686,0.94,0.9591836734693877,0.9642857142857143,0.9866666666666666
2,0.9501144037055639,0.9387755102040817,0.92,0.95,0.9901323166629289
3,0.9716825396825397,1.0,0.9230769230769231,0.9714285714285714,0.9981884057971014
4,0.9499614270657648,0.9591836734693877,0.9038461538461539,0.9496402877697842,0.9804988662131519
5,0.9426323676323676,0.9056603773584906,0.9411764705882353,0.9428571428571428,0.9843851659076122
6,0.9642220455790765,0.9444444444444444,0.9622641509433962,0.9642857142857143,0.9978466838931955
7,0.93754051915567,1.0,0.8125,0.9357142857142857,0.9956841838029957
8,0.9641612133814446,0.9285714285714286,0.9512195121951219,0.9642857142857143,0.9951409135082605
9,0.9785227135592434,1.0,0.9464285714285714,0.9784172661870504,0.9929793769197016
10,0.9786176542634311,0.98,0.9607843137254902,0.9785714285714285,0.9902222222222223
11,0.9716327033400205,0.975,0.9285714285714286,0.9714285714285714,0.9970000000000001
12,0.9644639120737625,0.9811320754716981,0.9285714285714286,0.9642857142857143,0.9945781826068097
13,0.9575238095238096,0.9791666666666666,0.9038461538461539,0.9571428571428572,0.9889039855072463
14,0.9639475824114704,0.94,0.9591836734693877,0.9640287769784173,0.9979775280898876
0,0.9714285714285714,0.9555555555555556,0.9555555555555556,0.9714285714285714,0.9962573099415204
1,0.9569410181655079,0.92,0.9583333333333334,0.9571428571428572,0.9913333333333333
2,0.9428571428571428,0.9183673469387755,0.9183673469387755,0.9428571428571428,0.9894595200717649
3,0.9645308650833512,0.9791666666666666,0.9215686274509803,0.9642857142857143,0.9977355072463767
4,0.9424460431654677,0.9183673469387755,0.9183673469387755,0.9424460431654677,0.9852607709750567
5,0.9426323676323676,0.9056603773584906,0.9411764705882353,0.9428571428571428,0.9872045109520712
6,0.9642220455790765,0.9444444444444444,0.9622641509433962,0.9642857142857143,0.9972006890611541
7,0.9511613876319759,1.0,0.8478260869565217,0.95,0.9972074130489972
8,0.9641612133814446,0.9285714285714286,0.9512195121951219,0.9642857142857143,0.9956268221574344
9,0.9785227135592434,1.0,0.9464285714285714,0.9784172661870504,0.9934181658622203
10,0.9786176542634311,0.98,0.9607843137254902,0.9785714285714285,0.9942222222222222
11,0.9571428571428572,0.925,0.925,0.9571428571428572,0.995
12,0.9715270087363109,0.9811320754716981,0.9454545454545454,0.9714285714285714,0.9963131641726307
13,0.9575238095238096,0.9791666666666666,0.9038461538461539,0.9571428571428572,0.9907155797101448
14,0.9639475824114704,0.94,0.9591836734693877,0.9640287769784173,0.9970786516853932
0,0.9714285714285714,0.9555555555555556,0.9555555555555556,0.9714285714285714,0.9971929824561404
1,0.9569410181655079,0.92,0.9583333333333334,0.9571428571428572,0.9904444444444445
2,0.9431111111111111,0.9387755102040817,0.9019607843137255,0.9428571428571428,0.9905808477237049
3,0.9645308650833512,0.9791666666666666,0.9215686274509803,0.9642857142857143,0.9970561594202899
4,0.9424460431654677,0.9183673469387755,0.9183673469387755,0.9424460431654677,0.9879818594104308
5,0.9426323676323676,0.9056603773584906,0.9411764705882353,0.9428571428571428,0.9878551290392539
6,0.9569848498931128,0.9259259259259259,0.9615384615384616,0.9571428571428572,0.9967700258397932
7,0.9511613876319759,1.0,0.8478260869565217,0.95,0.9969535415079969
8,0.9714285714285714,0.9523809523809523,0.9523809523809523,0.9714285714285714,0.9944120505344995
9,0.9785227135592434,1.0,0.9464285714285714,0.9784172661870504,0.9940763492759983
10,0.9786176542634311,0.98,0.9607843137254902,0.9785714285714285,0.994
11,0.9571428571428572,0.925,0.925,0.9571428571428572,0.994
12,0.9714285714285714,0.9622641509433962,0.9622641509433962,0.9714285714285714,0.9952288006939926
13,0.9575238095238096,0.9791666666666666,0.9038461538461539,0.9571428571428572,0.9907155797101449
14,0.9492788750147004,0.9,0.9574468085106383,0.9496402877697842,0.9959550561797752
0,0.9714285714285714,0.9555555555555556,0.9555555555555556,0.9714285714285714,0.9960233918128655
1,0.9642039973531686,0.94,0.9591836734693877,0.9642857142857143,0.9900000000000001
2,0.9501144037055639,0.9387755102040817,0.92,0.95,0.9901323166629288
3,0.9645308650833512,0.9791666666666666,0.9215686274509803,0.9642857142857143,0.9981884057971016
4,0.9570236844232479,0.9591836734693877,0.9215686274509803,0.9568345323741008,0.9834467120181405
5,0.9426323676323676,0.9056603773584906,0.9411764705882353,0.9428571428571428,0.9865538928648883
