Fold,Accuracy,F1,AUC-ROC
0,0.735,0.7409202208301153,0.7897583844212046
1,0.765,0.7644109208420162,0.7791801899266739
2,0.645,0.6479845089445685,0.6840983054651555
3,0.715,0.7223362658846529,0.7873354231974922
4,0.735,0.7422222222222223,0.800952380952381
5,0.775,0.7768107674755634,0.8362382445141066
6,0.72,0.7167706919945727,0.7663458347162297
7,0.76,0.7647863247863248,0.7782142857142857
8,0.715,0.7225246717583453,0.7601991257892181
9,0.695,0.6998250711748994,0.7212238950947062
10,0.69,0.6875270655270656,0.7314555044327237
11,0.745,0.7544581818181818,0.8070776255707762
12,0.715,0.7196603773584905,0.8032672923183872
13,0.725,0.7304,0.7459932005828072
14,0.75,0.7544413277232351,0.7864254492472074
0,0.79,0.7889290917921321,0.7927635533116961
1,0.78,0.7750344827586207,0.7785791561485754
2,0.66,0.65578125,0.6943104028728537
3,0.755,0.7512429378531073,0.7732915360501567
4,0.75,0.75,0.7984523809523809
5,0.8,0.7917286119745911,0.8270846394984326
6,0.725,0.7172,0.7568315079101671
7,0.77,0.7688664502945065,0.7757142857142857
8,0.705,0.7009077589700428,0.7283875667799902
9,0.725,0.7211851990398703,0.7175813501699855
10,0.73,0.7176080621661001,0.7202334193693188
11,0.765,0.7703017124218539,0.8118975139523085
12,0.745,0.74067615658363,0.8041941837562276
13,0.715,0.7142608695652174,0.7129674599320059
14,0.755,0.7484590603170552,0.7835114133074308
0,0.79,0.7852601880877742,0.7918018992667388
1,0.77,0.7648087774294672,0.7925231398004567
2,0.65,0.6422276764843384,0.6843227471664236
3,0.76,0.7571043511744321,0.7785579937304075
4,0.75,0.7532151546750085,0.7920238095238096
5,0.81,0.8021421813758616,0.844012539184953
6,0.72,0.7096968982191296,0.7402367518530811
7,0.77,0.7676542010684798,0.7696428571428572
8,0.715,0.7170710846616227,0.7293589120932491
9,0.715,0.7073911517973909,0.7194026226323458
10,0.72,0.7052288062814378,0.7341488048479408
11,0.745,0.7517946110828673,0.797818366311517
12,0.775,0.7711848440443794,0.8180975553238328
13,0.76,0.76,0.7419864011656143
14,0.76,0.7527608779360802,0.7933462846041767
0,0.77,0.76882710053424,0.805385262651761
1,0.805,0.8023844469797417,0.7851905277076571
2,0.625,0.6269670561460964,0.6787117046347211
3,0.75,0.7526377131640289,0.797115987460815
4,0.75,0.7522206638616176,0.8173809523809523
5,0.815,0.8121630347054076,0.8279623824451411
6,0.72,0.7142095588235293,0.7728731054320168
7,0.745,0.7467288896715683,0.7813095238095238
8,0.715,0.7183346663112059,0.7417435648372995
9,0.72,0.72,0.7385866925692084
10,0.71,0.7050272274359866,0.7255077993491191
11,0.735,0.7430617020646346,0.7924911212582445
12,0.75,0.75,0.8111458695400301
13,0.73,0.7375384615384616,0.7503642544924722
14,0.755,0.7556141463561958,0.8023312287518213
0,0.775,0.7719820542073941,0.7972112032696237
1,0.73,0.7160718515594158,0.7767760548142806
2,0.67,0.6643413277719847,0.6918415441589048
3,0.75,0.7485413495687468,0.7823197492163009
4,0.725,0.7243338616585424,0.7933333333333334
