Fold,F1,Recall,Precision,Accuracy
0,0.9264246466982973,0.9261843554902681,0.9268346826965481,0.9261843554902681
1,0.9302478324270785,0.9301983835415136,0.9303089086832034,0.9301983835415136
2,0.9217774050795542,0.9221160911094783,0.9225550359221917,0.9221160911094783
3,0.9272124128293213,0.9272593681116826,0.9273100490414801,0.9272593681116826
4,0.9270030113003358,0.9268919911829537,0.9273583860521,0.9268919911829537
5,0.929191046024407,0.9291222915901579,0.929456102440139,0.9291222915901579
6,0.9168552334021399,0.9166054371785451,0.917298532864245,0.9166054371785451
7,0.9290415926978075,0.9290962527553269,0.9292020902159722,0.9290962527553269
8,0.9305916985499485,0.9305657604702424,0.9306501747650996,0.9305657604702424
9,0.9277495175973082,0.9276267450404114,0.9282426849165516,0.9276267450404114
10,0.9278924589917482,0.927653323540213,0.928592905035402,0.927653323540213
11,0.9299757183536664,0.9298310066127847,0.9302992828762541,0.9298310066127847
12,0.9274207284240098,0.9276267450404114,0.9280162008876702,0.9276267450404114
13,0.9289326834469199,0.9290962527553269,0.9293070977972899,0.9290962527553269
14,0.9324076137937403,0.9324026451138868,0.9325355894020544,0.9324026451138868
0,0.9257588336551728,0.9254498714652957,0.9263296506381854,0.9254498714652957
1,0.9332045841490396,0.9331373989713446,0.9333128328966629,0.9331373989713446
2,0.920718058657028,0.9210139603232917,0.9211533185635861,0.9210139603232917
3,0.9282180476059125,0.9283614988978692,0.9282512286398017,0.9283614988978692
4,0.9262847343439856,0.9261572373254959,0.9266653640143165,0.9261572373254959
5,0.9291714288165337,0.9291222915901579,0.9295077470514055,0.9291222915901579
6,0.9161965848854434,0.9158706833210875,0.9168590487133998,0.9158706833210875
7,0.9298864314588745,0.9298310066127847,0.9301251359478347,0.9298310066127847
8,0.9279550890071239,0.9279941219691403,0.927941853272323,0.9279941219691403
9,0.9287880197292182,0.9287288758265981,0.9293305207096878,0.9287288758265981
10,0.930022979585277,0.9298567756151304,0.9305474835855666,0.9298567756151304
11,0.9262280354814398,0.9261572373254959,0.9264319257666492,0.9261572373254959
12,0.926046896385941,0.9261572373254959,0.9266335992428294,0.9261572373254959
13,0.9259674601717243,0.9261572373254959,0.9262719324849839,0.9261572373254959
14,0.933205717292168,0.9331373989713446,0.9334408511867281,0.9331373989713446
0,0.9261134552392218,0.9258171134777818,0.9266495881874888,0.9258171134777818
1,0.9324924296048982,0.9324026451138868,0.9326658302422807,0.9324026451138868
2,0.9192979562482319,0.9195444526083761,0.9198630753816501,0.9195444526083761
3,0.9268686074664778,0.9268919911829537,0.9269684398424286,0.9268919911829537
4,0.9259792157852607,0.925789860396767,0.9263672791962461,0.925789860396767
5,0.9287340930800542,0.9287550495776716,0.9290127511509478,0.9287550495776716
6,0.9148098715143582,0.914401175606172,0.9155245107236195,0.914401175606172
7,0.9289990683357475,0.9290962527553269,0.9291311372857605,0.9290962527553269
8,0.9314350091164572,0.9313005143277002,0.9316461112420332,0.9313005143277002
9,0.9302674266234083,0.9301983835415136,0.9307684298265053,0.9301983835415136
10,0.9293155568770876,0.9291222915901579,0.9299415603478315,0.9291222915901579
11,0.9311042179344097,0.9309331373989713,0.9314442345532745,0.9309331373989713
12,0.9271697320011462,0.9272593681116826,0.9276707613475766,0.9272593681116826
13,0.9278687547810858,0.9279941219691403,0.928117077656864,0.9279941219691403
14,0.9284520765139386,0.9283614988978692,0.9287439044879032,0.9283614988978692
0,0.9238848081550893,0.9236136614028645,0.924340571547601,0.9236136614028645
1,0.935012867762533,0.934974283614989,0.9351032246410051,0.934974283614989
2,0.9167542504202141,0.916972814107274,0.9170634722569698,0.916972814107274
3,0.9255685611138592,0.9254224834680382,0.9258520350094721,0.9254224834680382
4,0.9274570197318176,0.9272593681116826,0.92784842795994,0.9272593681116826
5,0.9310038194566795,0.9309585016525891,0.9312841367309483,0.9309585016525891
6,0.9158095750822177,0.9155033063923586,0.9164509136703773,0.9155033063923586
7,0.9301708439674217,0.9301983835415136,0.930317716602777,0.9301983835415136
8,0.9327775589444682,0.9327700220426157,0.9328035166682075,0.9327700220426157
9,0.9287520499838168,0.9287288758265981,0.9292825080658121,0.9287288758265981
10,0.9278369186316662,0.927653323540213,0.9283302856686504,0.927653323540213
11,0.9306008450787345,0.9305657604702424,0.9308237826716407,0.9305657604702424
12,0.9263829396453335,0.9265246142542248,0.9270238458401342,0.9265246142542248
13,0.9275674909543716,0.9276267450404114,0.9278603319113747,0.9276267450404114
14,0.9316736513948379,0.9316678912564291,0.9318877445343077,0.9316678912564291
0,0.9271689570806771,0.9269188395152406,0.9275567681515412,0.9269188395152406
1,0.9328056369323594,0.9327700220426157,0.9328692796395102,0.9327700220426157
2,0.9229500801033533,0.9232182218956649,0.9234881032832009,0.9232182218956649
3,0.9272781627690451,0.9272593681116826,0.9274261135454328,0.9272593681116826
4,0.928083552233184,0.9279941219691403,0.9283445740203223,0.9279941219691403
5,0.9305733030430773,0.9305912596401028,0.9309310685039046,0.9305912596401028
6,0.9172319344296411,0.916972814107274,0.9176950222762144,0.916972814107274
7,0.9312387207393794,0.9313005143277002,0.9313830857710413,0.9313005143277002
8,0.9308565124827233,0.9309331373989713,0.9308318212545675,0.9309331373989713
9,0.9309649392727671,0.9309331373989713,0.931566638197408,0.9309331373989713
10,0.9307665197262536,0.9305912596401028,0.931210308159777,0.9305912596401028
11,0.9273552213126333,0.9272593681116826,0.9275845059741156,0.9272593681116826
12,0.9267659627586275,0.9268919911829537,0.9274321141050573,0.9268919911829537
13,0.9300861330983338,0.9301983835415136,0.9303053434307965,0.9301983835415136
14,0.9320377042456013,0.9320352681851579,0.9321258914735603,0.9320352681851579
0,0.9265050981650788,0.9261843554902681,0.9270739678406299,0.9261843554902681
1,0.9339268109376905,0.9338721528288023,0.9340107877502074,0.9338721528288023
2,0.9229556999681711,0.9232182218956649,0.9235885731304814,0.9232182218956649
3,0.9251357590770217,0.9250551065393093,0.9253379824716776,0.9250551065393093
4,0.9281669653341414,0.9279941219691403,0.9285003405392689,0.9279941219691403
5,0.9324717942087983,0.932427469702534,0.9327867571298335,0.932427469702534
6,0.9172808770374166,0.916972814107274,0.9178798129375134,0.916972814107274
7,0.9275583508200916,0.9276267450404114,0.9277159051850614,0.9276267450404114
8,0.9310230145818432,0.9309331373989713,0.9311676489593433,0.9309331373989713
9,0.9290869599861251,0.9290962527553269,0.929837127889191,0.9290962527553269
10,0.9282557327963123,0.9280205655526992,0.9291112482325706,0.9280205655526992
11,0.9300064134525157,0.9298310066127847,0.9303564541446966,0.9298310066127847
12,0.9252649966416321,0.9254224834680382,0.9257059860165447,0.9254224834680382
13,0.9271403207475595,0.9272593681116826,0.9273153020790038,0.9272593681116826
14,0.9327438584342534,0.9327700220426157,0.9328845794218504,0.9327700220426157
