Fold,F1,Recall,Precision,Accuracy,AUC-ROC
0,0.7185916919959473,0.6909090909090909,0.5846153846153846,0.7142857142857143,0.755922865013774
1,0.774626116542372,0.6595744680851063,0.62,0.7727272727272727,0.8104991051898986
2,0.7617611979856879,0.6229508196721312,0.7450980392156863,0.7662337662337663,0.8103296315882248
3,0.7351730815783103,0.5319148936170213,0.5813953488372093,0.738562091503268,0.7890405459654758
4,0.7436954881911496,0.6379310344827587,0.6727272727272727,0.7450980392156863,0.810344827586207
5,0.7671005400521207,0.6976744186046512,0.5555555555555556,0.7597402597402597,0.835323695788812
6,0.7642424242424242,0.6428571428571429,0.6923076923076923,0.7662337662337663,0.8627915451895043
7,0.7348651348651349,0.5555555555555556,0.6521739130434783,0.7402597402597403,0.8074074074074075
8,0.6751352870897463,0.603448275862069,0.5645161290322581,0.673202614379085,0.7377495462794919
9,0.7184387808954569,0.6140350877192983,0.625,0.7189542483660131,0.7624269005847952
10,0.719942345870387,0.6170212765957447,0.5272727272727272,0.7142857142857143,0.7261881089679857
11,0.7484997760859831,0.6470588235294118,0.6111111111111112,0.7467532467532467,0.8261945554920997
12,0.7047611463728747,0.5614035087719298,0.6153846153846154,0.7077922077922078,0.7650569723277266
13,0.7846220552102906,0.7333333333333333,0.7213114754098361,0.7843137254901961,0.8435483870967742
14,0.7605161722808781,0.6981132075471698,0.6379310344827587,0.7581699346405228,0.8335849056603774
0,0.7252586985207305,0.7090909090909091,0.5909090909090909,0.7207792207792207,0.7742883379247015
1,0.7725222657036592,0.7446808510638298,0.5932203389830508,0.7662337662337663,0.827202227082919
2,0.7577512656046688,0.6557377049180327,0.7142857142857143,0.7597402597402597,0.8164992067689054
3,0.7849378114927688,0.6595744680851063,0.6458333333333334,0.7843137254901961,0.8061019670814933
4,0.738562091503268,0.6551724137931034,0.6551724137931034,0.738562091503268,0.8275862068965517
5,0.8146922202221742,0.7209302325581395,0.6458333333333334,0.8116883116883117,0.8483134297087785
6,0.7522497704315887,0.6428571428571429,0.6666666666666666,0.7532467532467533,0.8560495626822157
7,0.7699825630206876,0.6296296296296297,0.6938775510204082,0.7727272727272727,0.8235185185185185
8,0.6708602765436444,0.6551724137931034,0.5507246376811594,0.6666666666666666,0.7370235934664248
9,0.7524678837052063,0.6842105263157895,0.6610169491525424,0.7516339869281046,0.7779605263157895
10,0.7210191769015298,0.6382978723404256,0.5263157894736842,0.7142857142857143,0.7629747464704713
11,0.7554593734306045,0.6666666666666666,0.6181818181818182,0.7532467532467533,0.8212450028555112
12,0.7072485037086808,0.5964912280701754,0.6071428571428571,0.7077922077922078,0.7891119551455958
13,0.7865905446147924,0.8166666666666667,0.6901408450704225,0.7843137254901961,0.8462365591397849
14,0.7917299355207852,0.7169811320754716,0.6909090909090909,0.7908496732026143,0.8450943396226416
0,0.7185916919959473,0.6909090909090909,0.5846153846153846,0.7142857142857143,0.7673094582185491
1,0.8082292707292706,0.7446808510638298,0.660377358490566,0.8051948051948052,0.8250149135016902
2,0.7206611570247933,0.5573770491803278,0.6938775510204082,0.7272727272727273,0.8173805746518598
3,0.7647058823529411,0.6170212765957447,0.6170212765957447,0.7647058823529411,0.7898434363709353
4,0.7174078459543446,0.603448275862069,0.6363636363636364,0.7189542483660131,0.8147005444646098
5,0.7718118032295801,0.6744186046511628,0.5686274509803921,0.7662337662337663,0.8439136811229835
6,0.7582449361067222,0.6428571428571429,0.6792452830188679,0.7597402597402597,0.8547740524781341
