Fold,F1,Recall,Precision,Accuracy,AUC-ROC
0,0.8155073296924403,0.7450980392156863,0.8085106382978723,0.8166666666666667,0.9059391872691105
1,0.7456597222222221,0.6226415094339622,0.7674418604651163,0.75,0.8344128414531118
2,0.830081597856534,0.7407407407407407,0.8695652173913043,0.8319327731092437,0.8994301994301994
3,0.7904277033946715,0.7209302325581395,0.7045454545454546,0.7899159663865546,0.8515911872705019
4,0.8423106305459246,0.8636363636363636,0.7450980392156863,0.8403361344537815,0.8924242424242425
5,0.8067442866411938,0.7254901960784313,0.8043478260869565,0.8083333333333333,0.8823529411764707
6,0.8145927601809955,0.7192982456140351,0.8723404255319149,0.8166666666666667,0.8738512949039264
7,0.8422807350846252,0.8292682926829268,0.7391304347826086,0.8403361344537815,0.8780487804878049
8,0.8155240282105954,0.803921568627451,0.7735849056603774,0.8151260504201681,0.8754325259515571
9,0.7804863763687293,0.6888888888888889,0.7209302325581395,0.7815126050420168,0.8651651651651651
10,0.7975323149236192,0.6938775510204082,0.7906976744186046,0.8,0.8761138258120149
11,0.7810763888888889,0.6862745098039216,0.7777777777777778,0.7833333333333333,0.8007956805910771
12,0.7960843912032898,0.7,0.7954545454545454,0.7983193277310925,0.8715942028985507
13,0.8232455517850922,0.7755102040816326,0.7916666666666666,0.8235294117647058,0.897667638483965
14,0.8163737325916283,0.8043478260869565,0.74,0.8151260504201681,0.9008338296605122
0,0.8155073296924403,0.7450980392156863,0.8085106382978723,0.8166666666666667,0.8948564933219665
1,0.7805930823033439,0.6792452830188679,0.8,0.7833333333333333,0.8386370036609405
2,0.830081597856534,0.7407407407407407,0.8695652173913043,0.8319327731092437,0.9085470085470085
3,0.8062173889163508,0.7209302325581395,0.7380952380952381,0.8067226890756303,0.8473072215422277
4,0.8263506841585555,0.8863636363636364,0.7090909090909091,0.8235294117647058,0.9024242424242424
5,0.8242101869761443,0.7647058823529411,0.8125,0.825,0.8860471724921852
6,0.8226808872510806,0.7192982456140351,0.8913043478260869,0.825,0.8927875243664718
7,0.8669039219114818,0.8536585365853658,0.7777777777777778,0.865546218487395,0.8811757348342715
8,0.8073039742212673,0.803921568627451,0.7592592592592593,0.8067226890756303,0.8959054209919262
9,0.7467150496562261,0.6444444444444445,0.6744186046511628,0.7478991596638656,0.866966966966967
10,0.8240471869328494,0.7551020408163265,0.8043478260869565,0.825,0.8758263868927852
