Fold,F1,Recall,Precision,Accuracy
0,0.971538995802353,0.9716312056737588,0.9725114149020455,0.9716312056737588
1,0.9692834397674331,0.9691943127962085,0.9695765173520867,0.9691943127962085
2,0.9763357308503191,0.976303317535545,0.9764410185639143,0.976303317535545
3,0.9740738738700335,0.9739336492890995,0.9752131797658168,0.9739336492890995
4,0.988161794959512,0.9881516587677726,0.9883673562577509,0.9881516587677726
5,0.978726101325108,0.9787234042553191,0.9788434872131827,0.9787234042553191
6,0.9645019011371713,0.9644549763033176,0.9649505235367095,0.9644549763033176
7,0.9857630997264127,0.985781990521327,0.9857840691776835,0.985781990521327
8,0.9669399731445891,0.966824644549763,0.9684309050497923,0.966824644549763
9,0.9834459909545529,0.9834123222748815,0.983635060607518,0.9834123222748815
10,0.9740778594523458,0.9739952718676123,0.9748687343768029,0.9739952718676123
11,0.9857717440063165,0.985781990521327,0.9861461775203776,0.985781990521327
12,0.9786910907054663,0.9786729857819905,0.9791244368103454,0.9786729857819905
13,0.969525829712627,0.9691943127962085,0.9706078594570056,0.9691943127962085
14,0.9668540778215199,0.966824644549763,0.9676342983318975,0.966824644549763
0,0.9668040287634188,0.966903073286052,0.9676085848892254,0.966903073286052
1,0.9740054985758868,0.9739336492890995,0.974649094761654,0.9739336492890995
2,0.9739881974395259,0.9739336492890995,0.9741811679158482,0.9739336492890995
3,0.9741494247983333,0.9739336492890995,0.9755405703858451,0.9739336492890995
4,0.9833510941556084,0.9834123222748815,0.983686486382498,0.9834123222748815
5,0.9811612600653992,0.9810874704491725,0.9814114820817332,0.9810874704491725
6,0.9621137740452474,0.9620853080568721,0.9628063703296644,0.9620853080568721
7,0.9881282916219795,0.9881516587677726,0.9881476613517023,0.9881516587677726
8,0.9693720976650696,0.9691943127962085,0.9706214275851948,0.9691943127962085
9,0.9858149782227105,0.985781990521327,0.9860047288539635,0.985781990521327
10,0.9763905346192987,0.9763593380614657,0.9768466154281756,0.9763593380614657
11,0.9810160035770314,0.981042654028436,0.9813288774652192,0.981042654028436
12,0.9716901269922598,0.9715639810426541,0.9719285453882611,0.9715639810426541
13,0.9741964910051123,0.9739336492890995,0.9753379741937095,0.9739336492890995
14,0.9668186641726798,0.966824644549763,0.9672971192618756,0.966824644549763
0,0.9691068113963339,0.9692671394799054,0.969806751701054,0.9692671394799054
1,0.9668658678781238,0.966824644549763,0.9671491709635724,0.966824644549763
2,0.9763357308503191,0.976303317535545,0.9764410185639143,0.976303317535545
3,0.9693057315537886,0.9691943127962085,0.9701505649262159,0.9691943127962085
4,0.9857950286408013,0.985781990521327,0.9861407926465241,0.985781990521327
5,0.9787756945018741,0.9787234042553191,0.9789286587709185,0.9787234042553191
