Fold,F1,Recall,Precision,Accuracy
0,0.8892697554687292,0.8892988929889298,0.8892677109617592,0.8892988929889298
1,0.9121315054210145,0.9114391143911439,0.9142375987518264,0.9114391143911439
2,0.8973348872781509,0.8966789667896679,0.9002387241779493,0.8966789667896679
3,0.929449453153157,0.9296296296296296,0.9299342084801681,0.9296296296296296
4,0.8927421016565795,0.8925925925925926,0.8946120122962772,0.8925925925925926
5,0.8946314628753514,0.8929889298892989,0.8992713489287026,0.8929889298892989
6,0.9075957265410731,0.9077490774907749,0.907849441570944,0.9077490774907749
7,0.8967879987169917,0.8966789667896679,0.8990276976800321,0.8966789667896679
8,0.9146122392319337,0.9148148148148149,0.9156875531925546,0.9148148148148149
9,0.868795624893186,0.8703703703703703,0.8679445282386459,0.8703703703703703
10,0.9300310116702544,0.9298892988929889,0.9320809695255197,0.9298892988929889
11,0.8972279822704299,0.8966789667896679,0.9011362790550983,0.8966789667896679
12,0.8904665735846548,0.8892988929889298,0.8933483065833697,0.8892988929889298
13,0.8893896003314061,0.8888888888888888,0.8907963185274109,0.8888888888888888
14,0.9073911139400681,0.9074074074074074,0.9075235852025816,0.9074074074074074
0,0.8931780500274566,0.8929889298892989,0.893625729249704,0.8929889298892989
1,0.9084631842996173,0.9077490774907749,0.9107112253226967,0.9077490774907749
2,0.8973348872781509,0.8966789667896679,0.9002387241779493,0.8966789667896679
3,0.9258304866928416,0.9259259259259259,0.9258450404427416,0.9259259259259259
4,0.8927421016565795,0.8925925925925926,0.8946120122962772,0.8925925925925926
5,0.8944723142829331,0.8929889298892989,0.8988930864145178,0.8929889298892989
6,0.9036930853776408,0.9040590405904059,0.9040716320073819,0.9040590405904059
7,0.9007090427331987,0.9003690036900369,0.9025752339565913,0.9003690036900369
8,0.9109370620907539,0.9111111111111111,0.9116947192740501,0.9111111111111111
9,0.8810438085800405,0.8814814814814815,0.880682261208577,0.8814814814814815
10,0.933503987576484,0.933579335793358,0.9353610023258476,0.933579335793358
11,0.9012026243383571,0.9003690036900369,0.9058068456546635,0.9003690036900369
12,0.8903881824708827,0.8892988929889298,0.8938301822109047,0.8892988929889298
13,0.889768050879162,0.8888888888888888,0.8921471299478172,0.8888888888888888
14,0.9222242840293556,0.9222222222222223,0.9223679165708152,0.9222222222222223
0,0.8929901858582915,0.8929889298892989,0.8932915519631387,0.8929889298892989
1,0.8935531266772352,0.8929889298892989,0.8948772007589351,0.8929889298892989
2,0.8858304596139251,0.8856088560885609,0.8870566778864024,0.8856088560885609
3,0.9295978136076948,0.9296296296296296,0.9295934855636349,0.9296296296296296
4,0.8780466640898644,0.8777777777777778,0.8796090641261095,0.8777777777777778
5,0.8868877932476804,0.8856088560885609,0.8905808658359124,0.8856088560885609
6,0.8885653972818798,0.8892988929889298,0.8887319508818278,0.8892988929889298
7,0.8896319243648821,0.8892988929889298,0.8908593278479369,0.8892988929889298
8,0.9184398756493152,0.9185185185185185,0.9189181276900575,0.9185185185185185
9,0.8709382195683565,0.8703703703703703,0.8724515705824117,0.8703703703703703
10,0.9149294217456846,0.915129151291513,0.9162698960185223,0.915129151291513
11,0.9118763169418018,0.9114391143911439,0.915410657495604,0.9114391143911439
12,0.8751081562539763,0.8745387453874539,0.8771937369723347,0.8745387453874539
13,0.8859510661233894,0.8851851851851852,0.8875759660589382,0.8851851851851852
14,0.9038083130531643,0.9037037037037037,0.904345514693267,0.9037037037037037
0,0.8856426423813343,0.8856088560885609,0.8857520365537216,0.8856088560885609
1,0.897124686391663,0.8966789667896679,0.8981518170886407,0.8966789667896679
2,0.8968287533579035,0.8966789667896679,0.8973950368369663,0.8966789667896679
3,0.9295276960832108,0.9296296296296296,0.9296736762337785,0.9296296296296296
4,0.8817167400500734,0.8814814814814815,0.882906976744186,0.8814814814814815
5,0.8940604189814826,0.8929889298892989,0.8967141099982427,0.8929889298892989
6,0.8880792806656611,0.8892988929889298,0.8885978784599875,0.8892988929889298
7,0.8820261527677312,0.8819188191881919,0.8840300240695231,0.8819188191881919
8,0.9221349483655563,0.9222222222222223,0.9228105780344587,0.9222222222222223
9,0.8706932611232194,0.8703703703703703,0.8714407346591254,0.8703703703703703
10,0.9187069117283997,0.9188191881918819,0.9198387917945114,0.9188191881918819
11,0.9156989838234568,0.915129151291513,0.9200552054855047,0.915129151291513
