Fold,F1,Recall,Precision,Accuracy
0,0.9234763207286353,0.9238539238539238,0.9238146820290678,0.9238539238539238
1,0.9156761289646378,0.9176379176379177,0.9162923816684823,0.9176379176379177
2,0.9246561233263826,0.9269619269619269,0.9251394484100066,0.9269619269619269
3,0.9327018706583389,0.9347319347319347,0.9338131478153635,0.9347319347319347
4,0.9162097031135267,0.9184149184149184,0.9162984510482892,0.9184149184149184
5,0.9272141539921609,0.9285159285159286,0.927417522879845,0.9285159285159286
6,0.9327948467482681,0.9347319347319347,0.9332563240930121,0.9347319347319347
7,0.9177412427014625,0.9191919191919192,0.9173046983470432,0.9191919191919192
8,0.9130722602153187,0.9153069153069153,0.9137382627282757,0.9153069153069153
9,0.9118697159485861,0.9137529137529138,0.9123002322579764,0.9137529137529138
10,0.9184418104459451,0.9199689199689199,0.9189058123662955,0.9199689199689199
11,0.9366533093319882,0.9378399378399378,0.9375453030446529,0.9378399378399378
12,0.9007890409267368,0.9028749028749029,0.9004384967193806,0.9028749028749029
13,0.9206042374328084,0.9222999222999223,0.920646139903107,0.9222999222999223
14,0.9242600916129299,0.9254079254079254,0.9240835589355003,0.9254079254079254
0,0.921336786090298,0.9215229215229215,0.9215147160494779,0.9215229215229215
1,0.9148543398562672,0.9168609168609169,0.9153252350128798,0.9168609168609169
2,0.9224680865930308,0.9246309246309247,0.9233320969159967,0.9246309246309247
3,0.9344246758508499,0.9362859362859363,0.9353028974552234,0.9362859362859363
4,0.9154206502711162,0.9176379176379177,0.9157174102635931,0.9176379176379177
5,0.9257005967722662,0.9269619269619269,0.9256539326800379,0.9269619269619269
6,0.9240806724435011,0.9269619269619269,0.924969381153171,0.9269619269619269
7,0.9149741334465059,0.916083916083916,0.914590237945005,0.916083916083916
8,0.9153343341657464,0.9176379176379177,0.9167631032455751,0.9176379176379177
9,0.9135426976217935,0.9153069153069153,0.9139230818672978,0.9153069153069153
10,0.9201560808746431,0.9215229215229215,0.9204411628231031,0.9215229215229215
11,0.9318744341446145,0.9331779331779332,0.9330135388313036,0.9331779331779332
12,0.9024554542932007,0.9036519036519036,0.9022038139180631,0.9036519036519036
13,0.9204506911107087,0.9222999222999223,0.9204946633365687,0.9222999222999223
14,0.9257635449598614,0.9269619269619269,0.9258942973195305,0.9269619269619269
0,0.923698699482864,0.9238539238539238,0.924089154487252,0.9238539238539238
1,0.9110156229615253,0.912975912975913,0.9113892281851635,0.912975912975913
2,0.9254714869200903,0.9277389277389277,0.9263819562713184,0.9277389277389277
3,0.9346242919974488,0.9370629370629371,0.9365591328688068,0.9370629370629371
4,0.9156880728297688,0.9176379176379177,0.9156771222859841,0.9176379176379177
5,0.9310393197479734,0.9324009324009324,0.9309769001729149,0.9324009324009324
6,0.9296092839536324,0.9316239316239316,0.929592899130707,0.9316239316239316
7,0.910503892388857,0.9114219114219114,0.9100644400595008,0.9114219114219114
8,0.9087663197372111,0.9106449106449106,0.9093145374293342,0.9106449106449106
9,0.9130704295165949,0.9145299145299145,0.9130623350868903,0.9145299145299145
10,0.9231298930241248,0.9246309246309247,0.9239547222019743,0.9246309246309247
11,0.9342264507056457,0.9355089355089355,0.9350614826559371,0.9355089355089355
12,0.900275530307807,0.9013209013209014,0.8999348799575665,0.9013209013209014
13,0.9167137994838593,0.9184149184149184,0.916389401005492,0.9184149184149184
14,0.9220621400715615,0.9230769230769231,0.9217371106295498,0.9230769230769231
0,0.921036835651476,0.9215229215229215,0.9212497462978267,0.9215229215229215
1,0.908439650152726,0.9106449106449106,0.9084360588179434,0.9106449106449106
2,0.9192787914356838,0.9222999222999223,0.9204514137493615,0.9222999222999223
3,0.9302100736195208,0.9324009324009324,0.9312785952182834,0.9324009324009324
4,0.9089700616002861,0.9114219114219114,0.9088939892512335,0.9114219114219114
5,0.9209211832555765,0.9222999222999223,0.9206701234919029,0.9222999222999223
6,0.9249819686804724,0.9277389277389277,0.9254352014162197,0.9277389277389277
7,0.9143586506667655,0.916083916083916,0.913780210602203,0.916083916083916
8,0.9140459138312164,0.916083916083916,0.914723213649388,0.916083916083916
9,0.906592775201059,0.9083139083139083,0.9066306155821152,0.9083139083139083
10,0.9218235958771837,0.9238539238539238,0.9223416146416505,0.9238539238539238
11,0.931781978451717,0.9331779331779332,0.9324258109609331,0.9331779331779332
12,0.9061029875142287,0.9075369075369075,0.9057182959429365,0.9075369075369075
13,0.9141258742321285,0.916083916083916,0.9138451138435312,0.916083916083916
14,0.9242049240517558,0.9254079254079254,0.924301460476422,0.9254079254079254
0,0.9165568791971506,0.9168609168609169,0.916554331744868,0.9168609168609169
1,0.916863271461318,0.9184149184149184,0.9173973046873508,0.9184149184149184
2,0.921919643832728,0.9238539238539238,0.9222581951611366,0.9238539238539238
3,0.9341482293906624,0.9362859362859363,0.9350977087135807,0.9362859362859363
4,0.9089834968690205,0.9114219114219114,0.9091276134305932,0.9114219114219114
5,0.9248562640089926,0.9261849261849262,0.9248060776737921,0.9261849261849262
6,0.9304240327136264,0.9324009324009324,0.9306629359625609,0.9324009324009324
7,0.9182486466392857,0.9199689199689199,0.9178519965266492,0.9199689199689199
