Trial_no,learning_rate,num_leaves,num_iterations,acc,time(s)
00,0.00064326,70,95,0.7,0.242253
01,0.00824935,68,86,0.7,0.234351
02,0.0172605,60,107,0.7,0.249582
03,0.0115617,38,141,0.7,0.24831
04,0.065529,48,115,0.7,0.232968
05,0.0196472,72,116,0.7,0.219892
06,0.00206998,62,78,0.7,0.199594
07,0.000526094,35,99,0.7,0.20405
08,0.000909539,68,53,0.7,0.20376
09,0.0371629,61,148,0.7,0.215904
10,0.00080957,41,67,0.7,0.183163
11,0.000116189,74,103,0.7,0.198668
12,0.000201046,48,145,0.7,0.211837
13,0.000375732,43,58,0.7,0.188971
14,0.000113336,31,97,0.7,0.204841
15,0.0367104,64,63,0.7,0.187592
16,0.000100494,51,74,0.7,0.184917
17,0.00599976,33,100,0.7,0.194684
18,0.000189206,36,64,0.7,0.17803
19,0.000661528,45,72,0.7,0.181523
20,0.000224127,57,71,0.7,0.179223
21,0.000958552,71,68,0.7,0.175961
22,0.0313032,73,54,0.7,0.170865
23,0.0128498,31,55,0.7,0.171025
24,0.000282367,40,82,0.7,0.181573
25,0.000602512,48,99,0.7,0.189188
26,0.0938832,34,59,0.7,0.173944
