Trial_no,learning_rate,num_leaves,num_iterations,acc,time
0,0.127804,35,108,0.740441,3.89725
1,0.0799726,32,86,0.751739,3.1364
2,0.0966956,63,122,0.744354,4.30021
3,0.100995,75,103,0.75001,3.78258
4,0.0558798,46,69,0.753917,2.54358
5,0.064985,35,71,0.755188,2.4748
6,0.118685,48,54,0.747811,1.89254
7,0.100421,51,124,0.743067,3.96587
8,0.0652036,33,70,0.756933,2.50081
9,0.0527374,67,54,0.756512,1.89461
10,0.107182,47,102,0.751314,3.7229
11,0.0543815,68,137,0.752602,4.53942
12,0.138962,38,144,0.736972,4.99529
13,0.128214,52,80,0.746544,2.78089
14,0.130197,61,93,0.747817,3.12379
15,0.1251,69,140,0.739567,4.60108
16,0.0877801,39,120,0.74567,3.82326
17,0.105485,34,142,0.748261,4.92372
18,0.136758,34,77,0.744781,2.66411
19,0.117796,41,145,0.737408,5.09869
20,0.0915793,33,91,0.749996,3.25116
21,0.132068,34,140,0.74565,4.70454
22,0.137858,33,51,0.749116,1.91484
23,0.10788,53,51,0.750001,2.01286
24,0.0737398,48,115,0.752607,4.38165
25,0.142982,34,74,0.743494,2.56817
26,0.131013,72,76,0.752599,2.83621
