Trial_no,learning_rate,num_leaves,num_iterations,acc,time
0,0.0860008,55,60,0.927485,55.9753
1,0.0725665,56,52,0.927142,50.2514
2,0.120948,59,96,0.927191,97.7774
3,0.0916446,48,83,0.927363,71.4673
4,0.0661767,32,102,0.928391,61.2
5,0.0821153,73,77,0.927779,94.4634
6,0.084766,35,133,0.927338,86.2759
7,0.146633,48,88,0.926138,73.8829
8,0.14145,57,132,0.926408,115.505
9,0.147051,70,61,0.926628,73.2785
10,0.146643,44,106,0.926334,81.9742
11,0.0655617,36,125,0.928783,85.2026
12,0.0996921,65,116,0.926873,123.452
13,0.069058,53,109,0.927044,102.309
14,0.0658645,78,52,0.927657,68.9113
15,0.108317,53,90,0.926677,83.4372
16,0.117625,48,99,0.927314,83.9475
17,0.0993121,66,56,0.926824,63.3798
18,0.108158,58,54,0.927363,55.2181
19,0.0740552,31,58,0.928318,33.0135
20,0.0966705,31,81,0.927387,47.1542
21,0.0941484,44,101,0.927093,82.4285
22,0.118163,78,142,0.926775,155.75
23,0.0530729,52,55,0.928318,50.1185
24,0.124806,57,53,0.927314,53.3084
25,0.119416,57,138,0.926995,101.314
26,0.136911,44,99,0.926554,68.85
