Trial_no,learning_rate,num_leaves,num_iterations,acc,time
00,0.000147964,31,120,0.589692,3.99603
01,0.00158328,39,83,0.589692,3.70589
02,0.0154778,68,79,0.816359,3.71307
03,0.003758,41,103,0.785686,3.87157
04,0.00421469,59,64,0.75444,3.35825
05,0.00672238,40,75,0.799071,3.64664
06,0.000710481,74,130,0.589692,4.1609
07,0.000296886,31,103,0.589692,3.75538
08,0.000162438,68,86,0.589692,3.27802
09,0.0040185,68,101,0.7907,3.45234
10,0.000573641,59,143,0.589692,3.97394
11,0.000247128,77,67,0.589692,2.64883
12,0.0400917,52,70,0.82585,2.81638
13,0.000465461,72,52,0.589692,2.4224
14,0.000118391,54,147,0.589692,4.73722
15,0.0111966,57,58,0.806849,2.99808
16,0.000257699,68,61,0.589692,2.93003
17,0.000611297,74,135,0.589692,4.32121
18,0.00021764,38,64,0.589692,2.26671
19,0.000905888,67,56,0.589692,1.88533
20,0.00186304,49,146,0.754991,4.43932
21,0.000407396,66,145,0.589692,4.58661
22,0.0430147,78,56,0.824178,2.61426
23,0.0618531,52,107,0.814669,4.04207
24,0.000183786,32,73,0.589692,3.16522
25,0.0283529,38,67,0.821942,3.02154
26,0.00524664,56,87,0.796839,2.32771
