Trial_no,learning_rate,num_leaves,num_iterations,acc,time
0,0.0577672,73,87,0.91857,72.8842
1,0.123974,66,54,0.920332,42.2871
2,0.0766496,45,101,0.920642,56.3428
3,0.113206,65,119,0.923181,79.5066
4,0.118771,70,91,0.921523,70.196
5,0.107058,36,95,0.919658,43.1307
6,0.127592,57,105,0.922248,62.9326
7,0.0809775,32,107,0.920332,42.4169
8,0.106149,74,147,0.9223,94.4969
9,0.0982889,47,62,0.918726,34.756
10,0.0904845,50,123,0.921368,69.0182
11,0.0743104,34,100,0.917845,41.7703
12,0.125871,33,66,0.919244,27.0021
13,0.07288,71,92,0.920021,74.5873
14,0.0861159,34,120,0.92085,50.3164
15,0.0641219,46,129,0.920383,71.3492
16,0.111119,44,128,0.921627,62.2487
17,0.103733,74,55,0.918467,47.1617
18,0.0945412,43,64,0.918104,34.002
19,0.10175,69,123,0.922663,86.0156
20,0.0781195,78,89,0.920435,77.9086
21,0.052087,43,100,0.918208,51.8666
22,0.062564,64,74,0.917431,53.7343
23,0.101632,62,64,0.919814,45.973
24,0.103429,72,116,0.921471,54.6428
25,0.0987477,47,69,0.919814,38.1064
26,0.0554698,34,98,0.916032,27.3143
