Trial_no,learning_rate,num_leaves,num_iterations,acc,iter,time
00,0.0597451,46,55,0.90096,1,9.83393
01,0.0716754,50,52,0.902687,1,9.2155
02,0.144374,68,68,0.894806,1,12.2331
03,0.0633814,36,102,0.897518,1,17.0454
04,0.118493,36,91,0.895051,1,14.7306
05,0.103119,40,100,0.893081,1,17.4067
06,0.119635,59,114,0.894558,1,19.3378
07,0.11738,73,97,0.893572,1,17.4064
08,0.0561971,42,107,0.897764,1,19.2897
09,0.111833,41,116,0.894811,1,19.7343
10,0.146593,60,129,0.89333,1,20.8134
11,0.120189,76,138,0.891847,1,17.8137
12,0.0889259,50,112,0.8953,1,13.6477
13,0.0548966,40,141,0.897273,1,24.869
14,0.0563084,40,91,0.900224,1,16.2809
15,0.148525,61,70,0.894559,1,12.3375,
16,0.145334,36,95,0.891851,1,14.9968
17,0.0822027,31,102,0.89604,1,14.8523
18,0.111371,72,68,0.898254,1,12.3354
19,0.081629,36,134,0.896775,1,22.5368
20,0.134904,57,139,0.891357,1,22.7529
21,0.0554236,50,111,0.895544,1,20.227
22,0.0539551,45,63,0.903427,1,10.9564
23,0.114077,68,70,0.896043,1,12.67
24,0.0972628,50,143,0.894314,1,22.3412
25,0.101686,74,122,0.892095,1,12.814
26,0.07634,68,51,0.901213,1,7.68473
