number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 62, 'n_estimators': 57, 'learning_rate': 0.08312743135313433}",0.8403577309810847,{}
1,"{'num_leaves': 69, 'n_estimators': 59, 'learning_rate': 0.10971692696046205}",0.8431486875767126,{}
2,"{'num_leaves': 60, 'n_estimators': 102, 'learning_rate': 0.10375247123848859}",0.8447811778308251,{}
3,"{'num_leaves': 80, 'n_estimators': 56, 'learning_rate': 0.13824264640156267}",0.844733300162374,{}
4,"{'num_leaves': 78, 'n_estimators': 55, 'learning_rate': 0.14465002755084205}",0.8445487331199468,{}
5,"{'num_leaves': 78, 'n_estimators': 52, 'learning_rate': 0.11219702774930684}",0.8427042448123494,{}
6,"{'num_leaves': 35, 'n_estimators': 118, 'learning_rate': 0.10187344852137639}",0.8435807024092249,{}
7,"{'num_leaves': 57, 'n_estimators': 92, 'learning_rate': 0.06603981626675898}",0.8419356262063737,{}
8,"{'num_leaves': 78, 'n_estimators': 137, 'learning_rate': 0.10321150109187796}",0.8482085878750512,{}
9,"{'num_leaves': 59, 'n_estimators': 77, 'learning_rate': 0.0842999673867654}",0.8427604903246967,{}
10,"{'num_leaves': 43, 'n_estimators': 150, 'learning_rate': 0.057182273515246}",0.8428390736976751,{}
11,"{'num_leaves': 47, 'n_estimators': 125, 'learning_rate': 0.1239649494161133}",0.845856030526672,{}
12,"{'num_leaves': 48, 'n_estimators': 138, 'learning_rate': 0.13007008492047265}",0.8464181268198054,{}
13,"{'num_leaves': 47, 'n_estimators': 146, 'learning_rate': 0.1281195446483701}",0.8473290168367901,{}
14,"{'num_leaves': 31, 'n_estimators': 150, 'learning_rate': 0.08677050208334863}",0.843870706422774,{}
15,"{'num_leaves': 70, 'n_estimators': 131, 'learning_rate': 0.12343938795019063}",0.8480481423401841,{}
16,"{'num_leaves': 69, 'n_estimators': 127, 'learning_rate': 0.12024502676788483}",0.8474630679530596,{}
17,"{'num_leaves': 71, 'n_estimators': 107, 'learning_rate': 0.09085318382408683}",0.8453922298377013,{}
18,"{'num_leaves': 73, 'n_estimators': 134, 'learning_rate': 0.07004081729397266}",0.8458862489122119,{}
19,"{'num_leaves': 63, 'n_estimators': 119, 'learning_rate': 0.11666660966989399}",0.8466578747003477,{}
20,"{'num_leaves': 65, 'n_estimators': 86, 'learning_rate': 0.09665882743047483}",0.8443988731711677,{}
21,"{'num_leaves': 74, 'n_estimators': 131, 'learning_rate': 0.1198030956744109}",0.848033025661158,{}
22,"{'num_leaves': 74, 'n_estimators': 138, 'learning_rate': 0.13602658652225882}",0.8482452480716688,{}
23,"{'num_leaves': 76, 'n_estimators': 141, 'learning_rate': 0.149502401648531}",0.84881769649364,{}
24,"{'num_leaves': 75, 'n_estimators': 141, 'learning_rate': 0.1465229492614699}",0.8493662750571066,{}
25,"{'num_leaves': 66, 'n_estimators': 141, 'learning_rate': 0.1495127683877599}",0.848448616730126,{}
26,"{'num_leaves': 65, 'n_estimators': 112, 'learning_rate': 0.14633934798727793}",0.8473364845586391,{}
