number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 35, 'n_estimators': 150, 'learning_rate': 0.13129704828018418}",0.7558986324049429,"{'fit_time': array([ 9.78687501,  9.83741403,  9.80060816,  9.79424095,  9.87041879,
        9.76792574, 10.0052917 , 10.51516795,  9.95576   ,  9.80434895,
        9.83217692, 10.07817698,  2.42130208,  2.37262201,  2.57226706]), 'score_time': array([0.00564504, 0.00628591, 0.00532508, 0.00519776, 0.00582123,
       0.00564313, 0.00475526, 0.00400901, 0.0051229 , 0.00532508,
       0.00924492, 0.00420308, 0.00353909, 0.00376201, 0.00306201]), 'test_f1_weighted': array([0.74844662, 0.74404762, 0.66468822, 0.76958278, 0.78654967,
       0.76089372, 0.75728702, 0.76654824, 0.77957642, 0.76134136,
       0.8       , 0.76492154, 0.70763158, 0.75310676, 0.77385795]), 'test_recall_weighted': array([0.75   , 0.75   , 0.6625 , 0.76875, 0.79375, 0.7625 , 0.75625,
       0.76875, 0.78125, 0.76875, 0.8    , 0.76875, 0.71875, 0.75   ,
       0.78125]), 'test_precision_weighted': array([0.74713959, 0.74216301, 0.6670707 , 0.77047904, 0.78801496,
       0.75954154, 0.75838542, 0.76492754, 0.77848864, 0.76206768,
       0.8       , 0.76273107, 0.7068431 , 0.75717044, 0.77215002]), 'test_accuracy': array([0.75   , 0.75   , 0.6625 , 0.76875, 0.79375, 0.7625 , 0.75625,
       0.76875, 0.78125, 0.76875, 0.8    , 0.76875, 0.71875, 0.75   ,
       0.78125]), 'test_roc_auc_ovr': array([0.69642857, 0.6951567 , 0.58937198, 0.70950109, 0.73753561,
       0.70366133, 0.67376563, 0.71577381, 0.74598836, 0.71645702,
       0.75591152, 0.70982143, 0.65600978, 0.70434783, 0.70843532])}"
1,"{'num_leaves': 75, 'n_estimators': 117, 'learning_rate': 0.13382447335653433}",0.74893706739912,"{'fit_time': array([8.26778221, 8.2500391 , 7.58845401, 7.62981224, 7.68583894,
       7.58613491, 7.70728874, 7.69894195, 7.63273907, 7.54883313,
       7.60300708, 7.77510619, 2.05145597, 2.02799487, 2.04853106]), 'score_time': array([0.00367117, 0.00367522, 0.00403976, 0.00448275, 0.00504994,
       0.004107  , 0.00474811, 0.00455713, 0.00399494, 0.00446582,
       0.00465298, 0.00503683, 0.0031929 , 0.00341606, 0.00319409]), 'test_f1_weighted': array([0.75550877, 0.72186775, 0.66760604, 0.8       , 0.7655263 ,
       0.78194425, 0.73239338, 0.75498575, 0.75438515, 0.75018116,
       0.75544292, 0.74449632, 0.70973949, 0.7476462 , 0.79233253]), 'test_recall_weighted': array([0.75625, 0.73125, 0.66875, 0.8    , 0.76875, 0.78125, 0.73125,
       0.75   , 0.75625, 0.7625 , 0.75625, 0.74375, 0.71875, 0.74375,
       0.8    ]), 'test_precision_weighted': array([0.7548296 , 0.72001947, 0.66651156, 0.8       , 0.76391922,
       0.78270335, 0.73359375, 0.76373626, 0.75307955, 0.75568378,
       0.75469807, 0.74530245, 0.70802276, 0.75301136, 0.79208965]), 'test_accuracy': array([0.75625, 0.73125, 0.66875, 0.8    , 0.76875, 0.78125, 0.73125,
       0.75   , 0.75625, 0.7625 , 0.75625, 0.74375, 0.71875, 0.74375,
       0.8    ]), 'test_roc_auc_ovr': array([0.70684524, 0.66631054, 0.58695652, 0.74557742, 0.72400285,
       0.73627002, 0.63986014, 0.72619048, 0.71777464, 0.69811321,
       0.69927536, 0.69791667, 0.66055206, 0.7       , 0.72792318])}"
2,"{'num_leaves': 50, 'n_estimators': 78, 'learning_rate': 0.05559920125923651}",0.753898973452254,"{'fit_time': array([5.04460096, 5.09649086, 4.97656012, 5.02253175, 5.56137705,
       5.062675  , 5.60262394, 5.10105896, 5.12167597, 5.06363702,
       5.11458516, 5.13696194, 1.42029715, 1.35871983, 1.37633109]), 'score_time': array([0.004987  , 0.00421214, 0.00446105, 0.00442529, 0.00362492,
       0.00476074, 0.0031352 , 0.00395727, 0.00413299, 0.00465798,
       0.00438881, 0.00441599, 0.00293183, 0.00313497, 0.00292611]), 'test_f1_weighted': array([0.74936877, 0.75843905, 0.72142781, 0.79716457, 0.775     ,
       0.79304281, 0.74815217, 0.72685769, 0.77119219, 0.7333918 ,
       0.731     , 0.71149389, 0.74187708, 0.75569958, 0.79437719]), 'test_recall_weighted': array([0.74375, 0.7625 , 0.71875, 0.79375, 0.775  , 0.7875 , 0.7375 ,
       0.71875, 0.76875, 0.7375 , 0.725  , 0.70625, 0.74375, 0.75   ,
       0.79375]), 'test_precision_weighted': array([0.75968319, 0.75669336, 0.72460938, 0.80221354, 0.775     ,
       0.80484203, 0.76688478, 0.74424574, 0.77516269, 0.73147321,
       0.74058351, 0.71939394, 0.74054911, 0.76516487, 0.79507068]), 'test_accuracy': array([0.74375, 0.7625 , 0.71875, 0.79375, 0.775  , 0.7875 , 0.7375 ,
       0.71875, 0.76875, 0.7375 , 0.725  , 0.70625, 0.74375, 0.75   ,
       0.79375]), 'test_roc_auc_ovr': array([0.72172619, 0.71438746, 0.66231884, 0.75601272, 0.74358974,
       0.77307399, 0.69612206, 0.70386905, 0.75092576, 0.69287212,
       0.69031274, 0.67113095, 0.70667365, 0.7178744 , 0.754566  ])}"
3,"{'num_leaves': 49, 'n_estimators': 71, 'learning_rate': 0.05418876187279409}",0.75238707993419,"{'fit_time': array([4.31561899, 4.40480614, 4.32604599, 4.28281307, 4.38934016,
       4.36923409, 4.47530508, 4.40168619, 4.4856832 , 4.42583179,
       4.44662118, 4.48621702, 1.1826818 , 1.15543509, 1.15648007]), 'score_time': array([0.00410604, 0.0053618 , 0.00729418, 0.00418782, 0.004179  ,
       0.00495696, 0.00445008, 0.00440216, 0.00409102, 0.00469398,
       0.00458479, 0.00389385, 0.00299692, 0.00306201, 0.00275207]), 'test_f1_weighted': array([0.73249476, 0.75990909, 0.71362094, 0.7916333 , 0.775     ,
       0.77990909, 0.77859705, 0.74545455, 0.7817587 , 0.72782314,
       0.74875109, 0.69493916, 0.74608743, 0.75017997, 0.75964795]), 'test_recall_weighted': array([0.725  , 0.7625 , 0.70625, 0.7875 , 0.775  , 0.775  , 0.775  ,
       0.7375 , 0.78125, 0.73125, 0.74375, 0.6875 , 0.75   , 0.74375,
       0.75625]), 'test_precision_weighted': array([0.748     , 0.75833333, 0.72533412, 0.79807639, 0.775     ,
       0.7887666 , 0.7832091 , 0.76451613, 0.78233097, 0.72588941,
       0.75661039, 0.70757268, 0.74441964, 0.7613011 , 0.76455217]), 'test_accuracy': array([0.725  , 0.7625 , 0.70625, 0.7875 , 0.775  , 0.775  , 0.775  ,
       0.7375 , 0.78125, 0.73125, 0.74375, 0.6875 , 0.75   , 0.74375,
       0.75625]), 'test_roc_auc_ovr': array([0.70833333, 0.71937322, 0.66714976, 0.75173922, 0.74358974,
       0.75133486, 0.71222717, 0.72916667, 0.75551049, 0.68815514,
       0.70995423, 0.6577381 , 0.70684836, 0.71352657, 0.7218038 ])}"
4,"{'num_leaves': 45, 'n_estimators': 110, 'learning_rate': 0.06028285762187328}",0.7549569008579586,"{'fit_time': array([6.69842577, 6.75398588, 6.71590018, 6.675807  , 7.31724381,
       6.72084022, 6.9769609 , 6.89567685, 6.88167095, 6.85823607,
       6.84476709, 6.83045816, 1.78351307, 1.76180792, 1.77089477]), 'score_time': array([0.00392818, 0.00390005, 0.00397992, 0.00431705, 0.00348806,
       0.00460815, 0.00478411, 0.00422883, 0.00442076, 0.00438595,
       0.00410104, 0.00506997, 0.00325489, 0.00364017, 0.00304627]), 'test_f1_weighted': array([0.74449632, 0.77382623, 0.72448396, 0.8       , 0.76126102,
       0.75427468, 0.75348448, 0.74832446, 0.73187497, 0.75401786,
       0.77884721, 0.74036364, 0.73732003, 0.72448396, 0.79729469]), 'test_recall_weighted': array([0.74375, 0.775  , 0.71875, 0.8    , 0.7625 , 0.75   , 0.74375,
       0.74375, 0.73125, 0.7625 , 0.775  , 0.7375 , 0.74375, 0.71875,
       0.8    ]), 'test_precision_weighted': array([0.74530245, 0.77290909, 0.73292824, 0.8       , 0.76027273,
       0.76068376, 0.770125  , 0.75575758, 0.73255809, 0.75517554,
       0.7849359 , 0.74415954, 0.73597826, 0.73292824, 0.79570662]), 'test_accuracy': array([0.74375, 0.775  , 0.71875, 0.8    , 0.7625 , 0.75   , 0.74375,
       0.74375, 0.73125, 0.7625 , 0.775  , 0.7375 , 0.74375, 0.71875,
       0.8    ]), 'test_roc_auc_ovr': array([0.69791667, 0.73860399, 0.67584541, 0.74557742, 0.72435897,
       0.7143402 , 0.70025429, 0.71577381, 0.69908305, 0.70719776,
       0.74485126, 0.69940476, 0.69304682, 0.67584541, 0.74656374])}"
5,"{'num_leaves': 42, 'n_estimators': 112, 'learning_rate': 0.09076459188971014}",0.7572421723027645,"{'fit_time': array([7.10143924, 7.17945719, 6.98220181, 7.02268887, 7.14688087,
       7.08020401, 7.21200514, 7.11679387, 7.12008691, 7.0454011 ,
       7.10229921, 7.17975807, 1.73940778, 1.67982125, 1.68921328]), 'score_time': array([0.00427508, 0.00407982, 0.00478935, 0.00445199, 0.0039618 ,
       0.00434518, 0.00410271, 0.00417209, 0.00399613, 0.00414491,
       0.00392485, 0.00415683, 0.00326824, 0.00335717, 0.00385213]), 'test_f1_weighted': array([0.74036364, 0.75843905, 0.70194508, 0.80552253, 0.78386652,
       0.75979959, 0.76102066, 0.79547511, 0.74875356, 0.7370328 ,
       0.76397571, 0.74844662, 0.69683903, 0.76545142, 0.79170126]), 'test_recall_weighted': array([0.7375 , 0.7625 , 0.7    , 0.80625, 0.7875 , 0.75625, 0.75625,
       0.79375, 0.75   , 0.75   , 0.7625 , 0.75   , 0.70625, 0.7625 ,
       0.79375]), 'test_precision_weighted': array([0.74415954, 0.75669336, 0.70410469, 0.80486531, 0.7826659 ,
       0.76485654, 0.76729526, 0.79778737, 0.74775139, 0.74137187,
       0.7656994 , 0.74713959, 0.69451153, 0.76938546, 0.79026744]), 'test_accuracy': array([0.7375 , 0.7625 , 0.7    , 0.80625, 0.7875 , 0.75625, 0.75625,
       0.79375, 0.75   , 0.75   , 0.7625 , 0.75   , 0.70625, 0.7625 ,
       0.79375]), 'test_roc_auc_ovr': array([0.69940476, 0.71438746, 0.63574879, 0.74985092, 0.74287749,
       0.71872616, 0.69114219, 0.76339286, 0.71310175, 0.68413697,
       0.71662853, 0.69642857, 0.64657582, 0.71980676, 0.74213896])}"
6,"{'num_leaves': 50, 'n_estimators': 122, 'learning_rate': 0.08636140227120968}",0.7540673180753558,"{'fit_time': array([7.839854  , 7.88141918, 7.72575593, 7.77817583, 7.78984976,
       7.81167698, 8.05416393, 7.90023184, 7.98131895, 7.86487436,
       7.857939  , 7.93246412, 1.9819839 , 1.90850306, 1.93172002]), 'score_time': array([0.00433803, 0.00423384, 0.00493002, 0.00428605, 0.00438213,
       0.00448728, 0.00444007, 0.00437522, 0.00406337, 0.00517774,
       0.00419807, 0.00410795, 0.0032289 , 0.00345302, 0.00313711]), 'test_f1_weighted': array([0.73899614, 0.76242105, 0.70372811, 0.8       , 0.78810526,
       0.79002976, 0.73308984, 0.75142489, 0.73619124, 0.75401786,
       0.775     , 0.73203273, 0.71716308, 0.75857077, 0.77023903]), 'test_recall_weighted': array([0.7375 , 0.76875, 0.7    , 0.8    , 0.79375, 0.7875 , 0.725  ,
       0.75   , 0.7375 , 0.7625 , 0.775  , 0.73125, 0.725  , 0.75625,
       0.775  ]), 'test_precision_weighted': array([0.74072727, 0.76149374, 0.70831035, 0.8       , 0.78814848,
       0.79359091, 0.74469497, 0.75309091, 0.73512097, 0.75517554,
       0.775     , 0.73287369, 0.71539969, 0.76143973, 0.76789813]), 'test_accuracy': array([0.7375 , 0.76875, 0.7    , 0.8    , 0.79375, 0.7875 , 0.725  ,
       0.75   , 0.7375 , 0.7625 , 0.775  , 0.73125, 0.725  , 0.75625,
       0.775  ]), 'test_roc_auc_ovr': array([0.69345238, 0.71403134, 0.64251208, 0.74557742, 0.74252137,
       0.75362319, 0.66179275, 0.70833333, 0.69899489, 0.70719776,
       0.72540046, 0.68303571, 0.66981132, 0.70869565, 0.71022406])}"
7,"{'num_leaves': 49, 'n_estimators': 145, 'learning_rate': 0.08317068976051188}",0.7535261963378747,"{'fit_time': array([9.4177978 , 9.39656901, 9.40805602, 9.38067412, 9.44059086,
       9.46486187, 9.61359215, 9.48111391, 9.64970803, 9.37432384,
       9.49666381, 9.60592937, 2.26576018, 2.228863  , 2.26243711]), 'score_time': array([0.00445414, 0.00489998, 0.00494289, 0.00478268, 0.00539613,
       0.00413609, 0.00409675, 0.00542307, 0.00408792, 0.00502324,
       0.00423908, 0.00408077, 0.00318789, 0.00350714, 0.0033443 ]), 'test_f1_weighted': array([0.73899614, 0.76403541, 0.69138345, 0.78203776, 0.77526316,
       0.7625    , 0.75399672, 0.77068422, 0.73619124, 0.77825739,
       0.77898366, 0.7375    , 0.71517857, 0.7476462 , 0.77023903]), 'test_recall_weighted': array([0.7375 , 0.76875, 0.6875 , 0.78125, 0.78125, 0.7625 , 0.75   ,
       0.76875, 0.7375 , 0.7875 , 0.78125, 0.7375 , 0.725  , 0.74375,
       0.775  ]), 'test_precision_weighted': array([0.74072727, 0.76253623, 0.69609533, 0.78289087, 0.77482111,
       0.7625    , 0.75894454, 0.77317863, 0.73512097, 0.783125  ,
       0.77731813, 0.7375    , 0.71422518, 0.75301136, 0.76789813]), 'test_accuracy': array([0.7375 , 0.76875, 0.6875 , 0.78125, 0.78125, 0.7625 , 0.75   ,
       0.76875, 0.7375 , 0.7875 , 0.78125, 0.7375 , 0.725  , 0.74375,
       0.775  ]), 'test_roc_auc_ovr': array([0.69345238, 0.71901709, 0.62705314, 0.7254025 , 0.72827635,
       0.71014493, 0.67832168, 0.73363095, 0.69899489, 0.73060797,
       0.72330282, 0.6875    , 0.66526904, 0.7       , 0.71022406])}"
8,"{'num_leaves': 44, 'n_estimators': 103, 'learning_rate': 0.061262128660887726}",0.7457500396191589,"{'fit_time': array([6.45461893, 6.43757582, 6.32517791, 6.44526005, 6.50772309,
       6.40281701, 6.56325507, 6.35628796, 6.51859593, 6.54982877,
       6.53228378, 6.5184381 , 1.58847785, 1.5327332 , 1.52972102]), 'score_time': array([0.0042541 , 0.00444221, 0.00495195, 0.00418496, 0.00518703,
       0.0044589 , 0.0038929 , 0.00421906, 0.00408816, 0.00493312,
       0.00400519, 0.00422192, 0.00320721, 0.00310302, 0.00338101]), 'test_f1_weighted': array([0.75391257, 0.7655263 , 0.68080357, 0.77114585, 0.79322402,
       0.76100713, 0.75205528, 0.75391257, 0.73977273, 0.73001931,
       0.75427468, 0.70046512, 0.71349858, 0.75017997, 0.76645292]), 'test_recall_weighted': array([0.75   , 0.76875, 0.675  , 0.76875, 0.79375, 0.75625, 0.74375,
       0.75   , 0.7375 , 0.7375 , 0.75   , 0.69375, 0.71875, 0.74375,
       0.76875]), 'test_precision_weighted': array([0.75995807, 0.76391922, 0.68841069, 0.77410612, 0.79276399,
       0.76869379, 0.76501116, 0.75995807, 0.74297607, 0.72878135,
       0.76068376, 0.71144609, 0.7111302 , 0.7613011 , 0.76473844]), 'test_accuracy': array([0.75   , 0.76875, 0.675  , 0.76875, 0.79375, 0.75625, 0.74375,
       0.75   , 0.7375 , 0.7375 , 0.75   , 0.69375, 0.71875, 0.74375,
       0.76875]), 'test_roc_auc_ovr': array([0.7202381 , 0.72400285, 0.61835749, 0.7168555 , 0.76246439,
       0.72520976, 0.69156601, 0.7202381 , 0.71327808, 0.68378756,
       0.7143402 , 0.66220238, 0.66963662, 0.71352657, 0.7120128 ])}"
9,"{'num_leaves': 41, 'n_estimators': 111, 'learning_rate': 0.13102917340299033}",0.7522853565561759,"{'fit_time': array([7.20967698, 7.29039216, 7.07043576, 7.13408303, 7.2091248 ,
       7.22473001, 7.34300685, 7.19667411, 7.25611091, 7.25749397,
       7.24156022, 7.41164994, 1.81183624, 1.73232484, 1.72713494]), 'score_time': array([0.00579   , 0.00443482, 0.00629711, 0.00543714, 0.00523806,
       0.00397897, 0.00433493, 0.00514698, 0.00479102, 0.00479221,
       0.00424385, 0.00411129, 0.00349903, 0.00374222, 0.00354004]), 'test_f1_weighted': array([0.7375    , 0.74572532, 0.68428485, 0.78203776, 0.76403541,
       0.79002976, 0.74688711, 0.7625    , 0.78528287, 0.71612241,
       0.76397571, 0.73755533, 0.72450638, 0.75705708, 0.78678035]), 'test_recall_weighted': array([0.7375 , 0.75   , 0.68125, 0.78125, 0.76875, 0.7875 , 0.74375,
       0.7625 , 0.7875 , 0.73125, 0.7625 , 0.74375, 0.73125, 0.75625,
       0.79375]), 'test_precision_weighted': array([0.7375    , 0.74370709, 0.68777902, 0.78289087, 0.76253623,
       0.79359091, 0.75055236, 0.7625    , 0.78412622, 0.71983355,
       0.7656994 , 0.73443329, 0.72271739, 0.75792572, 0.78566922]), 'test_accuracy': array([0.7375 , 0.75   , 0.68125, 0.78125, 0.76875, 0.7875 , 0.74375,
       0.7625 , 0.7875 , 0.73125, 0.7625 , 0.74375, 0.73125, 0.75625,
       0.79375]), 'test_roc_auc_ovr': array([0.6875    , 0.70014245, 0.61594203, 0.7254025 , 0.71901709,
       0.75362319, 0.66550117, 0.7172619 , 0.75066126, 0.66090147,
       0.71662853, 0.67410714, 0.67907058, 0.70193237, 0.7234984 ])}"
