number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 72, 'n_estimators': 106, 'learning_rate': 0.0875155775645295}",0.8038992882398567,"{'fit_time': array([3.05768871, 3.06413507, 3.0687778 , 2.99516392, 3.04705906,
       3.0147059 , 2.97460079, 3.0483799 , 3.08408403, 3.06942296,
       2.97512317, 2.91507387, 0.70965719, 0.70001507, 0.69453382]), 'score_time': array([0.00456905, 0.00484681, 0.00493598, 0.00450611, 0.00410485,
       0.00438619, 0.00451803, 0.00601387, 0.00432396, 0.00418496,
       0.00443578, 0.01490402, 0.00332308, 0.00310493, 0.00299811]), 'test_f1_weighted': array([0.821487  , 0.71980708, 0.790273  , 0.86485671, 0.83501684,
       0.78575599, 0.71746325, 0.76881184, 0.83351872, 0.86666667,
       0.85041516, 0.83606557, 0.80306716, 0.7698092 , 0.79547511]), 'test_recall_weighted': array([0.81967213, 0.72131148, 0.78688525, 0.86666667, 0.83333333,
       0.78688525, 0.72131148, 0.7704918 , 0.83333333, 0.86666667,
       0.85245902, 0.83606557, 0.80327869, 0.76666667, 0.8       ]), 'test_precision_weighted': array([0.82729238, 0.72815709, 0.79752035, 0.88123776, 0.85333333,
       0.78507026, 0.72365608, 0.7688412 , 0.83555556, 0.86666667,
       0.8528103 , 0.83606557, 0.80980768, 0.80018539, 0.83907204]), 'test_accuracy': array([0.81967213, 0.72131148, 0.78688525, 0.86666667, 0.83333333,
       0.78688525, 0.72131148, 0.7704918 , 0.83333333, 0.86666667,
       0.85245902, 0.83606557, 0.80327869, 0.76666667, 0.8       ]), 'test_roc_auc_ovr': array([0.82093822, 0.72258065, 0.77743902, 0.86318131, 0.84722222,
       0.76398601, 0.71266234, 0.75666667, 0.83482143, 0.86607143,
       0.83445946, 0.8356681 , 0.80603448, 0.78613396, 0.80533927])}"
1,"{'num_leaves': 79, 'n_estimators': 63, 'learning_rate': 0.12021111111833944}",0.7998010300176032,"{'fit_time': array([1.41378689, 1.48980618, 1.44611406, 1.43217492, 1.45513129,
       1.38123608, 1.39364314, 1.45611691, 1.46976018, 1.44439483,
       1.42754102, 1.41528702, 0.50069594, 0.49373102, 0.48686504]), 'score_time': array([0.00397897, 0.00407982, 0.00397301, 0.00392914, 0.00419784,
       0.00407887, 0.00411797, 0.00412273, 0.00402188, 0.0040803 ,
       0.00395894, 0.004215  , 0.00317287, 0.00288391, 0.0028832 ]), 'test_f1_weighted': array([0.821487  , 0.71980708, 0.80717643, 0.81485966, 0.83501684,
       0.78575599, 0.71746325, 0.78434601, 0.83351872, 0.83351872,
       0.80159058, 0.81947745, 0.78631189, 0.75344973, 0.88323608]), 'test_recall_weighted': array([0.81967213, 0.72131148, 0.80327869, 0.81666667, 0.83333333,
       0.78688525, 0.72131148, 0.78688525, 0.83333333, 0.83333333,
       0.80327869, 0.81967213, 0.78688525, 0.75      , 0.88333333]), 'test_precision_weighted': array([0.82729238, 0.72815709, 0.81804756, 0.82476852, 0.85333333,
       0.78507026, 0.72365608, 0.78579617, 0.83555556, 0.83555556,
       0.80171195, 0.81972536, 0.79643916, 0.77722222, 0.8875744 ]), 'test_accuracy': array([0.81967213, 0.72131148, 0.80327869, 0.81666667, 0.83333333,
       0.78688525, 0.72131148, 0.78688525, 0.83333333, 0.83333333,
       0.80327869, 0.81967213, 0.78688525, 0.75      , 0.88333333]), 'test_roc_auc_ovr': array([0.82093822, 0.72258065, 0.80243902, 0.81368187, 0.84722222,
       0.76398601, 0.71266234, 0.77055556, 0.83482143, 0.83482143,
       0.7865991 , 0.81842672, 0.79040948, 0.76439483, 0.88487208])}"
2,"{'num_leaves': 72, 'n_estimators': 97, 'learning_rate': 0.11871706877298059}",0.7938266787810692,"{'fit_time': array([2.18945813, 2.25304604, 2.19369984, 2.19934821, 2.2305932 ,
       2.13790226, 2.18083119, 2.18410778, 2.25755215, 2.24690771,
       2.21361399, 2.18225527, 0.68963909, 0.66624713, 0.67036796]), 'score_time': array([0.00389886, 0.00396395, 0.0039432 , 0.00415277, 0.00386477,
       0.00404501, 0.00424194, 0.00388932, 0.0037899 , 0.00375915,
       0.00378203, 0.0038929 , 0.00295186, 0.00288606, 0.00303483]), 'test_f1_weighted': array([0.80471865, 0.7039641 , 0.80717643, 0.83107089, 0.83484163,
       0.77964316, 0.6995082 , 0.7861703 , 0.8       , 0.86666667,
       0.81895594, 0.81947745, 0.78688525, 0.75344973, 0.81487179]), 'test_recall_weighted': array([0.80327869, 0.70491803, 0.80327869, 0.83333333, 0.83333333,
       0.78688525, 0.70491803, 0.78688525, 0.8       , 0.86666667,
       0.81967213, 0.81967213, 0.78688525, 0.75      , 0.81666667]), 'test_precision_weighted': array([0.80790528, 0.70913247, 0.81804756, 0.8462593 , 0.84375   ,
       0.78436486, 0.70835722, 0.78588835, 0.80714286, 0.86666667,
       0.81869678, 0.81972536, 0.79070096, 0.77722222, 0.83611111]), 'test_accuracy': array([0.80327869, 0.70491803, 0.80327869, 0.83333333, 0.83333333,
       0.78688525, 0.70491803, 0.78688525, 0.8       , 0.86666667,
       0.81967213, 0.81967213, 0.78688525, 0.75      , 0.81666667]), 'test_roc_auc_ovr': array([0.79919908, 0.70591398, 0.80243902, 0.8298109 , 0.84027778,
       0.74417249, 0.69480519, 0.77666667, 0.80357143, 0.86607143,
       0.80743243, 0.81842672, 0.7887931 , 0.76439483, 0.82035595])}"
3,"{'num_leaves': 79, 'n_estimators': 118, 'learning_rate': 0.05021180789323182}",0.8084341981160014,"{'fit_time': array([2.63104606, 2.72090483, 2.646065  , 2.651999  , 2.69271898,
       2.57707381, 2.65629601, 2.56582093, 2.70874405, 2.66308284,
       2.631778  , 2.65781307, 0.76045299, 0.77031183, 0.73259592]), 'score_time': array([0.00416088, 0.00374293, 0.00386786, 0.00386405, 0.00561404,
       0.00400209, 0.00380707, 0.00388503, 0.00403595, 0.00438786,
       0.00381899, 0.00381207, 0.00319099, 0.00290823, 0.00366902]), 'test_f1_weighted': array([0.7890301 , 0.75370142, 0.790273  , 0.84852154, 0.83501684,
       0.80105386, 0.73511079, 0.80183872, 0.83351872, 0.85012531,
       0.83050351, 0.85229973, 0.78631189, 0.76983409, 0.84937343]), 'test_recall_weighted': array([0.78688525, 0.75409836, 0.78688525, 0.85      , 0.83333333,
       0.80327869, 0.73770492, 0.80327869, 0.83333333, 0.85      ,
       0.83606557, 0.85245902, 0.78688525, 0.76666667, 0.85      ]), 'test_precision_weighted': array([0.79499189, 0.75697254, 0.79752035, 0.85925926, 0.85333333,
       0.80067973, 0.73903412, 0.80219079, 0.83555556, 0.85072303,
       0.84343627, 0.85260095, 0.79643916, 0.7882462 , 0.86074661]), 'test_accuracy': array([0.78688525, 0.75409836, 0.78688525, 0.85      , 0.83333333,
       0.80327869, 0.73770492, 0.80327869, 0.83333333, 0.85      ,
       0.83606557, 0.85245902, 0.78688525, 0.76666667, 0.85      ]), 'test_roc_auc_ovr': array([0.78604119, 0.75483871, 0.77743902, 0.84705228, 0.84722222,
       0.77680653, 0.73051948, 0.79055556, 0.83482143, 0.85044643,
       0.80630631, 0.8512931 , 0.79040948, 0.77790834, 0.85261402])}"
4,"{'num_leaves': 46, 'n_estimators': 96, 'learning_rate': 0.06251654871692025}",0.8083336711414354,"{'fit_time': array([2.17403793, 2.20765209, 2.15896702, 2.21206903, 2.19979   ,
       2.13588595, 2.14451623, 2.12502003, 2.23649096, 2.16606307,
       2.13155413, 2.20741034, 0.638731  , 0.64468598, 0.6316402 ]), 'score_time': array([0.00386906, 0.00389886, 0.00401282, 0.00384593, 0.00455785,
       0.00393915, 0.00388885, 0.00415611, 0.00378799, 0.00386786,
       0.00397491, 0.00377703, 0.00286102, 0.00297999, 0.00295496]), 'test_f1_weighted': array([0.80568306, 0.75277096, 0.790273  , 0.84731458, 0.85147846,
       0.78575599, 0.71746325, 0.80183872, 0.85012531, 0.86666667,
       0.81489453, 0.83562203, 0.80306716, 0.76983409, 0.83221726]), 'test_recall_weighted': array([0.80327869, 0.75409836, 0.78688525, 0.85      , 0.85      ,
       0.78688525, 0.72131148, 0.80327869, 0.85      , 0.86666667,
       0.81967213, 0.83606557, 0.80327869, 0.76666667, 0.83333333]), 'test_precision_weighted': array([0.81499339, 0.76175464, 0.79752035, 0.86925837, 0.8647386 ,
       0.78507026, 0.72365608, 0.80219079, 0.85072303, 0.86666667,
       0.82234274, 0.83699418, 0.80980768, 0.7882462 , 0.84819048]), 'test_accuracy': array([0.80327869, 0.75409836, 0.78688525, 0.85      , 0.85      ,
       0.78688525, 0.72131148, 0.80327869, 0.85      , 0.86666667,
       0.81967213, 0.83606557, 0.80327869, 0.76666667, 0.83333333]), 'test_roc_auc_ovr': array([0.80778032, 0.75537634, 0.77743902, 0.84593993, 0.86111111,
       0.76398601, 0.71266234, 0.79055556, 0.85044643, 0.86607143,
       0.79279279, 0.83405172, 0.80603448, 0.77790834, 0.83648498])}"
5,"{'num_leaves': 56, 'n_estimators': 128, 'learning_rate': 0.1262203359589219}",0.7952807970373234,"{'fit_time': array([2.879637  , 3.05181527, 2.92759919, 2.92004085, 2.96414304,
       2.89054227, 2.92261195, 2.92492819, 3.00762963, 2.95370197,
       2.971488  , 2.93223691, 0.83370876, 0.84136009, 0.82929206]), 'score_time': array([0.00397992, 0.00381804, 0.00414681, 0.00395703, 0.00390577,
       0.00395799, 0.00408292, 0.00385189, 0.00374508, 0.00391912,
       0.00385523, 0.00398493, 0.00373006, 0.00313997, 0.00432587]), 'test_f1_weighted': array([0.821487  , 0.71980708, 0.77503917, 0.84852154, 0.81847367,
       0.78575599, 0.6995082 , 0.7861703 , 0.8       , 0.86666667,
       0.85041516, 0.80327869, 0.80306716, 0.7698092 , 0.78121212]), 'test_recall_weighted': array([0.81967213, 0.72131148, 0.7704918 , 0.85      , 0.81666667,
       0.78688525, 0.70491803, 0.78688525, 0.8       , 0.86666667,
       0.85245902, 0.80327869, 0.80327869, 0.76666667, 0.78333333]), 'test_precision_weighted': array([0.82729238, 0.72815709, 0.78622065, 0.85925926, 0.83159066,
       0.78507026, 0.70835722, 0.78588835, 0.80714286, 0.86666667,
       0.8528103 , 0.80327869, 0.80980768, 0.80018539, 0.80115741]), 'test_accuracy': array([0.81967213, 0.72131148, 0.7704918 , 0.85      , 0.81666667,
       0.78688525, 0.70491803, 0.78688525, 0.8       , 0.86666667,
       0.85245902, 0.80327869, 0.80327869, 0.76666667, 0.78333333]), 'test_roc_auc_ovr': array([0.82093822, 0.72258065, 0.7652439 , 0.84705228, 0.82638889,
       0.76398601, 0.69480519, 0.77666667, 0.80357143, 0.86607143,
       0.83445946, 0.80280172, 0.80603448, 0.78613396, 0.78698554])}"
6,"{'num_leaves': 39, 'n_estimators': 137, 'learning_rate': 0.06900106679773069}",0.797323041516432,"{'fit_time': array([3.07357478, 3.19615698, 3.1347959 , 3.04007196, 3.14907885,
       3.04966092, 3.06563878, 3.07338309, 3.16627908, 3.12396288,
       3.05385017, 3.04930305, 0.85378408, 0.8478241 , 0.85150123]), 'score_time': array([0.00485301, 0.00392222, 0.00504804, 0.0042479 , 0.00387216,
       0.00396299, 0.00421405, 0.00402117, 0.0038588 , 0.00401402,
       0.00405097, 0.0038867 , 0.00306582, 0.00288486, 0.00290704]), 'test_f1_weighted': array([0.821487  , 0.71980708, 0.80717643, 0.84852154, 0.81847367,
       0.78303493, 0.71746325, 0.80327869, 0.83351872, 0.80022247,
       0.83281746, 0.83562203, 0.78631189, 0.75344973, 0.79866071]), 'test_recall_weighted': array([0.81967213, 0.72131148, 0.80327869, 0.85      , 0.81666667,
       0.78688525, 0.72131148, 0.80327869, 0.83333333, 0.8       ,
       0.83606557, 0.83606557, 0.78688525, 0.75      , 0.8       ]), 'test_precision_weighted': array([0.82729238, 0.72815709, 0.81804756, 0.85925926, 0.83159066,
       0.78331074, 0.72365608, 0.80327869, 0.83555556, 0.80222222,
       0.83742503, 0.83699418, 0.79643916, 0.77722222, 0.81371429]), 'test_accuracy': array([0.81967213, 0.72131148, 0.80327869, 0.85      , 0.81666667,
       0.78688525, 0.72131148, 0.80327869, 0.83333333, 0.8       ,
       0.83606557, 0.83606557, 0.78688525, 0.75      , 0.8       ]), 'test_roc_auc_ovr': array([0.82093822, 0.72258065, 0.80243902, 0.84705228, 0.82638889,
       0.75407925, 0.71266234, 0.79666667, 0.83482143, 0.80133929,
       0.81362613, 0.83405172, 0.79040948, 0.76439483, 0.80311457])}"
7,"{'num_leaves': 42, 'n_estimators': 116, 'learning_rate': 0.12384729707288712}",0.7918943357879125,"{'fit_time': array([2.64210391, 2.76496005, 2.68128109, 2.65497684, 2.97435284,
       2.60431099, 2.64651513, 2.67685199, 2.69924212, 2.69492793,
       2.68752193, 2.58944774, 0.80423284, 0.80989695, 0.81916904]), 'score_time': array([0.00396299, 0.00376606, 0.00388098, 0.00515103, 0.00316215,
       0.00392699, 0.00412393, 0.00385094, 0.00380397, 0.00391889,
       0.00374603, 0.00400019, 0.00290108, 0.0030489 , 0.00311565]), 'test_f1_weighted': array([0.83726554, 0.7355759 , 0.790273  , 0.7986532 , 0.78546888,
       0.7704918 , 0.73511079, 0.78434601, 0.8       , 0.84979021,
       0.85041516, 0.81947745, 0.78688525, 0.75344973, 0.78121212]), 'test_recall_weighted': array([0.83606557, 0.73770492, 0.78688525, 0.8       , 0.78333333,
       0.7704918 , 0.73770492, 0.78688525, 0.8       , 0.85      ,
       0.85245902, 0.81967213, 0.78688525, 0.75      , 0.78333333]), 'test_precision_weighted': array([0.84029144, 0.74808743, 0.79752035, 0.80457143, 0.79844271,
       0.7704918 , 0.73903412, 0.78579617, 0.80714286, 0.85005612,
       0.8528103 , 0.81972536, 0.79070096, 0.77722222, 0.80115741]), 'test_accuracy': array([0.83606557, 0.73770492, 0.78688525, 0.8       , 0.78333333,
       0.7704918 , 0.73770492, 0.78688525, 0.8       , 0.85      ,
       0.85245902, 0.81967213, 0.78688525, 0.75      , 0.78333333]), 'test_roc_auc_ovr': array([0.83409611, 0.73924731, 0.77743902, 0.79755284, 0.79166667,
       0.7511655 , 0.73051948, 0.77055556, 0.80357143, 0.84821429,
       0.83445946, 0.81842672, 0.7887931 , 0.76439483, 0.78698554])}"
8,"{'num_leaves': 79, 'n_estimators': 62, 'learning_rate': 0.08962677217617451}",0.801538745565607,"{'fit_time': array([1.39498377, 1.40251493, 1.38442802, 1.40638685, 1.42353582,
       1.36974406, 1.4044528 , 1.3768301 , 1.41133785, 1.40022302,
       1.38618183, 1.42049408, 0.46771717, 0.47056699, 0.46891522]), 'score_time': array([0.00411797, 0.00383997, 0.0038867 , 0.0039618 , 0.00405192,
       0.00397182, 0.00395799, 0.00429392, 0.00390577, 0.00373101,
       0.00390697, 0.00368285, 0.00282478, 0.00305605, 0.0030477 ]), 'test_f1_weighted': array([0.80471865, 0.71980708, 0.77308743, 0.83107089, 0.83501684,
       0.80105386, 0.75070287, 0.7861703 , 0.83351872, 0.88317016,
       0.83050351, 0.81947745, 0.77024502, 0.75344973, 0.83108866]), 'test_recall_weighted': array([0.80327869, 0.72131148, 0.7704918 , 0.83333333, 0.83333333,
       0.80327869, 0.75409836, 0.78688525, 0.83333333, 0.88333333,
       0.83606557, 0.81967213, 0.7704918 , 0.75      , 0.83333333]), 'test_precision_weighted': array([0.80790528, 0.72815709, 0.77737017, 0.8462593 , 0.85333333,
       0.80067973, 0.75784972, 0.78588835, 0.83555556, 0.88350168,
       0.84343627, 0.81972536, 0.77666596, 0.77722222, 0.85996866]), 'test_accuracy': array([0.80327869, 0.72131148, 0.7704918 , 0.83333333, 0.83333333,
       0.80327869, 0.75409836, 0.78688525, 0.83333333, 0.88333333,
       0.83606557, 0.81967213, 0.7704918 , 0.75      , 0.83333333]), 'test_roc_auc_ovr': array([0.79919908, 0.72258065, 0.75243902, 0.8298109 , 0.84722222,
       0.77680653, 0.745671  , 0.77666667, 0.83482143, 0.88169643,
       0.80630631, 0.81842672, 0.7731681 , 0.76439483, 0.83759733])}"
9,"{'num_leaves': 48, 'n_estimators': 101, 'learning_rate': 0.08374219178621133}",0.8026983285498779,"{'fit_time': array([2.27313519, 2.32433629, 2.32910323, 2.34240603, 2.32088399,
       2.23772407, 2.24813294, 2.26081777, 2.35419393, 2.30194306,
       2.2475872 , 2.27821898, 0.72072887, 0.71009803, 0.72090602]), 'score_time': array([0.00414801, 0.00431776, 0.00388479, 0.00379491, 0.00428414,
       0.00407791, 0.0038619 , 0.00412011, 0.00378799, 0.00384998,
       0.0041039 , 0.00426698, 0.00431418, 0.00367999, 0.00286484]), 'test_f1_weighted': array([0.821487  , 0.71980708, 0.80717643, 0.84731458, 0.83428571,
       0.78575599, 0.71476693, 0.76881184, 0.85012503, 0.85012531,
       0.85041516, 0.83562203, 0.78631189, 0.7698092 , 0.79866071]), 'test_recall_weighted': array([0.81967213, 0.72131148, 0.80327869, 0.85      , 0.83333333,
       0.78688525, 0.72131148, 0.7704918 , 0.85      , 0.85      ,
       0.85245902, 0.83606557, 0.78688525, 0.76666667, 0.8       ]), 'test_precision_weighted': array([0.82729238, 0.72815709, 0.81804756, 0.86925837, 0.83710407,
       0.78507026, 0.7284153 , 0.7688412 , 0.85450501, 0.85072303,
       0.8528103 , 0.83699418, 0.79643916, 0.80018539, 0.81371429]), 'test_accuracy': array([0.81967213, 0.72131148, 0.80327869, 0.85      , 0.83333333,
       0.78688525, 0.72131148, 0.7704918 , 0.85      , 0.85      ,
       0.85245902, 0.83606557, 0.78688525, 0.76666667, 0.8       ]), 'test_roc_auc_ovr': array([0.82093822, 0.72258065, 0.80243902, 0.84593993, 0.83333333,
       0.76398601, 0.70995671, 0.75666667, 0.85267857, 0.85044643,
       0.83445946, 0.83405172, 0.79040948, 0.78613396, 0.80311457])}"
