number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 36, 'n_estimators': 64, 'learning_rate': 0.05931748280458258}",0.9660704547254966,"{'fit_time': array([40.90806603, 41.01802611, 43.61452007, 41.23746896, 40.62754107,
       40.58611822, 41.14202714, 41.08298802, 40.96111321, 40.94805408,
       40.71113181, 40.84970975, 10.01101804,  9.98003674,  9.92900991]), 'score_time': array([0.01740599, 0.01398396, 0.01061296, 0.01183915, 0.01594806,
       0.01283979, 0.01253772, 0.01484799, 0.02248383, 0.01626396,
       0.01501608, 0.01668715, 0.00946379, 0.00852609, 0.00976396]), 'test_f1_weighted': array([0.95867692, 0.97343551, 0.9792208 , 0.9439389 , 0.97327705,
       0.94684971, 0.95864555, 0.97633297, 0.97305123, 0.96179144,
       0.97317525, 0.95557679, 0.97064077, 0.9731639 , 0.97328003]), 'test_recall_weighted': array([0.95857988, 0.97337278, 0.97928994, 0.94362018, 0.97329377,
       0.94674556, 0.95857988, 0.97633136, 0.97329377, 0.96142433,
       0.97337278, 0.9556213 , 0.9704142 , 0.97329377, 0.97329377]), 'test_precision_weighted': array([0.96188052, 0.97394589, 0.97973063, 0.94481049, 0.97367563,
       0.94783334, 0.9596026 , 0.97713275, 0.97422482, 0.96411772,
       0.97315604, 0.95761105, 0.97136565, 0.97404713, 0.97465758]), 'test_accuracy': array([0.95857988, 0.97337278, 0.97928994, 0.94362018, 0.97329377,
       0.94674556, 0.95857988, 0.97633136, 0.97329377, 0.96142433,
       0.97337278, 0.9556213 , 0.9704142 , 0.97329377, 0.97329377]), 'test_roc_auc_ovr': array([0.99708029, 0.99892112, 0.99944713, 0.99541291, 0.99807785,
       0.99750391, 0.99704964, 0.99597102, 0.99952079, 0.99875756,
       0.99765069, 0.99665195, 0.99862702, 0.99870739, 0.99920381])}"
1,"{'num_leaves': 48, 'n_estimators': 124, 'learning_rate': 0.10399994599213443}",0.9704120259582324,"{'fit_time': array([75.01304984, 75.37867308, 70.11279488, 69.19482398, 71.32481098,
       70.32525611, 70.9109292 , 70.51854897, 71.68356514, 71.58860016,
       71.51869011, 69.01254678, 19.07071996, 18.65394473, 18.14749002]), 'score_time': array([0.01236296, 0.01335311, 0.01711917, 0.01640892, 0.01834202,
       0.01528287, 0.01524282, 0.01900983, 0.01466179, 0.01502991,
       0.01417279, 0.01768708, 0.01459289, 0.01258421, 0.01212096]), 'test_f1_weighted': array([0.97047681, 0.97642779, 0.98223679, 0.94985318, 0.97633703,
       0.95547529, 0.96175958, 0.98229668, 0.97313053, 0.96457752,
       0.97007714, 0.97070934, 0.97645409, 0.96700845, 0.97936017]), 'test_recall_weighted': array([0.9704142 , 0.97633136, 0.98224852, 0.9495549 , 0.97626113,
       0.9556213 , 0.96153846, 0.98224852, 0.97329377, 0.96439169,
       0.9704142 , 0.9704142 , 0.97633136, 0.96735905, 0.97922849]), 'test_precision_weighted': array([0.97198527, 0.97686461, 0.98269256, 0.95042896, 0.97671564,
       0.95658041, 0.96226919, 0.98292195, 0.97388284, 0.96683157,
       0.97015286, 0.97223526, 0.97692805, 0.9683721 , 0.98058988]), 'test_accuracy': array([0.9704142 , 0.97633136, 0.98224852, 0.9495549 , 0.97626113,
       0.9556213 , 0.96153846, 0.98224852, 0.97329377, 0.96439169,
       0.9704142 , 0.9704142 , 0.97633136, 0.96735905, 0.97922849]), 'test_roc_auc_ovr': array([0.99846905, 0.9994501 , 0.9995479 , 0.99679084, 0.99818369,
       0.99817299, 0.99741804, 0.99824614, 0.99956316, 0.99923616,
       0.99832281, 0.99780979, 0.99899979, 0.99903914, 0.99957519])}"
2,"{'num_leaves': 65, 'n_estimators': 55, 'learning_rate': 0.11684546365433637}",0.9689954672973994,"{'fit_time': array([55.37731099, 53.77848506, 53.31616306, 53.06255412, 53.45143127,
       53.05813408, 53.29134798, 53.32021523, 53.48234081, 53.31490016,
       53.85125017, 52.82898402, 11.45592999, 11.24364495, 11.36821699]), 'score_time': array([0.00974989, 0.01213408, 0.02425408, 0.01632571, 0.01534367,
       0.01680994, 0.030056  , 0.02101707, 0.01462412, 0.01834297,
       0.00980687, 0.01623774, 0.00932002, 0.00991797, 0.009408  ]), 'test_f1_weighted': array([0.95868033, 0.97339284, 0.97924921, 0.95274153, 0.97928711,
       0.9554825 , 0.97042111, 0.9763352 , 0.97609726, 0.96472195,
       0.97317525, 0.96153166, 0.97355237, 0.96705283, 0.97321086]), 'test_recall_weighted': array([0.95857988, 0.97337278, 0.97928994, 0.95252226, 0.97922849,
       0.9556213 , 0.9704142 , 0.97633136, 0.97626113, 0.96439169,
       0.97337278, 0.96153846, 0.97337278, 0.96735905, 0.97329377]), 'test_precision_weighted': array([0.96078365, 0.97367446, 0.979677  , 0.95323674, 0.97988794,
       0.95675235, 0.97064591, 0.97676408, 0.97690592, 0.96666024,
       0.97315604, 0.96282046, 0.97419143, 0.96866106, 0.97466654]), 'test_accuracy': array([0.95857988, 0.97337278, 0.97928994, 0.95252226, 0.97922849,
       0.9556213 , 0.9704142 , 0.97633136, 0.97626113, 0.96439169,
       0.97337278, 0.96153846, 0.97337278, 0.96735905, 0.97329377]), 'test_roc_auc_ovr': array([0.99822468, 0.99952357, 0.99955877, 0.99623477, 0.99871093,
       0.99765571, 0.9973321 , 0.99728501, 0.99948836, 0.99885458,
       0.99782191, 0.99733165, 0.99877477, 0.99892093, 0.99949626])}"
3,"{'num_leaves': 51, 'n_estimators': 133, 'learning_rate': 0.0838454616963342}",0.9702192465599976,"{'fit_time': array([308.18884778, 308.44606018, 303.68852806, 302.03843999,
       308.74579716, 303.29552317, 308.66912293, 304.0938828 ,
       309.27593231, 308.79347897, 309.22461796, 303.01668382,
        48.99736905,  47.80184293,  47.93294191]), 'score_time': array([0.0145762 , 0.01638579, 0.02030611, 0.01674008, 0.02255797,
       0.01665211, 0.02308416, 0.01911926, 0.01532602, 0.01491523,
       0.02694893, 0.01662993, 0.01654887, 0.01414418, 0.01192784]), 'test_f1_weighted': array([0.95575203, 0.97934517, 0.97933407, 0.95283573, 0.97928711,
       0.95844113, 0.97350478, 0.97936549, 0.97609726, 0.96770824,
       0.97007714, 0.96468925, 0.97645409, 0.96409978, 0.97629745]), 'test_recall_weighted': array([0.9556213 , 0.97928994, 0.97928994, 0.95252226, 0.97922849,
       0.95857988, 0.97337278, 0.97928994, 0.97626113, 0.96735905,
       0.9704142 , 0.96449704, 0.97633136, 0.96439169, 0.97626113]), 'test_precision_weighted': array([0.95752628, 0.97994636, 0.98012962, 0.95365128, 0.97988794,
       0.95961373, 0.97404257, 0.98035901, 0.97690592, 0.97005793,
       0.97015286, 0.9663536 , 0.97692805, 0.96563077, 0.97745339]), 'test_accuracy': array([0.9556213 , 0.97928994, 0.97928994, 0.95252226, 0.97922849,
       0.95857988, 0.97337278, 0.97928994, 0.97626113, 0.96735905,
       0.9704142 , 0.96449704, 0.97633136, 0.96439169, 0.97626113]), 'test_roc_auc_ovr': array([0.99839351, 0.99956512, 0.99957754, 0.9968697 , 0.99859803,
       0.99809395, 0.99733594, 0.99849391, 0.99936879, 0.99908109,
       0.99824236, 0.9977139 , 0.99876123, 0.99912577, 0.99968389])}"
4,"{'num_leaves': 64, 'n_estimators': 117, 'learning_rate': 0.07730898149145865}",0.969242993760239,"{'fit_time': array([206.45535994, 207.73065591, 205.98204398, 205.58875299,
       207.72363091, 204.97683716, 206.7880528 , 204.82765698,
       211.21687889, 206.90965796, 207.52424192, 204.69328094,
        24.95122266,  24.17854118,  24.40523481]), 'score_time': array([0.017066  , 0.02072716, 0.01719189, 0.01721191, 0.0194912 ,
       0.01660299, 0.01701307, 0.0180409 , 0.01445031, 0.01686311,
       0.0171771 , 0.01741886, 0.01003218, 0.01138496, 0.01381516]), 'test_f1_weighted': array([0.95563307, 0.97642779, 0.9792208 , 0.95279059, 0.98222662,
       0.95263277, 0.96451131, 0.97936549, 0.97017094, 0.96478543,
       0.97007714, 0.97070934, 0.97066378, 0.97310182, 0.97632802]), 'test_recall_weighted': array([0.9556213 , 0.97633136, 0.97928994, 0.95252226, 0.98219585,
       0.95266272, 0.96449704, 0.97928994, 0.97032641, 0.96439169,
       0.9704142 , 0.9704142 , 0.9704142 , 0.97329377, 0.97626113]), 'test_precision_weighted': array([0.95717797, 0.97686461, 0.97973063, 0.95475258, 0.98315808,
       0.95317492, 0.96479877, 0.98035901, 0.97120543, 0.96758606,
       0.97015286, 0.97223526, 0.97170559, 0.97370402, 0.97762252]), 'test_accuracy': array([0.9556213 , 0.97633136, 0.97928994, 0.95252226, 0.98219585,
       0.95266272, 0.96449704, 0.97928994, 0.97032641, 0.96439169,
       0.9704142 , 0.9704142 , 0.9704142 , 0.97329377, 0.97626113]), 'test_roc_auc_ovr': array([0.99785835, 0.99952251, 0.99947365, 0.9958505 , 0.99853812,
       0.99819152, 0.99730961, 0.99854557, 0.99933617, 0.99907676,
       0.99799482, 0.99800541, 0.99859388, 0.99891071, 0.99971621])}"
5,"{'num_leaves': 71, 'n_estimators': 144, 'learning_rate': 0.060973944950042006}",0.9703989713594908,"{'fit_time': array([126.41342616, 127.0097661 , 124.86786675, 123.36911201,
       125.00526595, 122.68704319, 125.77132225, 124.46531296,
       125.86351585, 126.01984787, 126.68247795, 123.49847412,
        27.01550412,  26.23155093,  26.35546088]), 'score_time': array([0.01788998, 0.01710391, 0.02125812, 0.01752281, 0.01730394,
       0.0176177 , 0.01961279, 0.01859403, 0.01881814, 0.01785922,
       0.01616311, 0.01788902, 0.01600695, 0.01580215, 0.01440787]), 'test_f1_weighted': array([0.96142579, 0.97642779, 0.98223679, 0.95562931, 0.97928711,
       0.9554613 , 0.96747591, 0.98228832, 0.97613928, 0.96464958,
       0.97324444, 0.96775891, 0.97355237, 0.96705283, 0.97335485]), 'test_recall_weighted': array([0.96153846, 0.97633136, 0.98224852, 0.95548961, 0.97922849,
       0.9556213 , 0.96745562, 0.98224852, 0.97626113, 0.96439169,
       0.97337278, 0.96745562, 0.97337278, 0.96735905, 0.97329377]), 'test_precision_weighted': array([0.96253285, 0.97686461, 0.98269256, 0.95616487, 0.97988794,
       0.9559622 , 0.96761427, 0.98251268, 0.97687039, 0.9670915 ,
       0.97329692, 0.96941429, 0.97419143, 0.96866106, 0.97481096]), 'test_accuracy': array([0.96153846, 0.97633136, 0.98224852, 0.95548961, 0.97922849,
       0.9556213 , 0.96745562, 0.98224852, 0.97626113, 0.96439169,
       0.97337278, 0.96745562, 0.97337278, 0.96735905, 0.97329377]), 'test_roc_auc_ovr': array([0.99791757, 0.99933014, 0.99944656, 0.99660351, 0.99903748,
       0.9983067 , 0.99730666, 0.99838024, 0.99932446, 0.99896026,
       0.99782142, 0.99746506, 0.99852985, 0.99896255, 0.99958739])}"
6,"{'num_leaves': 59, 'n_estimators': 122, 'learning_rate': 0.050665743352381803}",0.9694264255265658,"{'fit_time': array([120.51374888, 124.45283198, 120.31473494, 119.81702995,
       119.3580718 , 119.28351498, 119.45661807, 119.84571981,
       119.61773705, 119.38797498, 120.54424596, 118.33132911,
        26.46148086,  25.66353703,  25.75718689]), 'score_time': array([0.0168252 , 0.01425409, 0.01992893, 0.02648711, 0.0308032 ,
       0.02056003, 0.01943994, 0.01526403, 0.01676178, 0.0269382 ,
       0.01547194, 0.01748085, 0.01467824, 0.01511121, 0.01218629]), 'test_f1_weighted': array([0.95569504, 0.97042276, 0.97623563, 0.94707963, 0.98225772,
       0.95854293, 0.97050346, 0.97936549, 0.976048  , 0.96464958,
       0.97317525, 0.96161766, 0.97355237, 0.97301449, 0.97923637]), 'test_recall_weighted': array([0.9556213 , 0.9704142 , 0.97633136, 0.94658754, 0.98219585,
       0.95857988, 0.9704142 , 0.97928994, 0.97626113, 0.96439169,
       0.97337278, 0.96153846, 0.97337278, 0.97329377, 0.97922849]), 'test_precision_weighted': array([0.95765172, 0.97096409, 0.97660471, 0.94838962, 0.98290714,
       0.95955664, 0.97070971, 0.98035901, 0.97698378, 0.9670915 ,
       0.97315604, 0.96324635, 0.97419143, 0.97396438, 0.9801963 ]), 'test_accuracy': array([0.9556213 , 0.9704142 , 0.97633136, 0.94658754, 0.98219585,
       0.95857988, 0.9704142 , 0.97928994, 0.97626113, 0.96439169,
       0.97337278, 0.96153846, 0.97337278, 0.97329377, 0.97922849]), 'test_roc_auc_ovr': array([0.99711127, 0.99943235, 0.99936774, 0.99604969, 0.99896397,
       0.99784173, 0.99760238, 0.99730424, 0.99937993, 0.99903667,
       0.99767938, 0.99745666, 0.99837557, 0.99925608, 0.99929537])}"
7,"{'num_leaves': 41, 'n_estimators': 71, 'learning_rate': 0.08259722505787667}",0.9690279318735288,"{'fit_time': array([52.47543073, 54.77869606, 52.60780191, 52.93634725, 51.94610405,
       52.43099999, 52.55249691, 51.94445205, 52.72629786, 52.6549418 ,
       52.71360016, 52.22954416, 11.22342777, 11.12959313, 10.92391706]), 'score_time': array([0.01798034, 0.00998497, 0.014256  , 0.01420379, 0.01522875,
       0.0193541 , 0.015347  , 0.01663494, 0.01643515, 0.01392317,
       0.01635885, 0.01431513, 0.01434588, 0.01015615, 0.01108694]), 'test_f1_weighted': array([0.96162799, 0.97642779, 0.97620129, 0.95272377, 0.97930881,
       0.95831881, 0.96460717, 0.96748778, 0.97912762, 0.96179486,
       0.97317525, 0.96457211, 0.97059863, 0.97017911, 0.97926799]), 'test_recall_weighted': array([0.96153846, 0.97633136, 0.97633136, 0.95252226, 0.97922849,
       0.95857988, 0.96449704, 0.96745562, 0.97922849, 0.96142433,
       0.97337278, 0.96449704, 0.9704142 , 0.97032641, 0.97922849]), 'test_precision_weighted': array([0.96408625, 0.97686461, 0.97687377, 0.95331863, 0.9810782 ,
       0.95928453, 0.96522869, 0.96798651, 0.97986983, 0.96422984,
       0.97315604, 0.96602275, 0.97120143, 0.97148563, 0.98041304]), 'test_accuracy': array([0.96153846, 0.97633136, 0.97633136, 0.95252226, 0.97922849,
       0.95857988, 0.96449704, 0.96745562, 0.97922849, 0.96142433,
       0.97337278, 0.96449704, 0.9704142 , 0.97032641, 0.97922849]), 'test_roc_auc_ovr': array([0.99811688, 0.99930249, 0.99949328, 0.99564227, 0.99887182,
       0.99754538, 0.99710325, 0.99761476, 0.9994674 , 0.99877581,
       0.99769528, 0.99688496, 0.99861694, 0.99912523, 0.99953198])}"
8,"{'num_leaves': 54, 'n_estimators': 121, 'learning_rate': 0.054014894409278175}",0.9692302565410867,"{'fit_time': array([525.09592175, 524.71014309, 525.27923298, 524.5923872 ,
       524.0359571 , 524.59800816, 525.40407491, 524.43192196,
       524.83832502, 524.23502898, 525.24905419, 524.0715251 ,
        74.44442511,  74.72449207,  74.17490101]), 'score_time': array([0.01519799, 0.01835895, 0.01703596, 0.01841211, 0.01746488,
       0.02128983, 0.01717401, 0.01784897, 0.01747394, 0.01889992,
       0.01708078, 0.0174768 , 0.01349401, 0.0110898 , 0.01523805]), 'test_f1_weighted': array([0.96162227, 0.97339284, 0.9792208 , 0.94708381, 0.98222611,
       0.9554825 , 0.97043449, 0.97934551, 0.97613928, 0.96464958,
       0.9670521 , 0.96161766, 0.96777557, 0.9702379 , 0.98217346]), 'test_recall_weighted': array([0.96153846, 0.97337278, 0.97928994, 0.94658754, 0.98219585,
       0.9556213 , 0.9704142 , 0.97928994, 0.97626113, 0.96439169,
       0.96745562, 0.96153846, 0.96745562, 0.97032641, 0.98219585]), 'test_precision_weighted': array([0.96317497, 0.97367446, 0.97973063, 0.94902607, 0.98256301,
       0.95675235, 0.97051282, 0.97971092, 0.97687039, 0.9670915 ,
       0.96726744, 0.96324635, 0.96886496, 0.97106187, 0.98304618]), 'test_accuracy': array([0.96153846, 0.97337278, 0.97928994, 0.94658754, 0.98219585,
       0.9556213 , 0.9704142 , 0.97928994, 0.97626113, 0.96439169,
       0.96745562, 0.96153846, 0.96745562, 0.97032641, 0.98219585]), 'test_roc_auc_ovr': array([0.99780812, 0.99933155, 0.9993954 , 0.99611224, 0.99931322,
       0.99811501, 0.99738445, 0.99730968, 0.99940226, 0.99892308,
       0.99774327, 0.99778441, 0.99844825, 0.99900353, 0.99931403])}"
9,"{'num_leaves': 49, 'n_estimators': 59, 'learning_rate': 0.0760492289786783}",0.9670524361695431,"{'fit_time': array([52.88759398, 50.97593498, 50.60966086, 51.00018215, 50.48942327,
       50.64151978, 51.04449105, 50.8562324 , 50.68206382, 50.51460814,
       50.92437291, 50.6539011 , 11.23944783, 11.11773801, 11.07888412]), 'score_time': array([0.01127124, 0.02174616, 0.0132978 , 0.01204801, 0.01260781,
       0.01203299, 0.01200318, 0.01233792, 0.01355529, 0.01396108,
       0.01836491, 0.0196538 , 0.01024103, 0.01075816, 0.01019406]), 'test_f1_weighted': array([0.96471442, 0.97343551, 0.97924921, 0.94095174, 0.97917957,
       0.95272826, 0.96750842, 0.97923638, 0.97603705, 0.9617819 ,
       0.97007714, 0.95859992, 0.96777557, 0.96118116, 0.9733303 ]), 'test_recall_weighted': array([0.96449704, 0.97337278, 0.97928994, 0.94065282, 0.97922849,
       0.95266272, 0.96745562, 0.97928994, 0.97626113, 0.96142433,
       0.9704142 , 0.95857988, 0.96745562, 0.96142433, 0.97329377]), 'test_precision_weighted': array([0.96711311, 0.97394589, 0.979677  , 0.94207061, 0.9799562 ,
       0.95388533, 0.96768002, 0.97993581, 0.97706772, 0.96442693,
       0.97015286, 0.96027821, 0.96886496, 0.96302088, 0.97512556]), 'test_accuracy': array([0.96449704, 0.97337278, 0.97928994, 0.94065282, 0.97922849,
       0.95266272, 0.96745562, 0.97928994, 0.97626113, 0.96142433,
       0.9704142 , 0.95857988, 0.96745562, 0.96142433, 0.97329377]), 'test_roc_auc_ovr': array([0.99784283, 0.99913761, 0.99947508, 0.99562081, 0.99864842,
       0.9971988 , 0.99717312, 0.99667791, 0.99952224, 0.99910552,
       0.99727503, 0.99757046, 0.99856498, 0.99882686, 0.99924833])}"
