number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 69, 'n_estimators': 50, 'learning_rate': 0.12256892838083394}",0.85881729134817,"{'fit_time': array([10.33210087, 10.29091001, 10.26598716, 10.31261897, 10.36073899,
       10.28010893, 10.31075692, 10.26715517, 10.33835387, 10.29291797,
       10.29148293, 10.27975202,  1.94398189,  1.96750593,  1.96085525]), 'score_time': array([0.00681114, 0.00830603, 0.00830483, 0.00862789, 0.00726104,
       0.00830913, 0.00692511, 0.00659394, 0.00618696, 0.00698495,
       0.00955486, 0.00756502, 0.00566387, 0.00531006, 0.00560284]), 'test_f1_weighted': array([0.85626124, 0.89530355, 0.85940797, 0.84812996, 0.84063123,
       0.83592828, 0.87502931, 0.86215901, 0.87659113, 0.83907625,
       0.85471482, 0.87508792, 0.86095889, 0.85930347, 0.84367634]), 'test_recall_weighted': array([0.85625  , 0.8953125, 0.859375 , 0.8484375, 0.840625 , 0.8359375,
       0.875    , 0.8625   , 0.8765625, 0.8390625, 0.8546875, 0.875    ,
       0.8609375, 0.859375 , 0.84375  ]), 'test_precision_weighted': array([0.8562892 , 0.89550889, 0.85970949, 0.84876297, 0.84070312,
       0.83592314, 0.87533204, 0.86319706, 0.87816564, 0.83929076,
       0.85524712, 0.87763765, 0.86132079, 0.85950109, 0.8436689 ]), 'test_accuracy': array([0.85625  , 0.8953125, 0.859375 , 0.8484375, 0.840625 , 0.8359375,
       0.875    , 0.8625   , 0.8765625, 0.8390625, 0.8546875, 0.875    ,
       0.8609375, 0.859375 , 0.84375  ]), 'test_roc_auc_ovr': array([0.85622416, 0.89534566, 0.85962854, 0.84637255, 0.84067823,
       0.83568963, 0.87526882, 0.86033771, 0.87750352, 0.83921105,
       0.85505625, 0.87671931, 0.86120231, 0.85891183, 0.84257624])}"
1,"{'num_leaves': 44, 'n_estimators': 103, 'learning_rate': 0.06608060785208313}",0.859948194208293,"{'fit_time': array([9.90120387, 9.84930301, 9.74959397, 9.80739689, 9.81503701,
       9.7643671 , 9.82443118, 9.79388881, 9.83601189, 9.87460208,
       9.812567  , 9.85733819, 2.17771387, 2.16521025, 2.11868501]), 'score_time': array([0.00640821, 0.007833  , 0.00665689, 0.00834799, 0.00646591,
       0.00687099, 0.00959587, 0.00912619, 0.00781488, 0.00663614,
       0.00784206, 0.0062108 , 0.00652599, 0.00480175, 0.00542116]), 'test_f1_weighted': array([0.8578059 , 0.89060363, 0.86095483, 0.84807608, 0.85781493,
       0.82808129, 0.87655616, 0.86688207, 0.86723128, 0.85626123,
       0.84844379, 0.87508792, 0.85470985, 0.85932549, 0.85138844]), 'test_recall_weighted': array([0.8578125, 0.890625 , 0.8609375, 0.8484375, 0.8578125, 0.828125 ,
       0.8765625, 0.8671875, 0.8671875, 0.85625  , 0.8484375, 0.875    ,
       0.8546875, 0.859375 , 0.8515625]), 'test_precision_weighted': array([0.85780349, 0.89101746, 0.86101   , 0.84892415, 0.85782155,
       0.82810237, 0.87655411, 0.86781278, 0.86822786, 0.85633936,
       0.84845423, 0.87763765, 0.85493669, 0.8594273 , 0.85155349]), 'test_accuracy': array([0.8578125, 0.890625 , 0.8609375, 0.8484375, 0.8578125, 0.828125 ,
       0.8765625, 0.8671875, 0.8671875, 0.85625  , 0.8484375, 0.875    ,
       0.8546875, 0.859375 , 0.8515625]), 'test_roc_auc_ovr': array([0.85765596, 0.89067276, 0.86094819, 0.84617647, 0.85780981,
       0.82770657, 0.87639296, 0.8651349 , 0.86788061, 0.85631667,
       0.8483615 , 0.87671931, 0.85487023, 0.85899979, 0.84988618])}"
2,"{'num_leaves': 42, 'n_estimators': 144, 'learning_rate': 0.12198720608599725}",0.8625703416782452,"{'fit_time': array([13.01010299, 13.02125192, 12.97710085, 13.12336087, 13.02894902,
       13.0944562 , 13.07276487, 13.04005575, 13.12718272, 13.08537173,
       12.98944473, 13.14280701,  2.80471897,  3.01066399,  2.7760849 ]), 'score_time': array([0.00651407, 0.00752115, 0.00728703, 0.00726986, 0.00703073,
       0.00699687, 0.00791597, 0.00703526, 0.00680017, 0.00863433,
       0.00724721, 0.007056  , 0.00533295, 0.00444221, 0.00515985]), 'test_f1_weighted': array([0.85156867, 0.89218355, 0.86565651, 0.85736374, 0.84999267,
       0.83441384, 0.88593165, 0.8670117 , 0.86254702, 0.85157518,
       0.86251881, 0.88288204, 0.86095618, 0.86402428, 0.84992929]), 'test_recall_weighted': array([0.8515625, 0.8921875, 0.865625 , 0.8578125, 0.85     , 0.834375 ,
       0.8859375, 0.8671875, 0.8625   , 0.8515625, 0.8625   , 0.8828125,
       0.8609375, 0.8640625, 0.85     ]), 'test_precision_weighted': array([0.85157899, 0.89228853, 0.86595851, 0.85878626, 0.85000195,
       0.83459936, 0.88593012, 0.86735175, 0.86301516, 0.85179161,
       0.86260501, 0.88609658, 0.86107995, 0.8640917 , 0.84992529]), 'test_accuracy': array([0.8515625, 0.8921875, 0.865625 , 0.8578125, 0.85     , 0.834375 ,
       0.8859375, 0.8671875, 0.8625   , 0.8515625, 0.8625   , 0.8828125,
       0.8609375, 0.8640625, 0.85     ]), 'test_roc_auc_ovr': array([0.85148897, 0.89221086, 0.86588465, 0.85519608, 0.84993749,
       0.83450171, 0.88577713, 0.86569351, 0.86289313, 0.85171545,
       0.86256707, 0.88482111, 0.86104597, 0.86373499, 0.84885592])}"
3,"{'num_leaves': 45, 'n_estimators': 68, 'learning_rate': 0.060639616461597566}",0.8585989620161274,"{'fit_time': array([11.32984209, 11.39804006, 11.30875802, 11.32221389, 11.36400914,
       11.39632273, 11.41651487, 11.37114692, 11.41325426, 11.43126225,
       11.3275919 , 11.37805891,  1.51982999,  1.52294612,  1.52863193]), 'score_time': array([0.00639606, 0.00694609, 0.00703692, 0.00788283, 0.00639486,
       0.00692725, 0.0058589 , 0.00638986, 0.0056119 , 0.00499582,
       0.00872111, 0.0092802 , 0.00428295, 0.00445795, 0.00482416]), 'test_f1_weighted': array([0.85626124, 0.88432756, 0.85315514, 0.84340557, 0.85624298,
       0.8233792 , 0.87966721, 0.86237582, 0.87191505, 0.84998974,
       0.85470347, 0.8735126 , 0.85627106, 0.85617688, 0.85760092]), 'test_recall_weighted': array([0.85625  , 0.884375 , 0.853125 , 0.84375  , 0.85625  , 0.8234375,
       0.8796875, 0.8625   , 0.871875 , 0.85     , 0.8546875, 0.8734375,
       0.85625  , 0.85625  , 0.8578125]), 'test_precision_weighted': array([0.8562892 , 0.88512777, 0.85333524, 0.84412585, 0.85665419,
       0.82342159, 0.87968562, 0.86252262, 0.8730451 , 0.84999609,
       0.85475701, 0.87669931, 0.85671022, 0.85637193, 0.85790021]), 'test_accuracy': array([0.85625  , 0.884375 , 0.853125 , 0.84375  , 0.85625  , 0.8234375,
       0.8796875, 0.8625   , 0.871875 , 0.85     , 0.8546875, 0.8734375,
       0.85625  , 0.85625  , 0.8578125]), 'test_roc_auc_ovr': array([0.85622416, 0.88444223, 0.85327468, 0.84156863, 0.85642288,
       0.82295975, 0.87942326, 0.86126873, 0.87263339, 0.84988863,
       0.8547044 , 0.87541636, 0.85655097, 0.85578436, 0.85595   ])}"
4,"{'num_leaves': 60, 'n_estimators': 103, 'learning_rate': 0.11784598145736709}",0.8585031250475998,"{'fit_time': array([13.37506723, 13.37918425, 13.18975306, 13.32680106, 13.25264978,
       13.31010699, 13.32706928, 13.35087204, 13.40317512, 13.31448007,
       13.32412291, 13.31102395,  2.9052372 ,  2.85192013,  2.78133488]), 'score_time': array([0.01065588, 0.00757194, 0.007406  , 0.01073194, 0.00753617,
       0.00793505, 0.00852084, 0.01006079, 0.00667787, 0.00806308,
       0.00751805, 0.00675607, 0.00551605, 0.00629497, 0.00683093]), 'test_f1_weighted': array([0.85313648, 0.88902376, 0.85471412, 0.83381823, 0.85623315,
       0.84376527, 0.86719367, 0.86233796, 0.87035779, 0.85157519,
       0.85156867, 0.87352993, 0.86093172, 0.85623595, 0.853125  ]), 'test_recall_weighted': array([0.853125 , 0.8890625, 0.8546875, 0.834375 , 0.85625  , 0.84375  ,
       0.8671875, 0.8625   , 0.8703125, 0.8515625, 0.8515625, 0.8734375,
       0.8609375, 0.85625  , 0.853125 ]), 'test_precision_weighted': array([0.85316463, 0.88971961, 0.85484509, 0.835259  , 0.85628322,
       0.84379703, 0.86720407, 0.8625997 , 0.87112124, 0.85169182,
       0.85157899, 0.87587897, 0.86093015, 0.85623863, 0.853125  ]), 'test_accuracy': array([0.853125 , 0.8890625, 0.8546875, 0.834375 , 0.85625  , 0.84375  ,
       0.8671875, 0.8625   , 0.8703125, 0.8515625, 0.8515625, 0.8734375,
       0.8609375, 0.85625  , 0.853125 ]), 'test_roc_auc_ovr': array([0.85309669, 0.88912489, 0.85478983, 0.83156863, 0.8561494 ,
       0.8436727 , 0.86710655, 0.86108253, 0.87089266, 0.85165683,
       0.85148897, 0.87506368, 0.86081144, 0.85604824, 0.85242749])}"
5,"{'num_leaves': 76, 'n_estimators': 87, 'learning_rate': 0.13903102249905736}",0.86308542527885,"{'fit_time': array([13.97732306, 14.01760888, 13.94066095, 13.95869589, 13.88344121,
       13.99069476, 13.9148941 , 13.89619517, 14.04262614, 13.90299511,
       13.91838813, 13.98715997,  2.92855716,  2.88903713,  2.91210103]), 'score_time': array([0.00707293, 0.00666523, 0.00847721, 0.00666404, 0.00687885,
       0.00574613, 0.0077827 , 0.00694895, 0.00661588, 0.008255  ,
       0.00640798, 0.0065589 , 0.0055418 , 0.00721669, 0.00482631]), 'test_f1_weighted': array([0.85938599, 0.89214985, 0.86878205, 0.85890227, 0.85156794,
       0.85003518, 0.86876154, 0.86229735, 0.85942309, 0.86094667,
       0.85779061, 0.87353489, 0.86095075, 0.86395641, 0.8577968 ]), 'test_recall_weighted': array([0.859375 , 0.8921875, 0.86875  , 0.859375 , 0.8515625, 0.85     ,
       0.86875  , 0.8625   , 0.859375 , 0.8609375, 0.8578125, 0.8734375,
       0.8609375, 0.8640625, 0.8578125]), 'test_precision_weighted': array([0.85941378, 0.89284938, 0.86923828, 0.86048854, 0.85161079,
       0.85021978, 0.86879006, 0.86270554, 0.85989077, 0.86129637,
       0.85780645, 0.87551314, 0.86100183, 0.86436244, 0.85778531]), 'test_accuracy': array([0.859375 , 0.8921875, 0.86875  , 0.859375 , 0.8515625, 0.85     ,
       0.86875  , 0.8625   , 0.859375 , 0.8609375, 0.8578125, 0.8734375,
       0.8609375, 0.8640625, 0.8578125]), 'test_roc_auc_ovr': array([0.85935164, 0.89224992, 0.86911046, 0.85666667, 0.85159791,
       0.85014519, 0.86871945, 0.86089632, 0.85976373, 0.86115236,
       0.857568  , 0.87488734, 0.86096779, 0.86347111, 0.85702932])}"
6,"{'num_leaves': 72, 'n_estimators': 52, 'learning_rate': 0.13832191584342662}",0.8616292842743476,"{'fit_time': array([7.87459087, 7.8406539 , 7.8273828 , 7.82466507, 7.90629005,
       7.89379787, 7.88388515, 7.86532092, 7.90847588, 7.86876798,
       7.87541199, 7.90053034, 1.75367665, 1.75491214, 1.74783111]), 'score_time': array([0.00649905, 0.00584006, 0.00610805, 0.00658607, 0.00602698,
       0.006392  , 0.00576901, 0.00621605, 0.0068872 , 0.00510216,
       0.00608897, 0.00558877, 0.00484705, 0.00444984, 0.00421977]), 'test_f1_weighted': array([0.85002052, 0.88124768, 0.8562851 , 0.85747343, 0.85469282,
       0.83597958, 0.87345327, 0.85748551, 0.87501344, 0.85782465,
       0.85781841, 0.87978244, 0.87189502, 0.85609238, 0.859375  ]), 'test_recall_weighted': array([0.85     , 0.88125  , 0.85625  , 0.8578125, 0.8546875, 0.8359375,
       0.8734375, 0.8578125, 0.875    , 0.8578125, 0.8578125, 0.8796875,
       0.871875 , 0.85625  , 0.859375 ]), 'test_precision_weighted': array([0.85010745, 0.88131421, 0.85673828, 0.85835752, 0.85480248,
       0.83622166, 0.87350743, 0.85838104, 0.87504399, 0.85794151,
       0.8578285 , 0.88142789, 0.8721875 , 0.85675763, 0.859375  ]), 'test_accuracy': array([0.85     , 0.88125  , 0.85625  , 0.8578125, 0.8546875, 0.8359375,
       0.8734375, 0.8578125, 0.875    , 0.8578125, 0.8578125, 0.8796875,
       0.871875 , 0.85625  , 0.859375 ]), 'test_roc_auc_ovr': array([0.85005717, 0.88126837, 0.85659824, 0.85558824, 0.85476246,
       0.83611983, 0.87346041, 0.85572673, 0.87494132, 0.85790903,
       0.85774392, 0.88098084, 0.87210757, 0.85552048, 0.85870717])}"
7,"{'num_leaves': 77, 'n_estimators': 61, 'learning_rate': 0.11374704481708033}",0.8599558721035682,"{'fit_time': array([9.7064209 , 9.70291305, 9.711658  , 9.67332029, 9.75656915,
       9.73682284, 9.75425291, 9.70688725, 9.81389713, 9.70937109,
       9.75032806, 9.73176408, 2.14109683, 2.12221432, 2.33413482]), 'score_time': array([0.0071671 , 0.00700688, 0.00613117, 0.00585079, 0.00727773,
       0.00564218, 0.00557804, 0.00611782, 0.00579286, 0.00668478,
       0.00552821, 0.00577998, 0.00445724, 0.00457382, 0.00420117]), 'test_f1_weighted': array([0.853125  , 0.88902376, 0.86095483, 0.84972116, 0.8531293 ,
       0.83891949, 0.871875  , 0.86688207, 0.86876412, 0.85313791,
       0.85155561, 0.8766454 , 0.85314652, 0.85615154, 0.85630637]), 'test_recall_weighted': array([0.853125 , 0.8890625, 0.8609375, 0.85     , 0.853125 , 0.8390625,
       0.871875 , 0.8671875, 0.86875  , 0.853125 , 0.8515625, 0.8765625,
       0.853125 , 0.85625  , 0.85625  ]), 'test_precision_weighted': array([0.853125  , 0.88971961, 0.86101   , 0.85026273, 0.85328358,
       0.83927398, 0.871875  , 0.86781278, 0.86879521, 0.85330078,
       0.85155288, 0.87940467, 0.853318  , 0.85647234, 0.85642977]), 'test_accuracy': array([0.853125 , 0.8890625, 0.8609375, 0.85     , 0.853125 , 0.8390625,
       0.871875 , 0.8671875, 0.86875  , 0.853125 , 0.8515625, 0.8765625,
       0.853125 , 0.85625  , 0.85625  ]), 'test_roc_auc_ovr': array([0.85300873, 0.88912489, 0.86094819, 0.84803922, 0.85321925,
       0.83828059, 0.87174976, 0.8651349 , 0.86868252, 0.85324919,
       0.85140101, 0.87837494, 0.85326767, 0.8556964 , 0.85599906])}"
8,"{'num_leaves': 32, 'n_estimators': 110, 'learning_rate': 0.06050400946864023}",0.858720165563398,"{'fit_time': array([7.86655164, 7.97329831, 7.89156985, 7.95657587, 7.92358088,
       7.93418598, 7.91754103, 7.90144587, 7.97178388, 7.9652462 ,
       7.8780129 , 7.96640015, 1.79974294, 1.77064872, 1.75988102]), 'score_time': array([0.00691128, 0.00620008, 0.00644994, 0.00612712, 0.00681019,
       0.00627708, 0.00698304, 0.00626087, 0.00641012, 0.00656009,
       0.00671792, 0.00677586, 0.00506806, 0.00553823, 0.00457907]), 'test_f1_weighted': array([0.85159041, 0.88435241, 0.86878205, 0.84972116, 0.86250537,
       0.828125  , 0.88122213, 0.85758088, 0.86098607, 0.85625702,
       0.85471624, 0.87665993, 0.85001758, 0.84674012, 0.85154611]), 'test_recall_weighted': array([0.8515625, 0.884375 , 0.86875  , 0.85     , 0.8625   , 0.828125 ,
       0.88125  , 0.8578125, 0.8609375, 0.85625  , 0.8546875, 0.8765625,
       0.85     , 0.846875 , 0.8515625]), 'test_precision_weighted': array([0.85212145, 0.88476196, 0.86923828, 0.85026273, 0.86257812,
       0.828125  , 0.88126321, 0.85806256, 0.86154326, 0.85628077,
       0.85508301, 0.87799414, 0.85010158, 0.84720271, 0.85153389]), 'test_accuracy': array([0.8515625, 0.884375 , 0.86875  , 0.85     , 0.8625   , 0.828125 ,
       0.88125  , 0.8578125, 0.8609375, 0.85625  , 0.8546875, 0.8765625,
       0.85     , 0.846875 , 0.8515625]), 'test_roc_auc_ovr': array([0.85192877, 0.8844227 , 0.86911046, 0.84803922, 0.86255665,
       0.82792167, 0.88093842, 0.85609914, 0.86138711, 0.85625806,
       0.85496829, 0.87766958, 0.85006254, 0.84622602, 0.85074964])}"
9,"{'num_leaves': 34, 'n_estimators': 138, 'learning_rate': 0.1349414787814349}",0.8584803334775762,"{'fit_time': array([13.33474302, 13.37385392, 13.30399418, 13.38540435, 13.45169091,
       13.38763213, 13.38971233, 13.31902122, 13.39853716, 13.48714209,
       13.36194372, 13.40293097,  2.26100206,  2.2382741 ,  2.24380589]), 'score_time': array([0.00917292, 0.00659394, 0.00663972, 0.00668287, 0.00777602,
       0.01122689, 0.01012874, 0.00808883, 0.00617099, 0.006428  ,
       0.00858021, 0.00650692, 0.00491691, 0.00812078, 0.00534892]), 'test_f1_weighted': array([0.85001173, 0.88592775, 0.8562837 , 0.85089966, 0.85937912,
       0.83286028, 0.8671027 , 0.85589351, 0.85472123, 0.85935301,
       0.85159186, 0.87353737, 0.85783437, 0.8625    , 0.85930871]), 'test_recall_weighted': array([0.85     , 0.8859375, 0.85625  , 0.8515625, 0.859375 , 0.8328125,
       0.8671875, 0.85625  , 0.8546875, 0.859375 , 0.8515625, 0.8734375,
       0.8578125, 0.8625   , 0.859375 ]), 'test_precision_weighted': array([0.85004006, 0.88613004, 0.85691946, 0.85332047, 0.85940003,
       0.83323741, 0.86736184, 0.85690586, 0.85485932, 0.85939822,
       0.85195801, 0.87517673, 0.85819551, 0.8625    , 0.85930987]), 'test_accuracy': array([0.85     , 0.8859375, 0.85625  , 0.8515625, 0.859375 , 0.8328125,
       0.8671875, 0.85625  , 0.8546875, 0.859375 , 0.8515625, 0.8734375,
       0.8578125, 0.8625   , 0.859375 ]), 'test_roc_auc_ovr': array([0.84996921, 0.88597057, 0.85669599, 0.84833333, 0.85939209,
       0.83309868, 0.86661779, 0.8540656 , 0.85477625, 0.85920832,
       0.85184081, 0.874711  , 0.85807536, 0.86239115, 0.85827544])}"
