number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 44, 'n_estimators': 98, 'learning_rate': 0.0984168839648469}",0.9034784084817794,"{'fit_time': array([14.15321875, 12.93117595, 14.19438219, 12.97614908, 12.95663905,
       12.96635079, 12.84792781, 12.81161189, 12.94349217, 12.83275223,
       12.82874084, 12.81600809,  4.26888704,  4.47443223,  4.23418117]), 'score_time': array([0.01444292, 0.01789832, 0.01562476, 0.01885104, 0.01740479,
       0.02074504, 0.02093315, 0.01842213, 0.01934075, 0.02080297,
       0.02361608, 0.02240896, 0.01524806, 0.01357794, 0.01565003]), 'test_f1_weighted': array([0.90475165, 0.90369437, 0.90366832, 0.90344536, 0.90308021,
       0.90267217, 0.90675388, 0.89862439, 0.90870127, 0.90283755,
       0.90465097, 0.89766606, 0.90453265, 0.90777992, 0.89931736]), 'test_recall_weighted': array([0.90987504, 0.91008626, 0.9093121 , 0.90842734, 0.9092015 ,
       0.90876921, 0.91262995, 0.90356116, 0.9136253 , 0.90853793,
       0.90987504, 0.90533068, 0.9092015 , 0.91174519, 0.90621544]), 'test_precision_weighted': array([0.90218151, 0.90117945, 0.90120491, 0.90078879, 0.90055855,
       0.89991635, 0.90444905, 0.89575645, 0.90652578, 0.90023432,
       0.90215533, 0.8951544 , 0.90186204, 0.90534703, 0.89686275]), 'test_accuracy': array([0.90987504, 0.91008626, 0.9093121 , 0.90842734, 0.9092015 ,
       0.90876921, 0.91262995, 0.90356116, 0.9136253 , 0.90853793,
       0.90987504, 0.90533068, 0.9092015 , 0.91174519, 0.90621544]), 'test_roc_auc_ovr': array([0.73103186, 0.72073103, 0.73052229, 0.72938903, 0.72414989,
       0.71847675, 0.72987196, 0.72329768, 0.74369326, 0.72645564,
       0.73290528, 0.70975896, 0.72884517, 0.73762538, 0.71909972])}"
1,"{'num_leaves': 47, 'n_estimators': 139, 'learning_rate': 0.12217227115356262}",0.9024759582302768,"{'fit_time': array([20.16960287, 18.57585478, 18.52095294, 18.60254192, 18.69287014,
       18.74507427, 18.5996182 , 18.65508199, 18.4987421 , 18.78580284,
       18.51779318, 18.54221177,  4.65030503,  4.54355001,  4.57472706]), 'score_time': array([0.01724434, 0.02514911, 0.01950502, 0.02772689, 0.02414918,
       0.01670289, 0.0253408 , 0.02194905, 0.02688789, 0.01932597,
       0.028579  , 0.02181292, 0.01658702, 0.01847696, 0.01815104]), 'test_f1_weighted': array([0.90407479, 0.90187221, 0.90257305, 0.90440162, 0.898487  ,
       0.90264648, 0.90378793, 0.89817753, 0.90569774, 0.9030947 ,
       0.90512924, 0.89726045, 0.90308875, 0.90848037, 0.89836752]), 'test_recall_weighted': array([0.90876921, 0.90721079, 0.90765317, 0.90875912, 0.90499889,
       0.90854805, 0.90975448, 0.90345056, 0.91119221, 0.90842734,
       0.90998562, 0.90367175, 0.90721079, 0.91185578, 0.90533068]), 'test_precision_weighted': array([0.90147837, 0.89908326, 0.8999838 , 0.90186603, 0.89556834,
       0.89986866, 0.90120388, 0.89523947, 0.90335554, 0.90048578,
       0.90265755, 0.89438207, 0.90045855, 0.90623546, 0.89581809]), 'test_accuracy': array([0.90876921, 0.90721079, 0.90765317, 0.90875912, 0.90499889,
       0.90854805, 0.90975448, 0.90345056, 0.91119221, 0.90842734,
       0.90998562, 0.90367175, 0.90721079, 0.91185578, 0.90533068]), 'test_roc_auc_ovr': array([0.73247449, 0.72366489, 0.73198954, 0.73536751, 0.71321604,
       0.71961097, 0.72369055, 0.72039363, 0.73423074, 0.72924058,
       0.73622244, 0.71595659, 0.7294243 , 0.74330755, 0.71702972])}"
2,"{'num_leaves': 78, 'n_estimators': 70, 'learning_rate': 0.11487724810464552}",0.9031111817480256,"{'fit_time': array([15.38404989, 15.44016099, 15.28509307, 15.41701007, 16.80531573,
       15.30971003, 15.3707819 , 15.27563405, 16.86909199, 15.50522399,
       15.42159581, 15.40317202,  4.00652218,  3.99979305,  3.97754693]), 'score_time': array([0.01669693, 0.01564693, 0.01633692, 0.01625276, 0.01557422,
       0.01715779, 0.01543713, 0.01926208, 0.01444888, 0.01954198,
       0.0221529 , 0.01990199, 0.01465583, 0.01448703, 0.01532698]), 'test_f1_weighted': array([0.90268628, 0.90268681, 0.90279078, 0.90574269, 0.90069214,
       0.90306081, 0.90571371, 0.89823975, 0.90472998, 0.90414563,
       0.90768849, 0.89769306, 0.90500478, 0.90724058, 0.89855222]), 'test_recall_weighted': array([0.90733164, 0.90831674, 0.90820615, 0.91019686, 0.90676841,
       0.90854805, 0.91086043, 0.90333997, 0.90975448, 0.90886972,
       0.91197611, 0.90400354, 0.90953329, 0.91063924, 0.90555187]), 'test_precision_weighted': array([0.90001654, 0.89996306, 0.90022842, 0.90326649, 0.89793184,
       0.90029865, 0.90321097, 0.89532614, 0.90226234, 0.90161552,
       0.90539357, 0.89484343, 0.90238036, 0.90494777, 0.89603651]), 'test_accuracy': array([0.90733164, 0.90831674, 0.90820615, 0.91019686, 0.90676841,
       0.90854805, 0.91086043, 0.90333997, 0.90975448, 0.90886972,
       0.91197611, 0.90400354, 0.90953329, 0.91063924, 0.90555187]), 'test_roc_auc_ovr': array([0.73000673, 0.72346125, 0.73029602, 0.73742171, 0.71992034,
       0.72296862, 0.73259789, 0.72154865, 0.73543591, 0.73518655,
       0.74507996, 0.71733527, 0.73073402, 0.7404612 , 0.71715563])}"
3,"{'num_leaves': 54, 'n_estimators': 63, 'learning_rate': 0.07121600949416651}",0.9028032707054762,"{'fit_time': array([ 9.98430109,  9.93585777, 10.01564193, 10.03230906, 10.07805681,
       10.04555392, 10.09045076, 10.04220295, 10.08290792, 10.09789515,
       10.07220411, 10.06673908,  2.75635576,  2.94803882,  2.68326187]), 'score_time': array([0.01481509, 0.01558518, 0.016747  , 0.01714611, 0.01519632,
       0.01715922, 0.01548314, 0.01453304, 0.01705003, 0.01428485,
       0.01541185, 0.01622796, 0.01325798, 0.0112493 , 0.01286888]), 'test_f1_weighted': array([0.90321951, 0.90236482, 0.90114101, 0.90520873, 0.90253425,
       0.90102055, 0.90740614, 0.89486268, 0.90471422, 0.90425988,
       0.9070345 , 0.89984775, 0.90347562, 0.90643624, 0.89852316]), 'test_recall_weighted': array([0.90943271, 0.90886972, 0.90831674, 0.91030745, 0.90898031,
       0.90722105, 0.91340411, 0.90068569, 0.91019686, 0.91041805,
       0.91230786, 0.9071002 , 0.90909091, 0.91052864, 0.90654722]), 'test_precision_weighted': array([0.90062853, 0.89972889, 0.89881301, 0.90267204, 0.90002878,
       0.89811968, 0.90520495, 0.89165048, 0.90228354, 0.90187762,
       0.90473788, 0.89747885, 0.90068027, 0.90391462, 0.89644051]), 'test_accuracy': array([0.90943271, 0.90886972, 0.90831674, 0.91030745, 0.90898031,
       0.90722105, 0.91340411, 0.90068569, 0.91019686, 0.91041805,
       0.91230786, 0.9071002 , 0.90909091, 0.91052864, 0.90654722]), 'test_roc_auc_ovr': array([0.72126801, 0.7175557 , 0.71670855, 0.73210711, 0.72117378,
       0.71466446, 0.73030984, 0.71070808, 0.73245381, 0.72630079,
       0.73713175, 0.71592181, 0.72069949, 0.73391443, 0.71145681])}"
4,"{'num_leaves': 50, 'n_estimators': 78, 'learning_rate': 0.08321697576971153}",0.9028227613992302,"{'fit_time': array([11.4310019 , 11.53896093, 11.636554  , 11.6095469 , 11.66163993,
       11.66101384, 11.51072907, 11.62235785, 11.64079118, 11.55863976,
       11.57646108, 11.65353703,  3.18473697,  3.10631466,  3.0949409 ]), 'score_time': array([0.01895285, 0.01777506, 0.01733899, 0.01832008, 0.01789498,
       0.01866102, 0.01494098, 0.01579809, 0.01559711, 0.01734996,
       0.01582909, 0.01504326, 0.0141151 , 0.01704216, 0.01836801]), 'test_f1_weighted': array([0.9040275 , 0.9037396 , 0.90116842, 0.90462152, 0.89988031,
       0.90331291, 0.90716963, 0.89733524, 0.90547019, 0.90246108,
       0.90573353, 0.89839489, 0.90423259, 0.90657605, 0.89821796]), 'test_recall_weighted': array([0.90954329, 0.90964388, 0.90809555, 0.9093121 , 0.90610484,
       0.90910096, 0.91318292, 0.9026764 , 0.91074983, 0.90875912,
       0.91064912, 0.90555187, 0.9092015 , 0.91063924, 0.90566246]), 'test_precision_weighted': array([0.90141805, 0.90113482, 0.89875241, 0.90205848, 0.89706132,
       0.9005848 , 0.90494668, 0.8943366 , 0.90307798, 0.89992   ,
       0.90330413, 0.89580259, 0.90151128, 0.90406736, 0.89581751]), 'test_accuracy': array([0.90954329, 0.90964388, 0.90809555, 0.9093121 , 0.90610484,
       0.90910096, 0.91318292, 0.9026764 , 0.91074983, 0.90875912,
       0.91064912, 0.90555187, 0.9092015 , 0.91063924, 0.90566246]), 'test_roc_auc_ovr': array([0.72712147, 0.72379726, 0.71818891, 0.73361218, 0.71750804,
       0.72160206, 0.72977064, 0.71833112, 0.73519221, 0.72210616,
       0.73700529, 0.71385166, 0.72629254, 0.73440899, 0.71408587])}"
5,"{'num_leaves': 48, 'n_estimators': 72, 'learning_rate': 0.06998919394070771}",0.9029693500038483,"{'fit_time': array([10.19086599, 10.16367388, 10.13382506, 10.10995078, 10.0964098 ,
       10.22718287, 10.14248705, 10.2360301 , 10.29311585, 10.27637792,
       10.27738214, 10.25528693,  3.06670403,  3.0772438 ,  3.04584599]), 'score_time': array([0.02017093, 0.01966119, 0.01603889, 0.01767516, 0.02194929,
       0.01606202, 0.0191443 , 0.01680517, 0.01635695, 0.01512814,
       0.01667905, 0.01465702, 0.01527905, 0.01451015, 0.0149591 ]), 'test_f1_weighted': array([0.90451323, 0.90182774, 0.90079867, 0.90582577, 0.90211398,
       0.90227717, 0.90670389, 0.89723483, 0.90574241, 0.90179178,
       0.9056234 , 0.90117285, 0.90389805, 0.90686364, 0.89815285]), 'test_recall_weighted': array([0.91042796, 0.90809555, 0.90765317, 0.91063924, 0.90898031,
       0.90854805, 0.91262995, 0.90345056, 0.91130281, 0.90820615,
       0.91109145, 0.90842734, 0.90898031, 0.91063924, 0.90610484]), 'test_precision_weighted': array([0.9019969 , 0.89909109, 0.89831292, 0.90333222, 0.89968169,
       0.89950566, 0.90440637, 0.89419623, 0.90341607, 0.89920506,
       0.90323339, 0.8989893 , 0.90114622, 0.90443984, 0.89597234]), 'test_accuracy': array([0.91042796, 0.90809555, 0.90765317, 0.91063924, 0.90898031,
       0.90854805, 0.91262995, 0.90345056, 0.91130281, 0.90820615,
       0.91109145, 0.90842734, 0.90898031, 0.91063924, 0.90610484]), 'test_roc_auc_ovr': array([0.72555373, 0.71794698, 0.71793781, 0.73519019, 0.71791576,
       0.71667302, 0.72945787, 0.71308729, 0.73388934, 0.72016555,
       0.73318786, 0.71826294, 0.7248915 , 0.73700279, 0.71120499])}"
6,"{'num_leaves': 65, 'n_estimators': 133, 'learning_rate': 0.06445623751902077}",0.9030971407672737,"{'fit_time': array([24.75315213, 24.94768596, 24.86723304, 25.0720489 , 24.70290303,
       24.94017816, 24.73331213, 24.96067095, 25.01107121, 24.82876205,
       25.06493211, 24.9265039 ,  5.62359309,  5.91753101,  5.52150893]), 'score_time': array([0.02498984, 0.02160096, 0.02310014, 0.02015114, 0.02887392,
       0.02184486, 0.02427578, 0.03020406, 0.02222395, 0.02232194,
       0.02123809, 0.02989316, 0.02342296, 0.02168894, 0.0207262 ]), 'test_f1_weighted': array([0.90403617, 0.90183931, 0.90329724, 0.90477589, 0.90113919,
       0.9024634 , 0.90903534, 0.89717814, 0.90790429, 0.90245064,
       0.90503921, 0.89846674, 0.9045965 , 0.9048374 , 0.89939764]), 'test_recall_weighted': array([0.90854805, 0.90754258, 0.90886972, 0.90898031, 0.90743198,
       0.90832688, 0.91406768, 0.90223402, 0.91262995, 0.90831674,
       0.90976446, 0.90499889, 0.90898031, 0.90864853, 0.90643663]), 'test_precision_weighted': array([0.90145852, 0.89904945, 0.90079173, 0.90228443, 0.89845294,
       0.89966668, 0.9067839 , 0.8942102 , 0.90564935, 0.89983259,
       0.90256426, 0.895727  , 0.90197521, 0.90232611, 0.897001  ]), 'test_accuracy': array([0.90854805, 0.90754258, 0.90886972, 0.90898031, 0.90743198,
       0.90832688, 0.91406768, 0.90223402, 0.91262995, 0.90831674,
       0.90976446, 0.90499889, 0.90898031, 0.90864853, 0.90643663]), 'test_roc_auc_ovr': array([0.73359028, 0.72136521, 0.73027119, 0.73714715, 0.71948186,
       0.71948606, 0.73979514, 0.71970397, 0.74353284, 0.72470306,
       0.73691072, 0.71750433, 0.73084762, 0.73242373, 0.71844246])}"
7,"{'num_leaves': 32, 'n_estimators': 129, 'learning_rate': 0.09014345449161192}",0.9030402347035477,"{'fit_time': array([12.2059083 , 12.27517009, 12.35214734, 12.31194329, 12.40045428,
       12.39191198, 13.38882399, 12.46250415, 12.39017701, 12.40425897,
       12.44588995, 12.40212107,  3.0996511 ,  3.04735398,  3.22576714]), 'score_time': array([0.01941586, 0.01623011, 0.01805902, 0.02157807, 0.02011013,
       0.01822209, 0.01720715, 0.02093887, 0.02047992, 0.01680017,
       0.02007198, 0.02438688, 0.01717615, 0.01700902, 0.01461363]), 'test_f1_weighted': array([0.90529981, 0.90303623, 0.90119389, 0.90396683, 0.90062735,
       0.9001847 , 0.90759905, 0.89967744, 0.90757517, 0.90104234,
       0.90414858, 0.89788554, 0.90698316, 0.90694696, 0.89943646]), 'test_recall_weighted': array([0.91064912, 0.90942269, 0.90787436, 0.90875912, 0.90687901,
       0.90633639, 0.91351471, 0.90533068, 0.91307233, 0.90743198,
       0.90910096, 0.90533068, 0.91185578, 0.91097102, 0.9069896 ]), 'test_precision_weighted': array([0.90278187, 0.90044765, 0.89870331, 0.90135587, 0.8978837 ,
       0.89720425, 0.90539486, 0.89682499, 0.90540826, 0.89837112,
       0.9016099 , 0.89532279, 0.90444886, 0.90446377, 0.89725855]), 'test_accuracy': array([0.91064912, 0.90942269, 0.90787436, 0.90875912, 0.90687901,
       0.90633639, 0.91351471, 0.90533068, 0.91307233, 0.90743198,
       0.90910096, 0.90533068, 0.91185578, 0.91097102, 0.9069896 ]), 'test_roc_auc_ovr': array([0.73064247, 0.71952664, 0.71966927, 0.73164486, 0.71876125,
       0.71332542, 0.73120057, 0.72105355, 0.73772186, 0.71891318,
       0.73368701, 0.71134575, 0.73246917, 0.73546037, 0.71562453])}"
8,"{'num_leaves': 70, 'n_estimators': 74, 'learning_rate': 0.0539983333128816}",0.9018909076125177,"{'fit_time': array([15.11760783, 15.09704208, 15.2182889 , 15.19803405, 15.12731099,
       15.11927295, 15.14418674, 15.19068098, 16.33968735, 15.18642497,
       15.18459392, 15.24400306,  3.67023706,  3.68294692,  3.61626697]), 'score_time': array([0.01723123, 0.01759291, 0.01787591, 0.01890683, 0.02083206,
       0.0166688 , 0.01961803, 0.01760912, 0.01557875, 0.01445794,
       0.01459122, 0.01672411, 0.01361394, 0.02002001, 0.01425385]), 'test_f1_weighted': array([0.90177258, 0.90225843, 0.89980219, 0.90552385, 0.89967632,
       0.90218903, 0.90658753, 0.89672961, 0.90404095, 0.90244101,
       0.90371391, 0.89917079, 0.90301893, 0.90321026, 0.89822822]), 'test_recall_weighted': array([0.90744222, 0.90886972, 0.9071002 , 0.91086043, 0.90643663,
       0.90799513, 0.91285114, 0.90322937, 0.90986507, 0.90842734,
       0.90976446, 0.90654722, 0.90853793, 0.90831674, 0.90665782]), 'test_precision_weighted': array([0.89898715, 0.89963509, 0.89733878, 0.90302373, 0.89692558,
       0.89936549, 0.90437626, 0.89366217, 0.90160407, 0.89983916,
       0.9012483 , 0.89675753, 0.90018697, 0.90034416, 0.89632944]), 'test_accuracy': array([0.90744222, 0.90886972, 0.9071002 , 0.91086043, 0.90643663,
       0.90799513, 0.91285114, 0.90322937, 0.90986507, 0.90842734,
       0.90976446, 0.90654722, 0.90853793, 0.90831674, 0.90665782]), 'test_roc_auc_ovr': array([0.72179657, 0.7167266 , 0.71360916, 0.73117904, 0.71403078,
       0.7192987 , 0.72709844, 0.71052645, 0.72903262, 0.72395214,
       0.72592682, 0.71402072, 0.72038765, 0.72056482, 0.70877865])}"
9,"{'num_leaves': 33, 'n_estimators': 97, 'learning_rate': 0.08075330364117289}",0.903482706636815,"{'fit_time': array([9.47673392, 9.56828809, 9.510566  , 9.6324811 , 9.55889893,
       9.59018803, 9.61652398, 9.57154083, 9.54830575, 9.61413908,
       9.61167502, 9.59762692, 3.00321603, 2.98684573, 2.92929006]), 'score_time': array([0.01897407, 0.01693797, 0.01850486, 0.0172689 , 0.01942801,
       0.02309012, 0.01775694, 0.02343583, 0.02112412, 0.01486373,
       0.01864123, 0.01545787, 0.01661086, 0.01554513, 0.01528978]), 'test_f1_weighted': array([0.9046057 , 0.90111891, 0.90222431, 0.90372783, 0.9039138 ,
       0.90301063, 0.90790976, 0.89697796, 0.90823463, 0.90126597,
       0.90652492, 0.89790515, 0.9057314 , 0.9068826 , 0.90220702]), 'test_recall_weighted': array([0.91053854, 0.90743198, 0.90898031, 0.90864853, 0.91019686,
       0.90943271, 0.91417828, 0.90300818, 0.91351471, 0.90776377,
       0.91153378, 0.90555187, 0.91052864, 0.91130281, 0.91008626]), 'test_precision_weighted': array([0.90210167, 0.89831834, 0.89988226, 0.90109303, 0.90151909,
       0.90034111, 0.9058613 , 0.89391432, 0.90608082, 0.8986409 ,
       0.90415786, 0.89542053, 0.90311905, 0.9043217 , 0.90067239]), 'test_accuracy': array([0.91053854, 0.90743198, 0.90898031, 0.90864853, 0.91019686,
       0.90943271, 0.91417828, 0.90300818, 0.91351471, 0.90776377,
       0.91153378, 0.90555187, 0.91052864, 0.91130281, 0.91008626]), 'test_roc_auc_ovr': array([0.72561628, 0.71632804, 0.72109997, 0.73034141, 0.72471395,
       0.71717264, 0.72950545, 0.71364832, 0.74039753, 0.71869442,
       0.73791348, 0.71028138, 0.73044445, 0.73262103, 0.71856208])}"
