number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 58, 'n_estimators': 94, 'learning_rate': 0.11495707930976942}",0.9642624912214895,"{'fit_time': array([6.2275672 , 5.9732759 , 6.36360192, 6.15319705, 6.02293086,
       6.26876688, 6.36096215, 6.22547412, 5.86649704, 6.23041677,
       6.18715405, 5.77533627, 1.41885781, 1.38159013, 1.32027102]), 'score_time': array([0.00487781, 0.00439501, 0.00461316, 0.00457597, 0.00453615,
       0.00474024, 0.00463581, 0.00438595, 0.00447106, 0.00434303,
       0.00452209, 0.00438285, 0.00342607, 0.00336003, 0.00333691]), 'test_f1_weighted': array([0.94670462, 0.95552564, 0.97313712, 0.97310659, 0.95482736,
       0.97328066, 0.98214286, 0.93773589, 0.9640571 , 0.96422422,
       0.982282  , 0.93683661, 0.98231027, 0.95578444, 0.98198198]), 'test_recall_weighted': array([0.94642857, 0.95535714, 0.97321429, 0.97321429, 0.95495495,
       0.97321429, 0.98214286, 0.9375    , 0.96428571, 0.96396396,
       0.98214286, 0.9375    , 0.98214286, 0.95535714, 0.98198198]), 'test_precision_weighted': array([0.94761905, 0.95586623, 0.97322997, 0.97318062, 0.95486833,
       0.9735119 , 0.98214286, 0.93813962, 0.96451737, 0.9651814 ,
       0.98313492, 0.93770872, 0.98322511, 0.96010638, 0.98198198]), 'test_accuracy': array([0.94642857, 0.95535714, 0.97321429, 0.97321429, 0.95495495,
       0.97321429, 0.98214286, 0.9375    , 0.96428571, 0.96396396,
       0.98214286, 0.9375    , 0.98214286, 0.95535714, 0.98198198]), 'test_roc_auc_ovr': array([0.94722222, 0.95194805, 0.96805556, 0.96493506, 0.94841549,
       0.97372037, 0.98055556, 0.93116883, 0.95468915, 0.96597744,
       0.98717949, 0.92069701, 0.98765432, 0.96428571, 0.98131313])}"
1,"{'num_leaves': 34, 'n_estimators': 103, 'learning_rate': 0.05318401855462723}",0.9630140893124275,"{'fit_time': array([4.42266607, 4.43210387, 4.38117695, 4.28647494, 4.23087525,
       4.455055  , 4.46607113, 4.39471173, 4.29564595, 4.43348312,
       4.42382169, 4.17606711, 1.15523601, 1.15297675, 1.10557914]), 'score_time': array([0.00459313, 0.00442195, 0.00428915, 0.00439   , 0.00440598,
       0.00420904, 0.00421286, 0.00462604, 0.00422621, 0.0041039 ,
       0.00505424, 0.00490022, 0.00328875, 0.00335622, 0.00324488]), 'test_f1_weighted': array([0.95568902, 0.95552564, 0.96407246, 0.97310659, 0.96396396,
       0.97328066, 0.99109532, 0.93773589, 0.95491371, 0.94633634,
       0.98214286, 0.92752715, 0.99111456, 0.95578444, 0.97292274]), 'test_recall_weighted': array([0.95535714, 0.95535714, 0.96428571, 0.97321429, 0.96396396,
       0.97321429, 0.99107143, 0.9375    , 0.95535714, 0.94594595,
       0.98214286, 0.92857143, 0.99107143, 0.95535714, 0.97297297]), 'test_precision_weighted': array([0.95746064, 0.95586623, 0.96453973, 0.97318062, 0.96396396,
       0.9735119 , 0.9912892 , 0.93813962, 0.95602287, 0.94740687,
       0.98214286, 0.92921784, 0.99135045, 0.96010638, 0.97303715]), 'test_accuracy': array([0.95535714, 0.95535714, 0.96428571, 0.97321429, 0.96396396,
       0.97321429, 0.99107143, 0.9375    , 0.95535714, 0.94594595,
       0.98214286, 0.92857143, 0.99107143, 0.95535714, 0.97297297]), 'test_roc_auc_ovr': array([0.95972222, 0.95194805, 0.95555556, 0.96493506, 0.96091549,
       0.97372037, 0.99305556, 0.93116883, 0.94186863, 0.94511278,
       0.97888386, 0.90753912, 0.99382716, 0.96428571, 0.97020202])}"
2,"{'num_leaves': 46, 'n_estimators': 89, 'learning_rate': 0.06584956046707682}",0.9636224746005729,"{'fit_time': array([3.77022791, 3.78717589, 3.74981403, 3.7668159 , 3.71273494,
       3.76235509, 3.85737395, 3.877033  , 3.61231995, 3.79996705,
       3.75529885, 3.62713289, 1.04580617, 1.03483987, 0.99541497]), 'score_time': array([0.00391912, 0.00420117, 0.00424314, 0.00408125, 0.00398421,
       0.00424695, 0.00411701, 0.00409603, 0.00422716, 0.00421906,
       0.00405812, 0.00439501, 0.00319195, 0.0032711 , 0.00314999]), 'test_f1_weighted': array([0.95568902, 0.95552564, 0.96407246, 0.97310659, 0.96396396,
       0.97328066, 0.99109532, 0.93773589, 0.9640571 , 0.95512302,
       0.98214286, 0.92752715, 0.98231027, 0.95578444, 0.97292274]), 'test_recall_weighted': array([0.95535714, 0.95535714, 0.96428571, 0.97321429, 0.96396396,
       0.97321429, 0.99107143, 0.9375    , 0.96428571, 0.95495495,
       0.98214286, 0.92857143, 0.98214286, 0.95535714, 0.97297297]), 'test_precision_weighted': array([0.95746064, 0.95586623, 0.96453973, 0.97318062, 0.96396396,
       0.9735119 , 0.9912892 , 0.93813962, 0.96451737, 0.95546547,
       0.98214286, 0.92921784, 0.98322511, 0.96010638, 0.97303715]), 'test_accuracy': array([0.95535714, 0.95535714, 0.96428571, 0.97321429, 0.96396396,
       0.97321429, 0.99107143, 0.9375    , 0.96428571, 0.95495495,
       0.98214286, 0.92857143, 0.98214286, 0.95535714, 0.97297297]), 'test_roc_auc_ovr': array([0.95972222, 0.95194805, 0.95555556, 0.96493506, 0.96091549,
       0.97372037, 0.99305556, 0.93116883, 0.95468915, 0.95169173,
       0.97888386, 0.90753912, 0.98765432, 0.96428571, 0.97020202])}"
3,"{'num_leaves': 65, 'n_estimators': 144, 'learning_rate': 0.06029232832607806}",0.9648066467621884,"{'fit_time': array([6.81635475, 6.50349593, 6.66469312, 6.61568475, 6.44978714,
       6.60040283, 6.81708717, 6.71022415, 6.29151297, 6.62403917,
       6.66513205, 6.30392599, 1.79976702, 1.7971251 , 1.68690515]), 'score_time': array([0.0039773 , 0.00451612, 0.00430489, 0.00431323, 0.00424981,
       0.00431013, 0.00411415, 0.00443864, 0.00435925, 0.00435376,
       0.00427294, 0.00450206, 0.00348783, 0.00351   , 0.00353694]), 'test_f1_weighted': array([0.95568902, 0.94642857, 0.97313712, 0.97310659, 0.96396396,
       0.98222789, 0.98214286, 0.95552564, 0.96379665, 0.95542706,
       0.97332198, 0.92752715, 0.98231027, 0.96457219, 0.97292274]), 'test_recall_weighted': array([0.95535714, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.98214286, 0.95535714, 0.96428571, 0.95495495,
       0.97321429, 0.92857143, 0.98214286, 0.96428571, 0.97297297]), 'test_precision_weighted': array([0.95746064, 0.94642857, 0.97322997, 0.97318062, 0.96396396,
       0.98297342, 0.98214286, 0.95586623, 0.966141  , 0.95742967,
       0.97360853, 0.92921784, 0.98322511, 0.9673913 , 0.97303715]), 'test_accuracy': array([0.95535714, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.98214286, 0.95535714, 0.96428571, 0.95495495,
       0.97321429, 0.92857143, 0.98214286, 0.96428571, 0.97297297]), 'test_roc_auc_ovr': array([0.95972222, 0.93766234, 0.96805556, 0.96493506, 0.96091549,
       0.98591549, 0.98055556, 0.95194805, 0.94871795, 0.9593985 ,
       0.9724736 , 0.90753912, 0.98765432, 0.97142857, 0.97020202])}"
4,"{'num_leaves': 53, 'n_estimators': 83, 'learning_rate': 0.10583488356942851}",0.9636453493114507,"{'fit_time': array([3.8890729 , 3.75769424, 3.83866096, 3.80028081, 3.73218608,
       3.95881915, 3.95738316, 3.84885812, 3.63982415, 3.8365891 ,
       3.81529903, 3.63583994, 1.10272598, 1.08157492, 1.03917289]), 'score_time': array([0.00460482, 0.00433469, 0.00415301, 0.00435305, 0.00398612,
       0.00406575, 0.0043509 , 0.00460291, 0.00435996, 0.00513792,
       0.00452614, 0.00408602, 0.00336385, 0.00351   , 0.00324798]), 'test_f1_weighted': array([0.95568902, 0.94642857, 0.97313712, 0.97310659, 0.96396396,
       0.98222789, 0.99109532, 0.93773589, 0.95491371, 0.95512302,
       0.982282  , 0.93683661, 0.97357972, 0.95563806, 0.97292274]), 'test_recall_weighted': array([0.95535714, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.99107143, 0.9375    , 0.95535714, 0.95495495,
       0.98214286, 0.9375    , 0.97321429, 0.95535714, 0.97297297]), 'test_precision_weighted': array([0.95746064, 0.94642857, 0.97322997, 0.97318062, 0.96396396,
       0.98297342, 0.9912892 , 0.93813962, 0.95602287, 0.95546547,
       0.98313492, 0.93770872, 0.97557773, 0.95733831, 0.97303715]), 'test_accuracy': array([0.95535714, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.99107143, 0.9375    , 0.95535714, 0.95495495,
       0.98214286, 0.9375    , 0.97321429, 0.95535714, 0.97297297]), 'test_roc_auc_ovr': array([0.95972222, 0.93766234, 0.96805556, 0.96493506, 0.96091549,
       0.98591549, 0.99305556, 0.93116883, 0.94186863, 0.95169173,
       0.98717949, 0.92069701, 0.98148148, 0.95952381, 0.97020202])}"
5,"{'num_leaves': 65, 'n_estimators': 123, 'learning_rate': 0.09741335687532797}",0.9684254495345831,"{'fit_time': array([5.92725492, 5.56825805, 5.89471984, 5.71822286, 5.62440395,
       5.9178071 , 6.06838608, 5.8388679 , 5.32973099, 5.8519001 ,
       5.94400287, 5.24790215, 1.85120893, 1.79021692, 1.57889104]), 'score_time': array([0.00426197, 0.00435996, 0.00412416, 0.00398111, 0.00418687,
       0.00433588, 0.00392389, 0.00411201, 0.0041728 , 0.00470996,
       0.00394106, 0.00427389, 0.00355721, 0.00369   , 0.00344014]), 'test_f1_weighted': array([0.95568902, 0.95552564, 0.97313712, 0.97310659, 0.95482736,
       0.99109355, 0.98214286, 0.95552564, 0.9640571 , 0.97325624,
       0.99110733, 0.93683661, 0.98231027, 0.95578444, 0.98198198]), 'test_recall_weighted': array([0.95535714, 0.95535714, 0.97321429, 0.97321429, 0.95495495,
       0.99107143, 0.98214286, 0.95535714, 0.96428571, 0.97297297,
       0.99107143, 0.9375    , 0.98214286, 0.95535714, 0.98198198]), 'test_precision_weighted': array([0.95746064, 0.95586623, 0.97322997, 0.97318062, 0.95486833,
       0.99128401, 0.98214286, 0.95586623, 0.96451737, 0.97510669,
       0.99132653, 0.93770872, 0.98322511, 0.96010638, 0.98198198]), 'test_accuracy': array([0.95535714, 0.95535714, 0.97321429, 0.97321429, 0.95495495,
       0.99107143, 0.98214286, 0.95535714, 0.96428571, 0.97297297,
       0.99107143, 0.9375    , 0.98214286, 0.95535714, 0.98198198]), 'test_roc_auc_ovr': array([0.95972222, 0.95194805, 0.96805556, 0.96493506, 0.94841549,
       0.99295775, 0.98055556, 0.95194805, 0.95468915, 0.98026316,
       0.99358974, 0.92069701, 0.98765432, 0.96428571, 0.98131313])}"
6,"{'num_leaves': 73, 'n_estimators': 91, 'learning_rate': 0.1026378299330513}",0.9666489030318733,"{'fit_time': array([4.22647285, 4.15782094, 4.23082709, 4.14627934, 4.18473482,
       4.2813499 , 4.4344058 , 4.33457589, 4.1470542 , 4.37419701,
       4.33521414, 4.05349183, 1.18165517, 1.17162299, 1.13598299]), 'score_time': array([0.00422406, 0.00435519, 0.00405717, 0.0045929 , 0.00443816,
       0.00399685, 0.00375605, 0.00445104, 0.00416493, 0.00383902,
       0.00427389, 0.00433517, 0.00317383, 0.00345492, 0.00415015]), 'test_f1_weighted': array([0.95568902, 0.95552564, 0.97313712, 0.97310659, 0.96396396,
       0.99109355, 0.99109532, 0.94682018, 0.95491371, 0.95542706,
       0.99110733, 0.93683661, 0.98231027, 0.95578444, 0.97292274]), 'test_recall_weighted': array([0.95535714, 0.95535714, 0.97321429, 0.97321429, 0.96396396,
       0.99107143, 0.99107143, 0.94642857, 0.95535714, 0.95495495,
       0.99107143, 0.9375    , 0.98214286, 0.95535714, 0.97297297]), 'test_precision_weighted': array([0.95746064, 0.95586623, 0.97322997, 0.97318062, 0.96396396,
       0.99128401, 0.9912892 , 0.94788288, 0.95602287, 0.95742967,
       0.99132653, 0.93770872, 0.98322511, 0.96010638, 0.97303715]), 'test_accuracy': array([0.95535714, 0.95535714, 0.97321429, 0.97321429, 0.96396396,
       0.99107143, 0.99107143, 0.94642857, 0.95535714, 0.95495495,
       0.99107143, 0.9375    , 0.98214286, 0.95535714, 0.97297297]), 'test_roc_auc_ovr': array([0.95972222, 0.95194805, 0.96805556, 0.96493506, 0.96091549,
       0.99295775, 0.99305556, 0.94545455, 0.94186863, 0.9593985 ,
       0.99358974, 0.92069701, 0.98765432, 0.96428571, 0.97020202])}"
7,"{'num_leaves': 34, 'n_estimators': 52, 'learning_rate': 0.11863535639048724}",0.9653839119629396,"{'fit_time': array([2.23892498, 2.24668813, 2.1599443 , 2.15115094, 2.2120719 ,
       2.21950889, 2.30340815, 2.29169512, 2.09614682, 2.28043079,
       2.26438189, 2.16721201, 0.7341001 , 0.71425414, 0.71090889]), 'score_time': array([0.00533891, 0.00481105, 0.00442386, 0.00396991, 0.00432825,
       0.00511789, 0.00499105, 0.0042398 , 0.00396013, 0.0045321 ,
       0.00406122, 0.00395489, 0.00371671, 0.00306392, 0.00297308]), 'test_f1_weighted': array([0.97341341, 0.95552564, 0.96407246, 0.98214286, 0.96396396,
       0.97328066, 0.99109532, 0.93773589, 0.95491371, 0.95512302,
       0.98214286, 0.92752715, 0.99111456, 0.95578444, 0.97292274]), 'test_recall_weighted': array([0.97321429, 0.95535714, 0.96428571, 0.98214286, 0.96396396,
       0.97321429, 0.99107143, 0.9375    , 0.95535714, 0.95495495,
       0.98214286, 0.92857143, 0.99107143, 0.95535714, 0.97297297]), 'test_precision_weighted': array([0.97508306, 0.95586623, 0.96453973, 0.98214286, 0.96396396,
       0.9735119 , 0.9912892 , 0.93813962, 0.95602287, 0.95546547,
       0.98214286, 0.92921784, 0.99135045, 0.96010638, 0.97303715]), 'test_accuracy': array([0.97321429, 0.95535714, 0.96428571, 0.98214286, 0.96396396,
       0.97321429, 0.99107143, 0.9375    , 0.95535714, 0.95495495,
       0.98214286, 0.92857143, 0.99107143, 0.95535714, 0.97297297]), 'test_roc_auc_ovr': array([0.97916667, 0.95194805, 0.95555556, 0.97922078, 0.96091549,
       0.97372037, 0.99305556, 0.93116883, 0.94186863, 0.95169173,
       0.97888386, 0.90753912, 0.99382716, 0.96428571, 0.97020202])}"
8,"{'num_leaves': 70, 'n_estimators': 119, 'learning_rate': 0.06714100737759301}",0.964209857708678,"{'fit_time': array([5.4705658 , 5.29413772, 5.4803741 , 5.31259084, 5.22014809,
       5.39280105, 5.50789618, 5.49166179, 5.09930706, 5.44969702,
       5.41936779, 5.0785749 , 1.47477603, 1.50989008, 1.39598584]), 'score_time': array([0.00412226, 0.00426221, 0.00425386, 0.00425696, 0.00424814,
       0.00427699, 0.00412798, 0.00392604, 0.00430989, 0.00402617,
       0.00422025, 0.00421095, 0.00319314, 0.00322413, 0.00335693]), 'test_f1_weighted': array([0.94670462, 0.94642857, 0.97313712, 0.97310659, 0.96396396,
       0.98222789, 0.99109532, 0.93773589, 0.95491371, 0.95512302,
       0.99110733, 0.92752715, 0.98231027, 0.95578444, 0.98198198]), 'test_recall_weighted': array([0.94642857, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.99107143, 0.9375    , 0.95535714, 0.95495495,
       0.99107143, 0.92857143, 0.98214286, 0.95535714, 0.98198198]), 'test_precision_weighted': array([0.94761905, 0.94642857, 0.97322997, 0.97318062, 0.96396396,
       0.98297342, 0.9912892 , 0.93813962, 0.95602287, 0.95546547,
       0.99132653, 0.92921784, 0.98322511, 0.96010638, 0.98198198]), 'test_accuracy': array([0.94642857, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.99107143, 0.9375    , 0.95535714, 0.95495495,
       0.99107143, 0.92857143, 0.98214286, 0.95535714, 0.98198198]), 'test_roc_auc_ovr': array([0.94722222, 0.93766234, 0.96805556, 0.96493506, 0.96091549,
       0.98591549, 0.99305556, 0.93116883, 0.94186863, 0.95169173,
       0.99358974, 0.90753912, 0.98765432, 0.96428571, 0.98131313])}"
9,"{'num_leaves': 67, 'n_estimators': 84, 'learning_rate': 0.10750937260340643}",0.9666212062834453,"{'fit_time': array([3.97676206, 3.82031584, 3.86613202, 3.86875796, 3.81058598,
       3.90083623, 3.95171094, 3.91029096, 3.70823288, 3.87419486,
       3.87347507, 3.71153688, 1.08134723, 1.10027289, 1.02734113]), 'score_time': array([0.00422978, 0.00409913, 0.00413394, 0.004179  , 0.00412297,
       0.00425386, 0.0041852 , 0.00420499, 0.00419307, 0.00458026,
       0.00437903, 0.00402784, 0.00316381, 0.00333595, 0.00342703]), 'test_f1_weighted': array([0.96462585, 0.94642857, 0.97313712, 0.97310659, 0.96396396,
       0.98222789, 0.99109532, 0.95552564, 0.9640571 , 0.96422422,
       0.97332198, 0.92752715, 0.98231027, 0.95578444, 0.98198198]), 'test_recall_weighted': array([0.96428571, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.99107143, 0.95535714, 0.96428571, 0.96396396,
       0.97321429, 0.92857143, 0.98214286, 0.95535714, 0.98198198]), 'test_precision_weighted': array([0.96753247, 0.94642857, 0.97322997, 0.97318062, 0.96396396,
       0.98297342, 0.9912892 , 0.95586623, 0.96451737, 0.9651814 ,
       0.97360853, 0.92921784, 0.98322511, 0.96010638, 0.98198198]), 'test_accuracy': array([0.96428571, 0.94642857, 0.97321429, 0.97321429, 0.96396396,
       0.98214286, 0.99107143, 0.95535714, 0.96428571, 0.96396396,
       0.97321429, 0.92857143, 0.98214286, 0.95535714, 0.98198198]), 'test_roc_auc_ovr': array([0.97222222, 0.93766234, 0.96805556, 0.96493506, 0.96091549,
       0.98591549, 0.99305556, 0.95194805, 0.95468915, 0.96597744,
       0.9724736 , 0.90753912, 0.98765432, 0.96428571, 0.98131313])}"
