number,value,params,state
0,0.9947725777951483,"{'num_leaves': 67, 'n_estimators': 89, 'learning_rate': 0.12093608576550695}",1
1,0.9947210151740363,"{'num_leaves': 75, 'n_estimators': 61, 'learning_rate': 0.14973928176276705}",1
2,0.9947590540468874,"{'num_leaves': 56, 'n_estimators': 62, 'learning_rate': 0.07251109039398443}",1
3,0.9949439267762646,"{'num_leaves': 40, 'n_estimators': 93, 'learning_rate': 0.14215548377221007}",1
4,0.9950113859418636,"{'num_leaves': 39, 'n_estimators': 88, 'learning_rate': 0.10379992637809766}",1
5,0.9951071256686274,"{'num_leaves': 34, 'n_estimators': 66, 'learning_rate': 0.06973996586026596}",1
6,0.9950624973001662,"{'num_leaves': 37, 'n_estimators': 129, 'learning_rate': 0.08341721837955399}",1
7,0.9949606596214357,"{'num_leaves': 47, 'n_estimators': 69, 'learning_rate': 0.11749652640482118}",1
8,0.9947912215704557,"{'num_leaves': 53, 'n_estimators': 85, 'learning_rate': 0.12572817427640381}",1
9,0.9947552332049381,"{'num_leaves': 71, 'n_estimators': 82, 'learning_rate': 0.1145476868439549}",1
10,0.9952680708085518,"{'num_leaves': 31, 'n_estimators': 125, 'learning_rate': 0.05915425961235007}",1
11,0.9951944598859858,"{'num_leaves': 32, 'n_estimators': 121, 'learning_rate': 0.053952303589995254}",1
12,0.9952633583677601,"{'num_leaves': 31, 'n_estimators': 122, 'learning_rate': 0.053600518065164755}",1
13,0.9950440246412005,"{'num_leaves': 45, 'n_estimators': 150, 'learning_rate': 0.050000343667370065}",1
14,0.9952037943298442,"{'num_leaves': 31, 'n_estimators': 114, 'learning_rate': 0.08490149719166201}",1
15,0.9948583158477525,"{'num_leaves': 60, 'n_estimators': 141, 'learning_rate': 0.06307288511510892}",1
16,0.9950231210804973,"{'num_leaves': 46, 'n_estimators': 107, 'learning_rate': 0.08248071545801744}",1
17,0.9950465659772743,"{'num_leaves': 42, 'n_estimators': 130, 'learning_rate': 0.06172319591018042}",1
18,0.994785991497931,"{'num_leaves': 62, 'n_estimators': 103, 'learning_rate': 0.10159990099353183}",1
19,0.9947838774326859,"{'num_leaves': 80, 'n_estimators': 135, 'learning_rate': 0.09272949670089406}",1
20,0.9949463725094838,"{'num_leaves': 50, 'n_estimators': 118, 'learning_rate': 0.07342523259837234}",1
21,0.9952601761476354,"{'num_leaves': 31, 'n_estimators': 114, 'learning_rate': 0.058891796295965276}",1
22,0.9951853181686497,"{'num_leaves': 35, 'n_estimators': 111, 'learning_rate': 0.061741665385993426}",1
23,0.9952035084196474,"{'num_leaves': 35, 'n_estimators': 123, 'learning_rate': 0.055840964329943246}",1
24,0.995241141002475,"{'num_leaves': 31, 'n_estimators': 98, 'learning_rate': 0.06814526725955948}",1
25,0.9949972422341492,"{'num_leaves': 42, 'n_estimators': 142, 'learning_rate': 0.07725387966332313}",1
26,0.9951335054259173,"{'num_leaves': 38, 'n_estimators': 127, 'learning_rate': 0.05008946439629421}",1
