number,value,params,state
0,0.979395627595387,"{'num_leaves': 43, 'n_estimators': 76, 'learning_rate': 0.0624062343797628}",1
1,0.9774008359838294,"{'num_leaves': 35, 'n_estimators': 141, 'learning_rate': 0.08624582954230386}",1
2,0.9785976702790288,"{'num_leaves': 48, 'n_estimators': 55, 'learning_rate': 0.12205385206252652}",1
3,0.9779095565867341,"{'num_leaves': 59, 'n_estimators': 95, 'learning_rate': 0.10416711399925689}",1
4,0.9769808182528451,"{'num_leaves': 49, 'n_estimators': 123, 'learning_rate': 0.1355688778300929}",1
5,0.9793526089059503,"{'num_leaves': 58, 'n_estimators': 51, 'learning_rate': 0.06600038964088882}",1
6,0.9788443946010704,"{'num_leaves': 43, 'n_estimators': 103, 'learning_rate': 0.08162152508162104}",1
7,0.9784846566154809,"{'num_leaves': 76, 'n_estimators': 87, 'learning_rate': 0.0812465163952755}",1
8,0.978643794297878,"{'num_leaves': 41, 'n_estimators': 108, 'learning_rate': 0.07329620242860194}",1
9,0.9777111350329373,"{'num_leaves': 77, 'n_estimators': 108, 'learning_rate': 0.10610199413681168}",1
10,0.9797119009903613,"{'num_leaves': 69, 'n_estimators': 71, 'learning_rate': 0.05671686676136531}",1
11,0.9796044022778944,"{'num_leaves': 65, 'n_estimators': 73, 'learning_rate': 0.051064767823051534}",1
12,0.979517164416323,"{'num_leaves': 68, 'n_estimators': 71, 'learning_rate': 0.05154752307649107}",1
13,0.9792365352509237,"{'num_leaves': 67, 'n_estimators': 69, 'learning_rate': 0.052297901477455555}",1
14,0.9793879781612771,"{'num_leaves': 65, 'n_estimators': 80, 'learning_rate': 0.05316382058342142}",1
15,0.9791047229931955,"{'num_leaves': 73, 'n_estimators': 62, 'learning_rate': 0.09286501159617612}",1
16,0.9775499050812403,"{'num_leaves': 63, 'n_estimators': 87, 'learning_rate': 0.1492949878913178}",1
17,0.9797406089868914,"{'num_leaves': 72, 'n_estimators': 61, 'learning_rate': 0.06588037896725708}",1
18,0.9795503651552344,"{'num_leaves': 72, 'n_estimators': 59, 'learning_rate': 0.07031431824666881}",1
19,0.9771831944488626,"{'num_leaves': 54, 'n_estimators': 150, 'learning_rate': 0.11437265109804973}",1
20,0.9784688711912571,"{'num_leaves': 78, 'n_estimators': 119, 'learning_rate': 0.06123918617175833}",1
21,0.9797187297069189,"{'num_leaves': 71, 'n_estimators': 67, 'learning_rate': 0.060871791221548475}",1
22,0.9797704678810082,"{'num_leaves': 71, 'n_estimators': 64, 'learning_rate': 0.07165124517890818}",1
23,0.9795730265587977,"{'num_leaves': 73, 'n_estimators': 63, 'learning_rate': 0.07473245461932285}",1
24,0.9797213332415569,"{'num_leaves': 79, 'n_estimators': 50, 'learning_rate': 0.09093964285776379}",1
25,0.97975037398081,"{'num_leaves': 80, 'n_estimators': 50, 'learning_rate': 0.09351306515261144}",1
26,0.9792442494395714,"{'num_leaves': 80, 'n_estimators': 58, 'learning_rate': 0.09720540312548258}",1
