number,params,mean_f1_weighted,fold_scores
0,"{'num_leaves': 50, 'n_estimators': 122, 'learning_rate': 0.1406230703287463}",0.7582874909854683,"{'fit_time': array([49.05053115, 49.14383912, 48.85344005, 48.91788793, 48.99374008,
       48.57034183, 48.78531575, 48.95079112, 53.06953073, 48.707196  ,
       49.12420917, 49.07379913, 16.8035121 , 16.70098877, 16.53682995]), 'score_time': array([0.01997495, 0.01585174, 0.01792097, 0.01895285, 0.01784492,
       0.01607203, 0.01930523, 0.02607799, 0.01434231, 0.01783705,
       0.01875591, 0.01682115, 0.01377678, 0.01525021, 0.01384997]), 'test_f1_weighted': array([0.75278241, 0.76982175, 0.77108044, 0.74208273, 0.7665046 ,
       0.77177095, 0.76391586, 0.76655941, 0.74701223, 0.744559  ,
       0.76682378, 0.7654497 , 0.74000729, 0.75772399, 0.74821822]), 'test_recall_weighted': array([0.76412429, 0.77966102, 0.77966102, 0.75282486, 0.77934936,
       0.77824859, 0.7740113 , 0.7740113 , 0.75847458, 0.7553041 ,
       0.77259887, 0.77259887, 0.75847458, 0.77118644, 0.75813296]), 'test_precision_weighted': array([0.74919687, 0.7677652 , 0.76906841, 0.74508493, 0.76438924,
       0.76994699, 0.76247884, 0.76386023, 0.74982253, 0.74256011,
       0.76323132, 0.76306323, 0.74069259, 0.75581832, 0.74661366]), 'test_accuracy': array([0.76412429, 0.77966102, 0.77966102, 0.75282486, 0.77934936,
       0.77824859, 0.7740113 , 0.7740113 , 0.75847458, 0.7553041 ,
       0.77259887, 0.77259887, 0.75847458, 0.77118644, 0.75813296]), 'test_roc_auc_ovr': array([0.87690041, 0.90249713, 0.88711021, 0.8692462 , 0.88579678,
       0.89036233, 0.89247854, 0.87453022, 0.86372195, 0.88009755,
       0.87596048, 0.88154621, 0.88631579, 0.87690415, 0.88406093])}"
1,"{'num_leaves': 69, 'n_estimators': 110, 'learning_rate': 0.07681743366739294}",0.7552625040832494,"{'fit_time': array([69.31940389, 64.46965194, 63.94113708, 64.30584717, 64.35699677,
       64.350806  , 64.17370892, 64.23184395, 64.48332977, 64.12206221,
       64.5786202 , 64.03175688, 18.62637806, 18.84713316, 18.48144794]), 'score_time': array([0.01448226, 0.01837015, 0.01868296, 0.01787591, 0.02760506,
       0.02462506, 0.02457905, 0.01878595, 0.016505  , 0.02101874,
       0.0142889 , 0.01710486, 0.01404309, 0.01097298, 0.01456213]), 'test_f1_weighted': array([0.74793159, 0.76460261, 0.76229463, 0.74795256, 0.76508462,
       0.75774417, 0.75620399, 0.77472738, 0.72970396, 0.76153413,
       0.76152603, 0.76439432, 0.73938775, 0.7553036 , 0.74054623]), 'test_recall_weighted': array([0.75706215, 0.77824859, 0.77259887, 0.75847458, 0.77793494,
       0.76553672, 0.76553672, 0.78389831, 0.74717514, 0.7708628 ,
       0.76836158, 0.7740113 , 0.75847458, 0.76977401, 0.75106082]), 'test_precision_weighted': array([0.74438921, 0.76229015, 0.75993956, 0.75090894, 0.76166516,
       0.75466832, 0.75471995, 0.77155871, 0.73008241, 0.76147541,
       0.7573847 , 0.76150157, 0.74078746, 0.75354735, 0.73932716]), 'test_accuracy': array([0.75706215, 0.77824859, 0.77259887, 0.75847458, 0.77793494,
       0.76553672, 0.76553672, 0.78389831, 0.74717514, 0.7708628 ,
       0.76836158, 0.7740113 , 0.75847458, 0.76977401, 0.75106082]), 'test_roc_auc_ovr': array([0.87704498, 0.90209776, 0.88681381, 0.87395725, 0.88759614,
       0.88722644, 0.89028447, 0.87994561, 0.86645586, 0.88525692,
       0.87595514, 0.88545356, 0.88580759, 0.88103328, 0.88544445])}"
2,"{'num_leaves': 57, 'n_estimators': 89, 'learning_rate': 0.10290228190625932}",0.7586528103782045,"{'fit_time': array([60.63449287, 59.94531989, 60.44149017, 60.51277328, 60.36640501,
       60.28208303, 60.55428672, 60.50527787, 60.42071915, 60.52315331,
       60.35318875, 60.40290499, 12.5126822 , 12.46990204, 12.11785197]), 'score_time': array([0.01672983, 0.01584315, 0.02476811, 0.01841092, 0.0217762 ,
       0.01746273, 0.01873517, 0.01737499, 0.02162504, 0.01513982,
       0.02238607, 0.02429199, 0.01442194, 0.00903916, 0.01402521]), 'test_f1_weighted': array([0.74413233, 0.76958664, 0.76108904, 0.75172722, 0.77369141,
       0.77044042, 0.76173664, 0.76845456, 0.73065111, 0.76081516,
       0.76186339, 0.77128045, 0.75039023, 0.75729463, 0.74663892]), 'test_recall_weighted': array([0.75423729, 0.77824859, 0.76977401, 0.76412429, 0.78500707,
       0.77683616, 0.76977401, 0.77683616, 0.74717514, 0.76944837,
       0.76836158, 0.77966102, 0.76977401, 0.77118644, 0.75671853]), 'test_precision_weighted': array([0.74013596, 0.7668912 , 0.75822536, 0.75482939, 0.77052623,
       0.76863273, 0.75983149, 0.76550621, 0.73106994, 0.75873806,
       0.75821195, 0.76903988, 0.75454697, 0.75363818, 0.74671275]), 'test_accuracy': array([0.75423729, 0.77824859, 0.76977401, 0.76412429, 0.78500707,
       0.77683616, 0.76977401, 0.77683616, 0.74717514, 0.76944837,
       0.76836158, 0.77966102, 0.76977401, 0.77118644, 0.75671853]), 'test_roc_auc_ovr': array([0.87921763, 0.89884918, 0.88479687, 0.87051606, 0.88876279,
       0.88907157, 0.89513215, 0.88141299, 0.86498837, 0.88218356,
       0.87390441, 0.88220204, 0.8834837 , 0.88021259, 0.88678941])}"
3,"{'num_leaves': 78, 'n_estimators': 85, 'learning_rate': 0.05966342488092624}",0.7559725369325466,"{'fit_time': array([66.09237194, 66.02564716, 65.55628109, 65.79484391, 66.31704187,
       66.22953701, 65.94968081, 65.90522099, 66.15778017, 66.13378906,
       66.21658826, 65.84606504, 15.60401082, 15.402776  , 15.34960485]), 'score_time': array([0.0152483 , 0.01800704, 0.01816893, 0.01706409, 0.01872897,
       0.01675296, 0.01694512, 0.02377391, 0.01584387, 0.02245879,
       0.01518679, 0.01908112, 0.01463103, 0.01415205, 0.01327991]), 'test_f1_weighted': array([0.74002029, 0.76954536, 0.75279045, 0.74283302, 0.7653153 ,
       0.75308812, 0.76533609, 0.77562733, 0.72945473, 0.76088895,
       0.75659294, 0.76785864, 0.74509059, 0.76344477, 0.75170145]), 'test_recall_weighted': array([0.75      , 0.78248588, 0.76412429, 0.75706215, 0.77934936,
       0.76412429, 0.7740113 , 0.78531073, 0.74435028, 0.77227723,
       0.76271186, 0.77824859, 0.76553672, 0.77542373, 0.76520509]), 'test_precision_weighted': array([0.73558343, 0.76827486, 0.74846133, 0.74573189, 0.76213285,
       0.74928598, 0.76391945, 0.77313268, 0.73089415, 0.76085532,
       0.75298677, 0.76633591, 0.74823371, 0.76131414, 0.75074138]), 'test_accuracy': array([0.75      , 0.78248588, 0.76412429, 0.75706215, 0.77934936,
       0.76412429, 0.7740113 , 0.78531073, 0.74435028, 0.77227723,
       0.76271186, 0.77824859, 0.76553672, 0.77542373, 0.76520509]), 'test_roc_auc_ovr': array([0.87630396, 0.90232184, 0.8836777 , 0.872764  , 0.89075148,
       0.88946967, 0.89335085, 0.88554058, 0.86511002, 0.88647911,
       0.87721497, 0.88471894, 0.88551565, 0.88313984, 0.88848106])}"
4,"{'num_leaves': 56, 'n_estimators': 133, 'learning_rate': 0.13994673946636815}",0.7573890136917103,"{'fit_time': array([66.28378987, 66.04789281, 65.953089  , 66.53215909, 66.0374918 ,
       66.08991694, 66.33237505, 66.25162578, 66.46056128, 66.21608281,
       66.38909817, 66.13045812, 11.43443179, 11.3549509 , 11.38574314]), 'score_time': array([0.02708697, 0.0261519 , 0.02027798, 0.01683307, 0.02424622,
       0.0203011 , 0.019135  , 0.02340412, 0.02462888, 0.03155708,
       0.01630592, 0.02435303, 0.02027822, 0.01753116, 0.01531696]), 'test_f1_weighted': array([0.7494993 , 0.77248721, 0.77268243, 0.75057736, 0.76947154,
       0.7725515 , 0.75779831, 0.75925614, 0.73403541, 0.75004798,
       0.76313917, 0.77301798, 0.73006119, 0.74909149, 0.75711818]), 'test_recall_weighted': array([0.76129944, 0.78248588, 0.78107345, 0.75847458, 0.78217822,
       0.77683616, 0.76553672, 0.76553672, 0.74717514, 0.75813296,
       0.77118644, 0.78107345, 0.75141243, 0.76412429, 0.76520509]), 'test_precision_weighted': array([0.74543014, 0.76945569, 0.77063564, 0.7543605 , 0.76635718,
       0.77141093, 0.75579932, 0.75626372, 0.73392394, 0.74917966,
       0.75844489, 0.77000854, 0.72937333, 0.74742011, 0.75613952]), 'test_accuracy': array([0.76129944, 0.78248588, 0.78107345, 0.75847458, 0.78217822,
       0.77683616, 0.76553672, 0.76553672, 0.74717514, 0.75813296,
       0.77118644, 0.78107345, 0.75141243, 0.76412429, 0.76520509]), 'test_roc_auc_ovr': array([0.87814757, 0.89986743, 0.88766027, 0.86933769, 0.88633923,
       0.88567116, 0.88911312, 0.86925848, 0.86177064, 0.87795002,
       0.87586272, 0.88229223, 0.8854787 , 0.87884161, 0.88620667])}"
5,"{'num_leaves': 60, 'n_estimators': 53, 'learning_rate': 0.10657916377748568}",0.7568087074208726,"{'fit_time': array([24.50004601, 25.85746884, 24.33854079, 24.41049886, 24.54997683,
       24.29385424, 24.50089693, 24.49135399, 24.52835894, 24.52593398,
       24.48679399, 24.55530286,  5.38609004,  5.38157797,  5.33341122]), 'score_time': array([0.01484489, 0.01139402, 0.0136199 , 0.01231098, 0.02640295,
       0.0136447 , 0.01744413, 0.01820898, 0.02317309, 0.02256894,
       0.01679492, 0.01302409, 0.01014781, 0.01041102, 0.00992775]), 'test_f1_weighted': array([0.74391424, 0.76534184, 0.75410382, 0.74206156, 0.76935274,
       0.76162311, 0.77142977, 0.76152093, 0.73975156, 0.75964448,
       0.75815217, 0.76907484, 0.75020138, 0.75960466, 0.7463535 ]), 'test_recall_weighted': array([0.75564972, 0.77824859, 0.76412429, 0.75423729, 0.78076379,
       0.77118644, 0.77966102, 0.77118644, 0.75282486, 0.7708628 ,
       0.76412429, 0.77966102, 0.76694915, 0.77259887, 0.75813296]), 'test_precision_weighted': array([0.74006761, 0.76287947, 0.75058844, 0.743954  , 0.7651227 ,
       0.75908209, 0.77089089, 0.75762034, 0.74112467, 0.75969333,
       0.75431976, 0.766525  , 0.75335561, 0.75697616, 0.74410455]), 'test_accuracy': array([0.75564972, 0.77824859, 0.76412429, 0.75423729, 0.78076379,
       0.77118644, 0.77966102, 0.77118644, 0.75282486, 0.7708628 ,
       0.76412429, 0.77966102, 0.76694915, 0.77259887, 0.75813296]), 'test_roc_auc_ovr': array([0.87980909, 0.89737284, 0.88450933, 0.87004251, 0.89075291,
       0.88879884, 0.89208358, 0.87937744, 0.86828568, 0.89078959,
       0.8768613 , 0.8854506 , 0.88741992, 0.8791957 , 0.88988657])}"
6,"{'num_leaves': 32, 'n_estimators': 138, 'learning_rate': 0.08566344632442378}",0.7586153322723063,"{'fit_time': array([37.11237788, 34.51391792, 34.35618997, 34.733428  , 34.54381585,
       34.70267892, 34.56451678, 34.86485505, 34.59680796, 34.82263923,
       34.75766015, 34.53309298,  8.06820726,  7.86929107,  7.78924918]), 'score_time': array([0.01646805, 0.01732016, 0.01697111, 0.01918817, 0.02215624,
       0.02054405, 0.02452826, 0.0237031 , 0.02387285, 0.02170014,
       0.01698565, 0.02007604, 0.01344991, 0.01424408, 0.01695514]), 'test_f1_weighted': array([0.75072687, 0.7733109 , 0.75578876, 0.75482391, 0.76469201,
       0.77643645, 0.76829282, 0.75813683, 0.73644532, 0.75764402,
       0.76865317, 0.75872477, 0.74483012, 0.74432629, 0.76639774]), 'test_recall_weighted': array([0.76129944, 0.78389831, 0.76553672, 0.76412429, 0.77934936,
       0.78107345, 0.77683616, 0.76412429, 0.74858757, 0.76661952,
       0.7740113 , 0.76836158, 0.76129944, 0.75847458, 0.77652051]), 'test_precision_weighted': array([0.74729126, 0.77035493, 0.75211737, 0.75798926, 0.76099115,
       0.77470811, 0.76730852, 0.75485373, 0.73901693, 0.75548766,
       0.76544654, 0.75500083, 0.74412212, 0.74118185, 0.76840864]), 'test_accuracy': array([0.76129944, 0.78389831, 0.76553672, 0.76412429, 0.77934936,
       0.78107345, 0.77683616, 0.76412429, 0.74858757, 0.76661952,
       0.7740113 , 0.76836158, 0.76129944, 0.75847458, 0.77652051]), 'test_roc_auc_ovr': array([0.8790475 , 0.90144759, 0.88344081, 0.87280005, 0.88669144,
       0.89266573, 0.89409613, 0.8782077 , 0.87030252, 0.88453911,
       0.87613183, 0.8837373 , 0.88588839, 0.87661937, 0.89433777])}"
7,"{'num_leaves': 80, 'n_estimators': 101, 'learning_rate': 0.09380188955103094}",0.7526826114344424,"{'fit_time': array([59.5541749 , 59.57377315, 59.03086615, 59.49044394, 59.33364296,
       59.40017724, 59.622545  , 59.226542  , 59.17340589, 59.4054141 ,
       59.58587384, 59.02164197, 11.76294589, 11.76425982, 11.74425793]), 'score_time': array([0.02223206, 0.02045202, 0.01957393, 0.01852202, 0.01914811,
       0.02214766, 0.02336001, 0.01984906, 0.01936197, 0.0182209 ,
       0.02033782, 0.0193119 , 0.01552796, 0.01621222, 0.01637197]), 'test_f1_weighted': array([0.73574899, 0.7630696 , 0.76044177, 0.73745836, 0.76329076,
       0.7764324 , 0.75934006, 0.77027799, 0.7342244 , 0.75749183,
       0.75774918, 0.76566014, 0.72750549, 0.74240576, 0.73914241]), 'test_recall_weighted': array([0.74717514, 0.7740113 , 0.76977401, 0.74858757, 0.77652051,
       0.78107345, 0.76836158, 0.77966102, 0.74858757, 0.76661952,
       0.76412429, 0.7740113 , 0.75      , 0.75706215, 0.75106082]), 'test_precision_weighted': array([0.73089274, 0.76032687, 0.75815436, 0.73935258, 0.75901916,
       0.77551418, 0.75878822, 0.76676343, 0.73628218, 0.75644707,
       0.75428867, 0.76341622, 0.72696545, 0.73936203, 0.7381766 ]), 'test_accuracy': array([0.74717514, 0.7740113 , 0.76977401, 0.74858757, 0.77652051,
       0.78107345, 0.76836158, 0.77966102, 0.74858757, 0.76661952,
       0.76412429, 0.7740113 , 0.75      , 0.75706215, 0.75106082]), 'test_roc_auc_ovr': array([0.87643249, 0.90030646, 0.88184776, 0.87221491, 0.88760946,
       0.88881162, 0.89340913, 0.8788026 , 0.86738873, 0.8845322 ,
       0.87455864, 0.88175375, 0.88195291, 0.88480569, 0.88279306])}"
8,"{'num_leaves': 36, 'n_estimators': 130, 'learning_rate': 0.07213171005080823}",0.7592338817477121,"{'fit_time': array([37.21730781, 35.14287782, 35.17598891, 35.24337006, 35.02329397,
       34.93964577, 35.27337408, 35.07533598, 34.98035359, 35.20190907,
       35.32927299, 35.02581882,  7.85348821,  7.84067917,  7.81792998]), 'score_time': array([0.01634717, 0.02012396, 0.01625705, 0.02403212, 0.01891708,
       0.02168441, 0.01773   , 0.01656985, 0.02687621, 0.02997994,
       0.02018499, 0.01886797, 0.01389599, 0.01569486, 0.01872802]), 'test_f1_weighted': array([0.75678939, 0.76476975, 0.75576106, 0.76176306, 0.7562218 ,
       0.77755643, 0.77064263, 0.77199942, 0.73622777, 0.76060684,
       0.77458302, 0.75464693, 0.7387644 , 0.76054057, 0.74763518]), 'test_recall_weighted': array([0.76412429, 0.77683616, 0.76694915, 0.77259887, 0.76803395,
       0.78248588, 0.77824859, 0.77966102, 0.75      , 0.7708628 ,
       0.77966102, 0.76412429, 0.75988701, 0.77259887, 0.75813296]), 'test_precision_weighted': array([0.75463102, 0.76134847, 0.7527972 , 0.76415519, 0.75132442,
       0.77681505, 0.76814749, 0.76859113, 0.73886251, 0.75897423,
       0.77144072, 0.75123918, 0.74272211, 0.75875314, 0.74532228]), 'test_accuracy': array([0.76412429, 0.77683616, 0.76694915, 0.77259887, 0.76803395,
       0.78248588, 0.77824859, 0.77966102, 0.75      , 0.7708628 ,
       0.77966102, 0.76412429, 0.75988701, 0.77259887, 0.75813296]), 'test_roc_auc_ovr': array([0.8822508 , 0.89905697, 0.88553861, 0.87183215, 0.88913624,
       0.89394821, 0.8971688 , 0.88167352, 0.86630818, 0.88356538,
       0.87939917, 0.88486901, 0.88953271, 0.88065465, 0.89139118])}"
9,"{'num_leaves': 69, 'n_estimators': 135, 'learning_rate': 0.05666150090811193}",0.754880508897693,"{'fit_time': array([78.42772198, 84.38278198, 77.98178506, 78.64952326, 78.49577808,
       78.36305618, 78.15732002, 78.07980394, 78.29082894, 78.53712916,
       78.72157311, 78.11870098, 21.78828287, 21.7347641 , 24.70323682]), 'score_time': array([0.02171993, 0.01484513, 0.02074194, 0.0169208 , 0.02034187,
       0.01711011, 0.02584696, 0.02088499, 0.02019715, 0.01722193,
       0.01709175, 0.02530003, 0.01722121, 0.01731515, 0.01369119]), 'test_f1_weighted': array([0.74120182, 0.76424845, 0.75773103, 0.74920391, 0.755831  ,
       0.7593276 , 0.76596551, 0.77577414, 0.7342009 , 0.75987196,
       0.75589412, 0.76704177, 0.74687111, 0.75006271, 0.73998161]), 'test_recall_weighted': array([0.75141243, 0.77542373, 0.76836158, 0.75988701, 0.76803395,
       0.76694915, 0.7740113 , 0.78248588, 0.75      , 0.76944837,
       0.76412429, 0.77683616, 0.76694915, 0.76412429, 0.75106082]), 'test_precision_weighted': array([0.73754279, 0.76237537, 0.75540823, 0.75210685, 0.75126349,
       0.75705897, 0.76503751, 0.77319742, 0.73519579, 0.75929278,
       0.75075554, 0.76424138, 0.74941717, 0.74781957, 0.73902566]), 'test_accuracy': array([0.75141243, 0.77542373, 0.76836158, 0.75988701, 0.76803395,
       0.76694915, 0.7740113 , 0.78248588, 0.75      , 0.76944837,
       0.76412429, 0.77683616, 0.76694915, 0.76412429, 0.75106082]), 'test_roc_auc_ovr': array([0.87797545, 0.90299743, 0.88469279, 0.87286314, 0.88633134,
       0.89199361, 0.89318891, 0.88120504, 0.86504797, 0.88394001,
       0.87478796, 0.88349265, 0.88824682, 0.88233627, 0.88849316])}"
